CellNo,Resistance,Volt,Temp
6,0.355,2.24,-20
6,0.352,2.24,-20
6,0.351,2.24,-20
6,0.353,2.24,-20
6,0.352,2.24,-20
6,0.353,2.24,-20
6,0.355,2.24,-20
6,0.357,2.24,-20
6,0.352,2.24,-20
6,0.354,2.24,-20
6,0.356,2.24,-20
6,0.357,2.24,-20
6,0.356,2.24,-20
6,0.357,2.24,-20
6,0.357,2.24,-20
6,0.357,2.24,-20
6,0.358,2.24,-20
6,0.359,2.24,-20
6,0.36,2.24,-20
6,0.36,2.24,-20
6,0.358,2.24,-20
6,0.36,2.24,-20
6,0.36,2.24,-20
6,0.363,2.24,-20
6,0.363,2.24,-20
6,0.364,2.24,-20
6,0.363,2.24,-20
6,0.364,2.24,-20
6,0.363,2.24,-20
6,0.362,2.24,-20
6,0.362,2.24,-20
6,0.363,2.24,-20
6,0.365,2.24,-20
6,0.364,2.24,-20
6,0.364,2.24,-20
6,0.362,2.24,-20
6,0.363,2.24,-20
6,0.362,2.24,-20
6,0.362,2.24,-20
6,0.365,2.24,-20
6,0.365,2.24,-20
6,0.367,2.24,-20
6,0.367,2.24,-20
6,0.367,2.24,-20
6,0.367,2.24,-20
6,0.367,2.24,-20
6,0.378,2.24,-20
6,0.377,2.24,-20
6,0.377,2.24,-20
6,0.378,2.23,-20
6,0.377,2.24,-20
6,0.377,2.24,-20
6,0.376,2.24,-20
6,0.377,2.24,-20
6,0.376,2.24,-20
6,0.39,2.24,-20
6,0.389,2.24,-20
6,0.391,2.24,-20
6,0.392,2.24,-20
6,0.393,2.24,-20
6,0.394,2.24,-20
6,0.392,2.24,-20
6,0.394,2.24,-20
6,0.396,2.24,-20
6,0.397,2.24,-20
6,0.397,2.24,-20
6,0.397,2.24,-20
6,0.395,2.24,-20
6,0.397,2.24,-20
6,0.395,2.24,-20
6,0.397,2.24,-20
6,0.397,2.24,-20
6,0.398,2.24,-20
6,0.4,2.24,-20
6,0.401,2.24,-20
6,0.403,2.24,-20
6,0.403,2.24,-20
6,0.402,2.24,-20
6,0.402,2.24,-20
6,0.402,2.24,-20
6,0.404,2.24,-20
6,0.406,2.24,-20
6,0.406,2.24,-20
6,0.407,2.24,-20
6,0.407,2.24,-20
6,0.407,2.24,-20
6,0.406,2.24,-20
6,0.408,2.24,-20
6,0.407,2.24,-20
6,0.409,2.24,-20
6,0.409,2.24,-20
6,0.411,2.24,-20
6,0.41,2.24,-20
6,0.41,2.24,-20
6,0.41,2.24,-20
6,0.411,2.24,-20
6,0.411,2.24,-20
6,0.413,2.24,-20
6,0.414,2.24,-20
6,0.418,2.25,-20
6,0.419,2.25,-20
6,0.421,2.25,-20
6,0.421,2.25,-20
6,0.421,2.25,-20
6,0.422,2.25,-20
6,0.422,2.25,-20
6,0.425,2.25,-20
6,0.426,2.25,-20
6,0.426,2.25,-20
6,0.427,2.25,-20
6,0.427,2.25,-20
6,0.428,2.25,-20
6,0.43,2.25,-20
6,0.431,2.25,-20
6,0.431,2.25,-20
6,0.431,2.25,-20
6,0.433,2.25,-20
6,0.435,2.25,-20
6,0.435,2.25,-20
6,0.436,2.25,-20
6,0.437,2.25,-20
6,0.436,2.25,-20
6,0.439,2.25,-20
6,0.439,2.25,-20
6,0.445,2.25,-20
6,0.446,2.25,-20
6,0.445,2.25,-20
6,0.446,2.25,-20
6,0.448,2.25,-20
6,0.447,2.25,-20
6,0.45,2.25,-20
6,0.449,2.25,-20
6,0.452,2.25,-20
6,0.453,2.25,-20
6,0.453,2.25,-20
6,0.454,2.25,-20
6,0.455,2.25,-20
6,0.454,2.25,-20
6,0.456,2.25,-20
6,0.457,2.25,-20
6,0.458,2.25,-20
6,0.468,2.25,-20
6,0.469,2.25,-20
6,0.47,2.25,-20
6,0.472,2.25,-20
6,0.474,2.25,-20
6,0.478,2.25,-20
6,0.478,2.25,-20
6,0.479,2.25,-20
6,0.481,2.25,-20
6,0.482,2.25,-20
6,0.483,2.25,-20
6,0.484,2.25,-20
6,0.483,2.25,-20
6,0.485,2.26,-20
6,0.486,2.26,-20
6,0.488,2.25,-20
6,0.489,2.26,-20
6,0.49,2.26,-20
6,0.492,2.26,-20
6,0.495,2.26,-20
6,0.495,2.26,-20
6,0.498,2.26,-20
6,0.499,2.26,-20
6,0.501,2.26,-20
6,0.502,2.26,-20
6,0.503,2.26,-20
6,0.502,2.26,-20
6,0.505,2.26,-20
6,0.506,2.26,-20
6,0.507,2.26,-20
6,0.507,2.26,-20
6,0.51,2.26,-20
6,0.511,2.26,-20
6,0.513,2.26,-20
6,0.512,2.26,-20
6,0.514,2.26,-20
6,0.515,2.26,-20
6,0.517,2.26,-20
6,0.519,2.26,-20
6,0.522,2.26,-20
6,0.523,2.26,-20
6,0.525,2.26,-20
6,0.527,2.26,-20
6,0.528,2.26,-20
6,0.531,2.26,-20
6,0.533,2.26,-20
6,0.535,2.25,-20
6,0.536,2.25,-20
6,0.537,2.26,-20
6,0.538,2.26,-20
6,0.55,2.26,-20
6,0.553,2.26,-20
6,0.555,2.26,-20
6,0.569,2.27,-20
6,0.571,2.26,-20
6,0.574,2.26,-20
6,0.575,2.26,-20
6,0.573,2.27,-20
6,0.575,2.27,-20
6,0.578,2.27,-20
6,0.581,2.27,-20
6,0.58,2.27,-20
6,0.582,2.27,-20
6,0.584,2.27,-20
6,0.586,2.27,-20
6,0.587,2.26,-20
6,0.588,2.27,-20
6,0.589,2.27,-20
6,0.59,2.27,-20
6,0.592,2.27,-20
6,0.593,2.27,-20
6,0.595,2.27,-20
6,0.595,2.27,-20
6,0.596,2.27,-20
6,0.599,2.27,-20
6,0.6,2.27,-20
6,0.601,2.27,-20
6,0.601,2.27,-20
6,0.602,2.27,-20
6,0.604,2.27,-20
6,0.607,2.27,-20
6,0.61,2.27,-20
6,0.612,2.27,-20
6,0.614,2.27,-20
6,0.615,2.27,-20
6,0.616,2.27,-20
6,0.616,2.27,-20
6,0.617,2.27,-20
6,0.618,2.27,-20
6,0.62,2.27,-20
6,0.621,2.27,-20
6,0.623,2.27,-20
6,0.625,2.27,-20
6,0.626,2.27,-20
6,0.629,2.27,-20
6,0.631,2.27,-20
6,0.633,2.27,-20
6,0.633,2.27,-20
6,0.634,2.27,-20
6,0.636,2.27,-20
6,0.638,2.27,-20
6,0.639,2.27,-20
6,0.64,2.27,-20
6,0.638,2.27,-20
6,0.641,2.27,-20
6,0.643,2.27,-20
6,0.644,2.27,-20
6,0.645,2.27,-20
6,0.647,2.27,-20
6,0.648,2.27,-20
6,0.646,2.27,-20
6,0.649,2.27,-20
6,0.65,2.27,-20
6,0.655,2.27,-20
6,0.657,2.27,-20
