KeyTime,ResistValue,VoltValue,TempValue
2020-07-01 13:37,0.427,4.48,-20.0
2020-07-01 13:44,0.45,4.48,-20.0
2020-07-02 1:44,0.444,4.49,-20.0
2020-07-02 13:43,0.446,4.48,-20.0
2020-07-03 1:43,0.444,4.49,-20.0
2020-07-03 13:42,0.445,4.48,-20.0
2020-07-04 1:42,0.443,4.48,-20.0
2020-07-04 13:41,0.442,4.48,-20.0
2020-07-05 1:41,0.438,4.49,-20.0
2020-07-05 13:40,0.442,4.48,-20.0
2020-07-06 1:40,0.443,4.48,-20.0
2020-07-06 13:39,0.443,4.48,-20.0
2020-07-07 1:39,0.444,4.48,-20.0
2020-07-07 13:38,0.441,4.48,-20.0
2020-07-08 1:38,0.442,4.49,-20.0
2020-07-08 13:37,0.445,4.48,-20.0
2020-07-09 1:37,0.442,4.48,-20.0
2020-07-09 13:36,0.439,4.48,-20.0
2020-07-10 1:36,0.441,4.49,-20.0
2020-07-10 13:36,0.439,4.49,-20.0
2020-07-11 1:35,0.44,4.47,-20.0
2020-07-11 13:35,0.445,4.49,-20.0
2020-07-12 1:34,0.443,4.48,-20.0
2020-07-12 13:34,0.445,4.48,-20.0
2020-07-13 1:33,0.443,4.48,-20.0
2020-07-13 13:33,0.445,4.48,-20.0
2020-07-14 1:32,0.439,4.48,-20.0
2020-07-14 13:32,0.439,4.48,-20.0
2020-07-15 1:32,0.439,4.48,-20.0
2020-07-15 13:31,0.444,4.48,-20.0
2020-07-16 1:31,0.441,4.48,-20.0
2020-07-16 13:30,0.445,4.5,-20.0
2020-07-17 1:29,0.441,4.47,-20.0
2020-07-17 13:29,0.439,4.47,-20.0
2020-07-18 1:29,0.441,4.49,-20.0
2020-07-18 13:28,0.44,4.48,-20.0
2020-07-19 1:28,0.442,4.47,-20.0
2020-07-19 13:28,0.442,4.47,-20.0
2020-07-20 1:27,0.439,4.48,-20.0
2020-07-20 13:27,0.439,4.48,-20.0
2020-07-21 1:26,0.443,4.48,-20.0
2020-07-21 13:26,0.442,4.48,-20.0
2020-07-22 1:25,0.444,4.48,-20.0
2020-07-22 13:25,0.443,4.47,-20.0
2020-07-23 1:24,0.443,4.48,-20.0
2020-07-23 13:24,0.447,4.48,-20.0
2020-09-15 11:20,0.433,4.48,-20.0
2020-09-15 23:19,0.434,4.49,-20.0
2020-09-16 11:19,0.437,4.49,-20.0
2020-09-16 23:18,0.442,4.49,-20.0
2020-09-17 11:17,0.444,4.49,-20.0
2020-09-17 23:17,0.439,4.5,-20.0
2020-09-18 11:16,0.441,4.49,-20.0
2020-09-18 23:16,0.436,4.49,-20.0
2020-09-19 11:15,0.438,4.48,-20.0
2020-09-19 23:15,0.44,4.48,-20.0
2020-09-20 11:14,0.44,4.49,-20.0
2020-09-20 23:14,0.439,4.49,-20.0
2020-09-21 11:13,0.44,4.48,-20.0
2020-09-21 23:13,0.44,4.49,-20.0
2020-09-22 11:12,0.436,4.49,-20.0
2020-09-22 23:12,0.438,4.49,-20.0
2020-09-23 11:11,0.442,4.5,-20.0
2020-09-23 23:11,0.443,4.5,-20.0
2020-09-24 11:10,0.44,4.5,-20.0
2020-09-24 23:10,0.439,4.49,-20.0
2020-09-25 11:09,0.441,4.5,-20.0
2020-09-25 23:09,0.441,4.49,-20.0
2020-09-26 11:08,0.438,4.5,-20.0
2020-09-26 23:08,0.433,4.49,-20.0
2020-09-27 11:08,0.435,4.49,-20.0
2020-09-27 23:07,0.432,4.5,-20.0
2020-09-28 11:07,0.431,4.49,-20.0
2020-09-28 23:06,0.433,4.49,-20.0
