KeyTime,ResistValue,VoltValue,TempValue
2020-02-12 19:19:26,0.403,4.43,-20.0
2020-02-13 07:18:48,0.39,4.44,-20.0
2020-02-13 19:18:08,0.438,4.45,-20.0
2020-02-14 07:17:24,0.405,4.42,-20.0
2020-02-14 19:16:47,0.476,4.52,-20.0
2020-02-15 07:16:02,0.44,4.44,-20.0
2020-02-15 19:15:26,0.401,4.42,-20.0
2020-02-16 07:14:39,0.387,4.45,-20.0
2020-02-16 19:13:52,0.441,4.5,-20.0
2020-02-17 07:13:16,0.438,4.45,-20.0
2020-02-17 19:12:39,0.386,4.47,-20.0
2020-02-18 07:11:57,0.482,4.5,-20.0
2020-02-18 19:11:19,0.436,4.45,-20.0
2020-02-19 07:10:37,0.437,4.44,-20.0
2020-02-19 19:09:44,0.405,4.42,-20.0
2020-02-20 07:09:07,0.435,4.44,-20.0
2020-02-20 19:08:33,0.405,4.42,-20.0
2020-02-21 07:07:40,0.39,4.44,-20.0
2020-02-21 19:07:02,0.389,4.44,-20.0
2020-02-22 07:06:16,0.464,4.51,-20.0
2020-02-22 19:05:27,0.475,4.5,-20.0
2020-02-23 07:04:47,0.403,4.43,-20.0
2020-02-23 19:03:55,0.403,4.43,-20.0
2020-02-24 07:03:13,0.439,4.47,-20.0
2020-02-24 19:02:37,0.439,4.44,-20.0
2020-02-25 07:01:56,0.406,4.41,-20.0
2020-02-25 19:01:00,0.422,4.47,-20.0
2020-02-26 07:00:26,0.383,4.44,-20.0
2020-02-26 18:59:46,0.403,4.41,-20.0
2020-02-27 06:59:09,0.448,4.45,-20.0
2020-02-27 18:58:21,0.405,4.43,-20.0
2020-02-28 06:57:37,0.437,4.45,-20.0
2020-02-28 18:56:53,0.39,4.46,18.0
2020-02-29 06:55:57,0.391,4.45,-20.0
2020-02-29 18:55:11,0.47,4.5,-20.0
2020-03-01 06:54:27,0.436,4.45,-20.0
2020-03-01 18:53:48,0.403,4.42,-20.0
2020-03-02 06:52:56,0.402,4.43,-20.0
2020-03-02 18:52:16,0.404,4.41,-20.0
2020-03-03 06:51:30,0.406,4.43,-20.0
2020-03-03 18:50:49,0.407,4.42,-20.0
2020-03-04 06:50:09,0.392,4.45,-20.0
2020-03-04 18:49:19,0.405,4.43,-20.0
2020-03-05 06:48:35,0.405,4.44,-20.0
2020-03-05 18:47:50,0.471,4.5,-20.0
2020-03-06 06:47:07,0.392,4.45,-20.0
2020-03-06 18:46:27,0.439,4.43,-20.0
2020-03-07 06:45:48,0.393,4.45,-20.0
2020-03-07 18:45:04,0.392,4.45,-20.0
2020-03-08 06:44:29,0.439,4.45,-20.0
2020-03-08 18:43:51,0.393,4.43,-20.0
2020-03-09 06:43:05,0.445,4.47,-20.0
2020-03-09 18:42:26,0.469,4.5,-20.0
2020-03-10 06:41:52,0.39,4.44,-20.0
2020-03-10 18:41:17,0.467,4.5,-20.0
2020-03-11 06:40:37,0.436,4.46,-20.0
2020-03-11 18:40:02,0.392,4.45,-20.0
2020-03-12 06:39:15,0.443,4.49,-20.0
2020-03-12 18:38:40,0.439,4.45,-20.0
2020-03-13 06:38:03,0.391,4.44,-20.0
2020-03-13 18:37:17,0.441,4.45,-20.0
2020-03-14 06:36:32,0.443,4.49,-20.0
2020-03-14 18:35:56,0.391,4.45,-20.0
2020-03-18 02:10:50,0.434,4.47,-20.0
2020-03-18 14:10:16,0.384,4.44,-20.0
2020-03-19 02:09:30,0.386,4.45,-20.0
2020-03-19 14:08:43,0.44,4.48,-20.0
2020-03-20 02:07:55,0.4,4.44,-20.0
2020-03-20 14:06:59,0.457,4.51,-20.0
2020-03-21 02:06:21,0.396,4.43,-20.0
2020-03-21 14:05:33,0.393,4.42,-20.0
2020-03-22 02:04:53,0.389,4.44,-20.0
2020-03-22 14:04:14,0.389,4.45,-20.0
2020-03-23 02:03:34,0.398,4.41,-20.0
2020-03-23 14:02:47,0.387,4.45,-20.0
2020-03-24 02:01:56,0.437,4.49,-20.0
2020-03-24 14:01:12,0.442,4.49,-20.0
2020-03-25 02:00:17,0.436,4.49,-20.0
2020-03-25 13:59:36,0.438,4.49,-20.0
2020-03-26 01:58:46,0.439,4.49,-20.0
2020-03-26 13:58:02,0.431,4.49,-20.0
2020-03-27 01:57:17,0.434,4.49,-20.0
2020-03-28 03:35:16,0.442,4.49,-20.0
2020-03-28 15:34:44,0.441,4.5,-20.0
2020-03-29 03:34:10,0.439,4.5,-20.0
2020-03-29 15:33:29,0.441,4.48,-20.0
2020-03-30 03:32:45,0.438,4.48,-20.0
2020-03-30 15:32:06,0.439,4.49,-20.0
2020-03-31 03:31:19,0.439,4.48,-20.0
2020-03-31 15:30:26,0.439,4.47,-20.0
2020-04-01 03:29:43,0.44,4.48,-20.0
2020-04-01 15:29:06,0.444,4.49,-20.0
2020-04-02 03:28:22,0.436,4.48,-20.0
2020-04-02 15:27:48,0.432,4.49,-20.0
2020-04-03 03:26:57,0.434,4.49,-20.0
2020-04-03 15:26:00,0.432,4.48,-20.0
2020-04-04 03:25:06,0.434,4.49,-20.0
2020-04-04 15:24:09,0.438,4.49,-20.0
2020-04-05 03:23:18,0.438,4.51,-20.0
2020-04-05 15:22:20,0.438,4.5,-20.0
