KeyTime,ResistValue,VoltValue,TempValue
2020-02-12 14:06:47,0.34,4.49,-20.0
2020-02-13 02:05:56,0.401,4.47,-20.0
2020-02-13 14:05:15,0.401,4.46,-20.0
2020-02-14 02:04:22,0.403,4.47,-20.0
2020-02-14 14:03:34,0.444,4.48,-20.0
2020-02-15 02:02:52,0.447,4.48,-20.0
2020-02-15 14:02:21,0.344,4.49,-20.0
2020-02-16 02:01:39,0.398,4.47,-20.0
2020-02-16 14:00:53,0.374,4.48,-20.0
2020-02-17 02:00:17,0.355,4.49,-20.0
2020-02-17 13:59:37,0.368,4.48,-20.0
2020-02-18 01:59:03,0.402,4.46,-20.0
2020-02-18 13:58:28,0.343,4.48,-20.0
2020-02-19 01:57:45,0.396,4.46,-20.0
2020-02-19 13:57:06,0.394,4.47,-20.0
2020-02-20 01:56:26,0.341,4.49,-20.0
2020-02-20 13:40:38,0.435,4.48,-20.0
2020-02-20 13:51:11,0.594,4.45,-20.0
2020-02-20 13:56:46,0.594,4.45,-20.0
2020-02-21 01:56:07,0.6,4.49,-20.0
2020-02-21 13:55:30,0.599,4.49,19.6
2020-02-22 01:54:49,0.621,4.49,-20.0
2020-02-22 13:54:02,0.613,4.46,-20.0
2020-02-23 01:53:24,0.595,4.45,-20.0
2020-02-23 13:52:47,0.619,4.47,-20.0
2020-02-24 01:52:03,0.611,4.48,-20.0
2020-02-24 13:51:18,0.61,4.47,-20.0
2020-02-25 01:50:23,0.606,4.47,-20.0
2020-02-25 13:49:42,0.613,4.48,-20.0
2020-02-26 01:49:07,0.601,4.49,-20.0
2020-02-26 13:48:25,0.604,4.47,-20.0
2020-02-27 01:47:32,0.587,4.48,-20.0
2020-02-27 13:46:40,0.599,4.5,-20.0
2020-02-28 01:45:55,0.599,4.49,-20.0
2020-02-28 13:45:09,0.607,4.47,-20.0
2020-02-29 01:44:30,0.604,4.46,-20.0
2020-02-29 13:43:36,0.6,4.49,-20.0
2020-03-01 01:42:52,0.596,4.49,-20.0
2020-03-01 13:42:07,0.613,4.47,-20.0
2020-03-02 01:41:13,0.613,4.48,-20.0
