KeyTime,ResistValue,VoltValue,TempValue
2020-02-12 13:22:05,0.319,4.48,-20.0
2020-02-13 01:21:22,0.356,4.5,-20.0
2020-02-13 13:20:44,0.363,4.51,-20.0
2020-02-14 01:20:08,0.367,4.51,-20.0
2020-02-14 13:19:26,0.371,4.51,-20.0
2020-02-14 15:24:38,0.437,4.46,-20.0
2020-02-14 15:27:43,0.371,4.51,-20.0
2020-02-14 15:33:41,0.385,4.51,-20.0
2020-02-15 03:32:46,0.379,4.5,-20.0
2020-02-15 15:31:53,0.379,4.5,-20.0
2020-02-16 03:31:08,0.371,4.51,-20.0
2020-02-16 15:30:25,0.373,4.51,-20.0
2020-02-17 03:29:40,0.361,4.5,-20.0
2020-02-17 15:28:59,0.366,4.5,-20.0
2020-02-18 03:28:19,0.372,4.5,-20.0
2020-02-18 15:27:35,0.376,4.5,-20.0
2020-02-19 03:26:55,0.377,4.5,-20.0
2020-02-19 15:26:17,0.379,4.5,-20.0
2020-02-20 03:25:34,0.343,4.48,-20.0
2020-02-20 11:32:23,0.381,4.51,-20.0
2020-02-20 11:38:01,0.377,4.51,-20.0
2020-02-20 11:47:06,1.356,4.5,-20.0
2020-02-20 23:46:32,0.596,4.48,-20.0
2020-02-21 11:45:45,0.599,4.48,-20.0
2020-02-21 16:22:13,0.556,4.5,-20.0
2020-02-21 16:32:15,0.571,4.5,-20.0
2020-02-22 04:31:30,0.591,4.5,-20.0
2020-02-22 16:30:41,0.592,4.5,-20.0
2020-02-23 04:29:52,0.575,4.5,-20.0
2020-02-23 16:29:08,0.582,4.51,-20.0
2020-02-24 04:28:21,0.586,4.5,-20.0
2020-02-24 16:27:35,0.588,4.5,-20.0
2020-02-25 04:26:51,0.588,4.51,-20.0
2020-02-25 16:25:50,0.591,4.5,-20.0
2020-02-26 04:25:07,0.594,4.5,-20.0
2020-02-26 16:24:21,0.592,4.51,-20.0
2020-02-27 04:23:35,0.593,4.5,-20.0
2020-02-27 16:22:47,0.596,4.51,-20.0
2020-02-28 04:22:07,0.6,4.51,-20.0
2020-02-28 16:21:19,0.593,4.51,-20.0
2020-02-29 04:20:42,0.591,4.51,-20.0
2020-02-29 16:19:51,0.589,4.5,-20.0
2020-03-01 04:19:07,0.589,4.51,-20.0
2020-03-01 16:18:21,0.601,4.48,-20.0
2020-03-02 04:17:40,0.591,4.5,-20.0
2020-03-02 16:17:09,0.592,4.51,-20.0
2020-03-03 04:16:31,0.591,4.5,-20.0
2020-03-03 16:15:52,0.59,4.51,-20.0
2020-03-04 04:15:17,0.592,4.5,-20.0
2020-03-04 16:14:40,0.595,4.5,-20.0
2020-03-05 04:14:00,0.593,4.51,-20.0
2020-03-05 16:13:12,0.595,4.5,-20.0
2020-03-06 04:12:23,0.579,4.5,-20.0
2020-03-06 16:11:40,0.584,4.5,-20.0
2020-03-07 04:10:51,0.586,4.5,-20.0
2020-03-07 16:10:20,0.611,4.48,-20.0
2020-03-08 04:09:39,0.604,4.48,-20.0
2020-03-08 16:09:01,0.586,4.51,-20.0
2020-03-09 04:08:26,0.588,4.5,-20.0
2020-03-09 16:07:37,0.583,4.51,-20.0
2020-03-10 04:06:49,0.588,4.51,-20.0
2020-03-10 16:06:09,0.581,4.5,-20.0
2020-03-11 04:05:20,0.585,4.5,-20.0
2020-03-11 16:04:31,0.591,4.51,-20.0
2020-03-12 04:03:48,0.584,4.5,-20.0
2020-03-12 16:03:08,0.59,4.5,-20.0
