KeyTime,ResistValue,VoltValue,TempValue
2020-02-12 21:01:48,0.421,4.49,-20.0
2020-02-13 09:01:01,0.418,4.48,-20.0
2020-02-13 21:00:13,0.417,4.48,-20.0
2020-02-14 08:59:29,0.421,4.48,-20.0
2020-02-14 20:58:46,0.424,4.47,-20.0
2020-02-15 08:58:09,0.42,4.48,-20.0
2020-02-15 20:57:26,0.419,4.49,-20.0
2020-02-16 08:56:45,0.42,4.48,-20.0
2020-02-16 20:55:57,0.42,4.48,-20.0
2020-02-17 08:55:12,0.426,4.47,-20.0
2020-02-17 20:54:23,0.422,4.47,-20.0
2020-02-18 08:53:38,0.42,4.47,-20.0
2020-02-18 20:52:48,0.419,4.47,-20.0
2020-02-19 08:52:09,0.424,4.47,-20.0
2020-02-19 20:51:27,0.426,4.47,-20.0
2020-02-20 08:50:48,0.426,4.47,-20.0
2020-02-20 20:50:04,0.425,4.47,-20.0
2020-02-21 08:49:24,0.424,4.48,-20.0
2020-02-21 20:48:46,0.424,4.47,-20.0
2020-02-22 08:48:05,0.422,4.48,-20.0
2020-02-22 20:47:08,0.421,4.48,-20.0
2020-02-23 08:46:26,0.422,4.47,-20.0
2020-02-23 20:45:27,0.422,4.48,-20.0
2020-02-24 08:44:45,0.422,4.47,-20.0
2020-02-24 20:44:02,0.423,4.48,-20.0
2020-02-25 08:43:23,0.426,4.48,-20.0
2020-02-25 20:42:41,0.423,4.48,-20.0
2020-02-26 08:41:53,0.424,4.47,-20.0
2020-02-26 20:41:07,0.428,4.48,-20.0
2020-02-27 08:40:24,0.4,4.48,-20.0
2020-02-27 20:39:46,0.401,4.48,-20.0
2020-02-28 08:38:59,0.406,4.48,-20.0
2020-02-28 20:38:12,0.429,4.48,-20.0
2020-02-29 08:37:37,0.415,4.47,-20.0
2020-02-29 20:36:33,0.415,4.48,-20.0
2020-03-01 08:35:36,0.414,4.48,-20.0
2020-03-01 20:34:49,0.416,4.46,-20.0
2020-03-02 08:33:49,0.416,4.47,-20.0
2020-03-02 20:33:11,0.419,4.47,-20.0
2020-03-03 08:32:30,0.42,4.47,-20.0
2020-03-03 20:31:54,0.42,4.48,-20.0
2020-03-04 08:31:18,0.417,4.48,-20.0
2020-03-04 20:30:40,0.419,4.47,-20.0
2020-03-05 08:29:56,0.419,4.48,-20.0
2020-03-05 20:29:09,0.42,4.47,-20.0
2020-03-06 08:28:28,0.42,4.46,-20.0
2020-03-06 20:27:41,0.42,4.47,-20.0
2020-03-07 08:26:56,0.418,4.47,-20.0
2020-03-07 20:26:04,0.42,4.48,-20.0
2020-03-08 08:25:22,0.422,4.48,-20.0
2020-03-08 20:24:45,0.422,4.47,-20.0
2020-03-09 08:24:04,0.423,4.48,-20.0
2020-03-09 20:23:13,0.424,4.47,-20.0
2020-03-10 08:22:28,0.423,4.48,-20.0
2020-03-10 20:21:40,0.422,4.47,-20.0
2020-03-11 08:20:47,0.42,4.47,-20.0
2020-03-11 20:19:49,0.421,4.48,-20.0
2020-03-12 08:19:00,0.422,4.47,-20.0
2020-03-12 20:18:29,0.424,4.47,-20.0
2020-03-13 08:17:51,0.419,4.47,-20.0
2020-03-13 20:17:13,0.419,4.48,-20.0
2020-03-14 08:16:28,0.418,4.47,-20.0
2020-03-18 02:17:00,0.423,4.48,-20.0
2020-03-18 14:16:08,0.421,4.47,-20.0
2020-03-19 02:15:25,0.419,4.47,-20.0
2020-03-19 14:14:38,0.422,4.47,-20.0
2020-03-20 02:13:56,0.418,4.48,-20.0
2020-03-20 14:13:02,0.413,4.47,-20.0
2020-03-21 02:12:06,0.411,4.48,-20.0
2020-03-21 14:11:16,0.415,4.48,-20.0
2020-03-22 02:10:35,0.415,4.48,-20.0
2020-03-22 14:09:51,0.416,4.48,-20.0
2020-03-23 02:09:02,0.418,4.48,-20.0
2020-03-23 14:08:19,0.417,4.47,-20.0
2020-03-24 02:07:38,0.418,4.48,-20.0
2020-03-24 14:06:52,0.395,4.48,-20.0
2020-03-25 02:06:05,0.4,4.47,-20.0
2020-03-25 14:05:14,0.4,4.48,-20.0
2020-03-26 02:04:31,0.402,4.47,-20.0
2020-03-26 14:03:34,0.403,4.48,-20.0
2020-03-27 02:02:52,0.406,4.48,-20.0
2020-03-27 14:02:12,0.41,4.47,-20.0
2020-03-28 02:01:38,0.412,4.47,-20.0
2020-03-28 14:00:58,0.411,4.48,-20.0
2020-03-29 02:00:21,0.413,4.47,-20.0
2020-03-29 13:59:38,0.413,4.48,-20.0
2020-03-30 01:58:52,0.41,4.47,-20.0
2020-03-30 13:58:16,0.409,4.48,-20.0
2020-03-31 01:57:27,0.411,4.48,-20.0
2020-03-31 13:56:42,0.416,4.47,-20.0
2020-04-01 01:56:01,0.413,4.48,-20.0
2020-04-01 13:55:15,0.416,4.47,-20.0
2020-04-02 01:54:13,0.421,4.48,-20.0
2020-04-02 13:53:18,0.421,4.48,-20.0
2020-04-03 01:52:28,0.419,4.47,-20.0
2020-04-03 13:51:25,0.419,4.47,-20.0
2020-04-04 01:50:26,0.418,4.47,-20.0
2020-04-04 13:49:26,0.42,4.47,-20.0
2020-04-05 01:48:21,0.422,4.48,-20.0
2020-04-05 13:47:35,0.417,4.47,-20.0
2020-04-06 01:46:42,0.416,4.47,-20.0
2020-04-06 13:45:57,0.417,4.48,-20.0
2020-04-07 01:45:11,0.417,4.48,-20.0
2020-04-07 13:44:27,0.416,4.48,-20.0
2020-04-08 01:43:39,0.417,4.47,-20.0
2020-04-08 13:42:52,0.416,4.48,-20.0
2020-04-09 01:41:52,0.418,4.48,-20.0
2020-04-09 13:41:03,0.414,4.48,-20.0
2020-04-10 01:40:20,0.415,4.48,-20.0
