KeyTime,ResistValue,VoltValue,TempValue
2020-02-12 14:16:08,0.732,4.41,-20.0
2020-02-13 02:15:27,0.435,4.45,21.9
2020-02-13 14:14:53,0.49,4.43,-20.0
2020-02-14 02:14:16,0.407,4.52,-20.0
2020-02-14 14:13:30,0.431,4.44,22.2
2020-02-15 02:12:48,0.432,4.45,22.5
2020-02-15 14:12:06,0.439,4.44,22.6
2020-02-16 02:11:24,0.398,4.51,-20.0
2020-02-16 14:10:35,0.402,4.51,-20.0
2020-02-17 02:09:54,0.503,4.43,-20.0
2020-02-17 14:09:18,0.399,4.5,-20.0
2020-02-18 02:08:38,0.439,4.47,18.9
2020-02-18 14:07:54,0.397,4.49,-20.0
2020-02-19 02:07:13,0.394,4.5,-20.0
2020-02-19 14:06:33,0.438,4.45,20.2
2020-02-20 02:05:50,0.436,4.46,20.7
2020-02-20 14:05:08,0.435,4.45,20.9
2020-02-20 15:44:39,0.504,4.44,-20.0
2020-02-20 15:57:51,0.488,4.44,-20.0
2020-02-20 16:03:22,0.536,4.43,-20.0
2020-02-21 04:02:37,0.451,4.45,21.0
2020-02-21 16:01:55,0.446,4.45,21.4
2020-02-22 04:01:05,0.443,4.45,21.0
2020-03-18 01:52:58,0.341,4.48,-20.0
2020-03-18 13:52:24,0.444,4.43,-20.0
2020-03-19 01:51:47,0.346,4.48,-20.0
2020-03-19 13:51:20,0.354,4.51,-20.0
2020-03-20 01:50:36,0.45,4.43,-20.0
2020-03-20 13:49:53,0.356,4.47,-20.0
2020-03-21 01:49:24,0.396,4.51,-20.0
2020-03-21 13:48:33,0.358,4.51,-20.0
2020-03-22 01:47:55,0.41,4.51,-20.0
2020-03-22 13:47:16,0.429,4.45,22.4
2020-03-23 01:46:30,0.429,4.44,22.5
2020-03-23 13:45:53,0.353,4.51,-20.0
2020-03-24 01:45:18,0.448,4.44,-20.0
2020-03-25 01:43:59,0.447,4.43,-20.0
2020-03-25 13:43:25,0.446,4.43,-20.0
2020-03-25 14:09:27,0.467,4.43,-20.0
2020-03-26 02:08:50,0.461,4.43,-20.0
2020-03-27 02:53:28,0.457,4.44,-20.0
2020-03-27 14:52:54,0.446,4.43,-20.0
2020-03-28 02:52:24,0.445,4.43,-20.0
2020-03-28 14:51:44,0.447,4.43,-20.0
2020-03-29 02:51:03,0.448,4.43,-20.0
2020-03-29 14:50:25,0.449,4.44,-20.0
2020-03-30 02:49:39,0.448,4.44,-20.0
2020-03-30 14:49:01,0.438,4.43,-20.0
2020-03-31 02:48:02,0.437,4.44,-20.0
2020-03-31 14:47:18,0.437,4.43,-20.0
2020-04-01 02:46:22,0.44,4.44,-20.0
2020-04-01 14:45:43,0.443,4.43,-20.0
2020-04-02 02:45:00,0.448,4.43,-20.0
2020-04-02 14:44:16,0.439,4.43,-20.0
2020-04-03 02:43:36,0.442,4.44,-20.0
2020-04-03 14:42:48,0.438,4.44,-20.0
2020-04-04 02:41:58,0.435,4.44,-20.0
2020-04-04 14:41:12,0.441,4.43,-20.0
2020-04-05 02:40:21,0.436,4.44,-20.0
2020-04-05 14:39:28,0.437,4.45,-20.0
2020-04-06 02:38:46,0.442,4.44,-20.0
2020-04-06 14:37:57,0.437,4.43,-20.0
2020-04-07 02:37:10,0.438,4.44,-20.0
2020-04-07 14:36:24,0.44,4.44,-20.0
2020-04-08 02:35:40,0.443,4.43,-20.0
2020-04-08 14:34:45,0.443,4.42,-20.0
2020-04-09 02:34:04,0.443,4.43,-20.0
2020-04-09 14:33:09,0.446,4.42,-20.0
2020-04-10 02:32:11,0.448,4.43,-20.0
2020-04-10 14:31:30,0.445,4.43,-20.0
2020-05-06 13:45:52,0.44,4.44,-20.0
2020-05-07 13:44:02,0.446,4.46,-20.0
2020-05-08 01:43:29,0.448,4.44,-20.0
2020-05-08 13:42:52,0.448,4.44,-20.0
2020-05-09 01:42:08,0.452,4.44,-20.0
2020-05-09 13:41:33,0.457,4.44,-20.0
2020-05-10 01:40:48,0.453,4.44,-20.0
2020-05-10 13:40:18,0.447,4.44,-20.0
2020-05-11 01:39:40,0.452,4.45,-20.0
2020-05-11 13:39:00,0.45,4.44,-20.0
2020-05-12 01:38:13,0.448,4.44,-20.0
2020-05-13 22:48:41,0.442,4.44,-20.0
2020-05-14 10:47:58,0.443,4.44,-20.0
2020-05-14 22:47:22,0.444,4.44,-20.0
2020-05-15 10:46:49,0.445,4.43,-20.0
2020-05-15 22:46:10,0.447,4.44,-20.0
2020-05-16 10:45:23,0.442,4.44,-20.0
2020-05-16 22:44:41,0.442,4.44,-20.0
2020-05-17 10:44:08,0.444,4.43,-20.0
2020-05-17 22:43:35,0.444,4.43,-20.0
2020-05-18 10:42:46,0.441,4.43,-20.0
2020-05-18 22:42:02,0.445,4.44,-20.0
2020-05-19 10:41:21,0.44,4.44,-20.0
2020-05-19 22:40:39,0.441,4.44,-20.0
2020-05-20 10:40:06,0.442,4.43,-20.0
2020-05-20 22:39:23,0.436,4.43,-20.0
2020-05-21 10:38:50,0.438,4.43,-20.0
2020-05-21 22:37:56,0.44,4.43,-20.0
2020-05-22 10:37:16,0.438,4.43,-20.0
2020-05-22 22:36:41,0.441,4.44,-20.0
2020-05-23 10:36:09,0.436,4.43,-20.0
2020-05-23 22:35:30,0.443,4.43,-20.0
2020-05-24 10:34:40,0.447,4.44,-20.0
2020-05-24 22:34:07,0.442,4.43,-20.0
2020-05-25 10:33:19,0.441,4.44,-20.0
2020-05-25 22:32:48,0.444,4.43,-20.0
2020-05-27 02:01:42,0.439,4.44,-20.0
2020-05-27 14:01:09,0.446,4.44,-20.0
2020-05-28 02:00:42,0.451,4.44,-20.0
2020-05-28 14:00:16,0.448,4.44,-20.0
2020-05-29 01:59:53,0.443,4.44,-20.0
2020-05-29 13:59:20,0.445,4.43,-20.0
2020-05-30 01:58:56,0.45,4.44,-20.0
2020-05-30 13:58:27,0.448,4.43,-20.0
2020-05-31 01:57:51,0.445,4.43,-20.0
2020-05-31 13:57:14,0.442,4.43,-20.0
2020-06-01 01:56:43,0.444,4.44,-20.0
2020-06-01 13:56:06,0.449,4.43,-20.0
2020-06-02 01:55:36,0.447,4.43,-20.0
2020-06-02 13:55:08,0.44,4.44,-20.0
2020-06-03 01:54:43,0.445,4.44,-20.0
2020-06-03 13:53:59,0.449,4.44,-20.0
2020-06-04 01:53:34,0.453,4.43,-20.0
2020-06-04 13:53:05,0.454,4.44,-20.0
2020-06-05 01:52:31,0.449,4.44,-20.0
2020-06-05 13:52:03,0.448,4.43,-20.0
2020-06-06 01:51:34,0.443,4.43,-20.0
2020-06-06 13:51:07,0.447,4.44,-20.0
2020-06-07 01:50:43,0.439,4.43,-20.0
2020-06-07 13:50:12,0.439,4.44,-20.0
2020-06-08 01:49:49,0.445,4.44,-20.0
2020-06-08 13:49:25,0.441,4.44,-20.0
2020-06-09 01:48:57,0.442,4.43,-20.0
2020-06-09 13:48:37,0.44,4.44,-20.0
2020-06-10 01:48:05,0.439,4.43,-20.0
2020-06-10 13:47:35,0.437,4.44,-20.0
2020-06-11 01:47:08,0.437,4.44,-20.0
2020-06-11 13:46:37,0.439,4.44,-20.0
2020-06-12 01:46:07,0.441,4.44,-20.0
2020-06-12 13:45:42,0.447,4.42,-20.0
2020-06-13 01:45:26,0.447,4.44,-20.0
2020-06-13 13:44:49,0.443,4.43,-20.0
2020-06-14 01:44:16,0.445,4.44,-20.0
2020-06-14 13:43:43,0.445,4.43,-20.0
2020-06-15 01:43:26,0.448,4.43,-20.0
2020-06-15 13:43:03,0.445,4.45,-20.0
2020-06-16 01:42:32,0.444,4.43,-20.0
2020-06-17 01:41:33,0.439,4.43,-20.0
2020-06-18 01:40:26,0.442,4.44,-20.0
2020-06-18 13:40:00,0.438,4.44,-20.0
2020-06-19 01:39:37,0.442,4.44,-20.0
2020-06-19 13:39:08,0.443,4.43,-20.0
2020-06-20 01:38:34,0.443,4.44,-20.0
2020-06-20 13:38:13,0.447,4.43,-20.0
2020-06-21 01:37:40,0.449,4.44,-20.0
2020-06-21 13:37:11,0.446,4.43,-20.0
2020-06-22 01:36:46,0.443,4.43,-20.0
2020-06-22 13:36:09,0.449,4.44,-20.0
2020-06-23 01:35:39,0.447,4.44,-20.0
2020-06-23 13:35:14,0.449,4.43,-20.0
2020-06-23 16:07:18,0.441,4.44,-20.0
2020-06-23 16:15:43,0.442,4.43,-20.0
2020-06-23 17:33:09,0.439,4.45,-20.0
2020-06-24 05:32:40,0.435,4.43,-20.0
2020-06-24 09:59:11,0.432,4.44,-20.0
2020-06-24 10:40:34,0.433,4.43,-20.0
2020-06-24 16:58:32,0.41,4.44,-20.0
2020-06-25 04:58:04,0.415,4.43,-20.0
2020-06-25 16:57:38,0.424,4.44,-20.0
2020-06-26 04:57:20,0.425,4.45,-20.0
2020-06-26 16:56:43,0.431,4.44,-20.0
2020-06-27 04:56:13,0.428,4.45,-20.0
2020-06-27 16:55:50,0.425,4.43,-20.0
2020-06-28 04:55:21,0.426,4.43,-20.0
2020-06-28 16:54:56,0.424,4.42,-20.0
2020-06-29 04:54:27,0.422,4.43,-20.0
2020-06-29 16:54:03,0.425,4.43,-20.0
2020-06-30 04:53:35,0.417,4.44,-20.0
2020-06-30 16:53:10,0.42,4.44,-20.0
2020-07-01 04:52:44,0.421,4.44,-20.0
2020-07-01 16:52:16,0.42,4.44,-20.0
2020-07-02 04:51:44,0.422,4.44,-20.0
2020-07-02 16:51:17,0.416,4.45,-20.0
2020-07-03 04:50:50,0.421,4.44,-20.0
2020-07-03 16:50:26,0.425,4.42,-20.0
2020-07-04 04:49:57,0.421,4.45,-20.0
2020-07-04 16:49:28,0.422,4.44,-20.0
2020-07-05 04:48:52,0.419,4.44,-20.0
2020-07-05 16:48:22,0.422,4.43,-20.0
2020-07-06 04:47:49,0.411,4.43,-20.0
2020-07-06 16:47:15,0.415,4.43,-20.0
