KeyTime,ResistValue,VoltValue,TempValue
2020-02-12 20:47:56,0.453,4.49,21.3
2020-02-13 08:47:12,0.447,4.5,-20.0
2020-02-13 20:46:32,0.449,4.5,21.3
2020-02-14 08:45:58,0.372,4.49,-20.0
2020-02-14 20:45:20,0.452,4.49,21.8
2020-02-15 08:44:40,0.454,4.48,21.6
2020-02-15 20:44:03,0.454,4.49,21.9
2020-02-16 08:43:09,0.394,4.47,-20.0
2020-02-16 20:42:32,0.42,4.49,-20.0
2020-02-17 08:41:42,0.355,4.53,-20.0
2020-02-17 20:40:59,0.449,4.5,18.5
2020-02-18 08:40:20,0.45,4.49,18.9
2020-02-18 20:39:30,0.361,4.52,-20.0
2020-02-19 08:38:51,0.445,4.5,-20.0
2020-02-19 20:38:09,0.452,4.49,19.8
2020-02-20 08:37:30,0.364,4.53,-20.0
2020-02-20 20:36:46,0.485,4.44,-20.0
2020-02-21 08:35:47,0.485,4.43,-20.0
2020-02-21 20:35:00,0.418,4.48,-20.0
2020-02-22 08:34:19,0.391,4.46,-20.0
2020-02-22 20:33:29,0.354,4.53,-20.0
2020-02-23 08:32:47,0.356,4.52,-20.0
2020-02-23 20:31:49,0.392,4.48,-20.0
2020-02-24 08:30:54,0.354,4.51,-20.0
2020-02-24 20:30:10,0.36,4.52,-20.0
2020-02-25 08:29:25,0.451,4.48,21.0
2020-02-25 20:28:41,0.366,4.52,-20.0
2020-02-26 08:27:53,0.354,4.52,-20.0
2020-02-26 20:27:04,0.452,4.49,21.2
2020-02-27 08:26:17,0.415,4.48,-20.0
2020-02-27 20:25:33,0.444,4.51,-20.0
2020-03-18 01:52:40,0.456,4.48,21.8
2020-03-18 13:52:02,0.361,4.53,-20.0
2020-03-19 01:51:12,0.36,4.53,-20.0
2020-03-19 13:50:30,0.416,4.48,-20.0
2020-03-20 01:49:35,0.442,4.51,-20.0
2020-03-20 13:48:46,0.411,4.48,-20.0
2020-03-21 01:48:03,0.361,4.53,-20.0
2020-03-21 13:47:20,0.447,4.49,-20.0
2020-03-22 01:46:39,0.347,4.52,-20.0
2020-03-22 13:45:49,0.347,4.52,-20.0
2020-03-23 01:45:12,0.449,4.5,-20.0
2020-03-23 13:44:33,0.386,4.47,-20.0
2020-03-24 01:43:47,0.481,4.45,-20.0
2020-03-24 13:42:59,0.47,4.45,-20.0
2020-03-25 01:42:10,0.473,4.44,-20.0
2020-03-25 13:41:25,0.478,4.44,-20.0
2020-03-26 01:40:37,0.481,4.44,-20.0
2020-03-26 13:39:52,0.48,4.44,-20.0
2020-03-27 01:39:15,0.477,4.44,-20.0
2020-03-27 13:38:33,0.482,4.44,-20.0
2020-03-28 01:38:06,0.484,4.44,-20.0
2020-03-28 13:37:32,0.482,4.44,-20.0
2020-03-29 01:37:01,0.479,4.45,-20.0
2020-03-29 13:36:19,0.482,4.45,-20.0
2020-03-30 01:35:45,0.472,4.44,-20.0
2020-03-30 13:34:59,0.471,4.44,-20.0
2020-03-31 01:34:08,0.47,4.44,-20.0
2020-03-31 13:33:23,0.469,4.44,-20.0
2020-04-01 01:32:34,0.469,4.44,-20.0
2020-04-01 13:31:54,0.472,4.44,-20.0
2020-04-02 01:31:07,0.475,4.44,-20.0
2020-04-02 13:30:32,0.481,4.44,-20.0
2020-04-03 01:29:37,0.482,4.44,-20.0
2020-04-03 13:28:38,0.472,4.44,-20.0
2020-04-04 01:27:55,0.476,4.44,-20.0
2020-04-04 13:26:57,0.473,4.43,-20.0
2020-04-05 01:25:55,0.471,4.44,-20.0
2020-04-05 13:25:05,0.47,4.44,-20.0
2020-04-06 01:24:09,0.466,4.44,-20.0
2020-04-06 13:23:20,0.47,4.44,-20.0
2020-04-07 01:22:36,0.474,4.44,-20.0
2020-04-07 13:21:59,0.478,4.44,-20.0
2020-04-08 01:21:15,0.475,4.43,-20.0
2020-04-08 13:20:23,0.474,4.44,-20.0
2020-04-09 01:19:35,0.465,4.44,-20.0
2020-04-09 13:18:16,0.468,4.44,-20.0
2020-04-10 01:17:17,0.468,4.45,-20.0
2020-04-10 13:16:30,0.468,4.45,-20.0
2020-04-11 13:14:36,0.47,4.44,-20.0
2020-05-07 12:28:57,0.475,4.44,-20.0
2020-05-08 00:28:15,0.476,4.45,-20.0
2020-05-08 12:27:26,0.473,4.45,-20.0
2020-05-09 00:26:37,0.475,4.45,-20.0
2020-05-09 12:25:59,0.478,4.44,-20.0
2020-05-10 00:25:24,0.477,4.44,-20.0
2020-05-10 12:24:36,0.478,4.44,-20.0
2020-05-11 00:24:03,0.48,4.44,-20.0
2020-05-11 12:23:24,0.482,4.44,-20.0
2020-05-12 00:22:40,0.483,4.44,-20.0
2020-05-13 22:48:21,0.485,4.45,-20.0
2020-05-14 10:47:42,0.482,4.44,-20.0
2020-05-14 22:46:58,0.48,4.44,-20.0
2020-05-15 10:46:12,0.485,4.45,-20.0
2020-05-15 22:45:33,0.482,4.45,-20.0
2020-05-16 10:44:48,0.48,4.44,-20.0
2020-05-16 22:44:04,0.473,4.45,-20.0
2020-05-17 10:43:24,0.478,4.44,-20.0
2020-05-17 22:42:50,0.484,4.44,-20.0
2020-05-18 10:42:01,0.487,4.44,-20.0
2020-05-18 22:41:23,0.488,4.44,-20.0
2020-05-19 10:40:42,0.484,4.44,-20.0
2020-05-19 22:40:03,0.484,4.44,-20.0
2020-05-20 10:39:27,0.484,4.44,-20.0
2020-05-20 22:38:45,0.483,4.44,-20.0
2020-05-21 10:37:55,0.472,4.45,-20.0
2020-05-21 22:37:09,0.475,4.44,-20.0
2020-05-22 10:36:31,0.471,4.44,-20.0
2020-05-22 22:35:56,0.479,4.44,-20.0
2020-05-23 10:35:21,0.476,4.44,-20.0
2020-05-23 22:34:44,0.478,4.45,-20.0
2020-05-24 10:33:50,0.484,4.44,-20.0
2020-05-24 22:33:02,0.484,4.44,-20.0
2020-05-25 10:32:12,0.486,4.44,-20.0
2020-05-25 22:31:38,0.488,4.45,-20.0
2020-05-26 10:30:55,0.487,4.44,-20.0
2020-05-27 01:55:03,0.488,4.44,-20.0
2020-05-27 13:54:27,0.486,4.44,-20.0
2020-05-28 01:53:57,0.485,4.45,-20.0
2020-05-28 13:53:20,0.486,4.45,-20.0
2020-05-29 01:52:54,0.485,4.44,-20.0
2020-05-29 13:52:27,0.482,4.45,-20.0
2020-05-30 01:51:50,0.484,4.44,-20.0
2020-05-30 13:51:29,0.476,4.44,-20.0
2020-05-31 01:50:57,0.479,4.44,-20.0
2020-05-31 13:50:24,0.473,4.44,-20.0
2020-06-01 01:49:45,0.477,4.44,-20.0
2020-06-01 13:49:20,0.479,4.44,-20.0
2020-06-02 01:48:49,0.481,4.44,-20.0
2020-06-02 13:48:16,0.486,4.44,-20.0
2020-06-03 01:47:52,0.482,4.44,-20.0
2020-06-03 13:47:29,0.484,4.44,-20.0
2020-06-04 01:46:56,0.485,4.45,-20.0
2020-06-04 13:46:29,0.484,4.44,-20.0
2020-06-05 01:45:58,0.484,4.44,-20.0
2020-06-05 13:45:33,0.481,4.44,-20.0
2020-06-06 01:45:14,0.471,4.44,-20.0
2020-06-06 13:44:44,0.479,4.44,-20.0
2020-06-07 01:44:11,0.478,4.44,-20.0
2020-06-07 13:43:48,0.479,4.44,-20.0
2020-06-08 01:43:11,0.483,4.45,-20.0
2020-06-08 13:42:37,0.488,4.45,-20.0
2020-06-09 01:42:04,0.486,4.44,-20.0
2020-06-09 13:41:26,0.483,4.44,-20.0
2020-06-10 01:40:59,0.481,4.45,-20.0
2020-06-10 13:40:34,0.474,4.44,-20.0
2020-06-11 01:40:03,0.478,4.44,-20.0
2020-06-11 13:39:30,0.478,4.44,-20.0
2020-06-12 01:39:20,0.475,4.44,-20.0
2020-06-12 13:38:52,0.48,4.44,-20.0
2020-06-13 01:38:26,0.478,4.44,-20.0
2020-06-13 13:38:01,0.483,4.44,-20.0
2020-06-14 01:37:31,0.478,4.45,-20.0
2020-06-14 13:37:01,0.478,4.44,-20.0
2020-06-15 01:36:32,0.481,4.44,-20.0
2020-06-15 13:35:52,0.48,4.44,-20.0
2020-06-16 01:35:18,0.474,4.44,-20.0
2020-06-23 15:41:16,0.476,4.44,-20.0
2020-06-23 15:51:38,1.059,4.44,-20.0
2020-06-23 16:02:06,0.44,4.45,-20.0
2020-06-24 10:54:17,0.39,4.44,-20.0
2020-06-25 04:46:26,0.433,4.45,-20.0
2020-06-25 16:45:52,0.432,4.45,-20.0
2020-06-26 04:45:21,0.432,4.44,-20.0
2020-07-01 10:38:38,0.443,4.44,-20.0
2020-07-01 22:38:08,0.435,4.44,-20.0
2020-07-02 10:37:39,0.429,4.44,-20.0
2020-07-02 22:37:16,0.431,4.44,-20.0
2020-07-03 10:36:48,0.433,4.44,-20.0
2020-07-03 22:36:21,0.438,4.45,-20.0
2020-07-04 10:35:47,0.435,4.45,-20.0
2020-07-04 22:35:25,0.431,4.45,-20.0
2020-07-05 10:34:55,0.421,4.44,-20.0
2020-07-05 22:34:30,0.425,4.45,-20.0
2020-07-06 10:33:58,0.426,4.45,-20.0
2020-07-06 22:33:26,0.429,4.44,-20.0
2020-07-07 10:32:56,0.423,4.45,-20.0
2020-07-07 22:32:31,0.422,4.44,-20.0
2020-07-08 10:32:06,0.422,4.45,-20.0
2020-07-08 22:31:32,0.422,4.45,-20.0
2020-07-09 10:31:08,0.423,4.45,-20.0
2020-07-09 22:30:44,0.412,4.45,-20.0
2020-07-10 10:30:16,0.416,4.44,-20.0
2020-07-10 22:29:42,0.419,4.46,-20.0
2020-07-11 10:29:18,0.414,4.45,-20.0
2020-07-11 22:28:48,0.417,4.45,-20.0
2020-07-12 10:28:22,0.42,4.46,-20.0
2020-07-12 22:27:58,0.421,4.45,-20.0
2020-07-13 10:27:39,0.423,4.45,-20.0
2020-07-13 22:27:13,0.423,4.45,-20.0
2020-07-14 10:26:48,0.417,4.45,-20.0
2020-07-14 22:26:17,0.423,4.45,-20.0
2020-07-15 10:25:48,0.426,4.45,-20.0
2020-07-15 22:25:29,0.425,4.46,-20.0
2020-07-16 10:25:12,0.428,4.45,-20.0
2020-07-16 22:24:45,0.429,4.46,-20.0
2020-07-17 10:24:14,0.425,4.45,-20.0
2020-07-17 22:23:36,0.42,4.45,-20.0
2020-07-18 10:23:17,0.426,4.45,-20.0
2020-07-18 22:22:42,0.416,4.45,-20.0
2020-07-19 10:22:18,0.417,4.46,-20.0
2020-07-19 22:21:52,0.423,4.46,-20.0
2020-07-20 10:21:30,0.424,4.45,-20.0
2020-07-20 22:20:52,0.431,4.46,-20.0
2020-07-21 10:20:21,0.432,4.45,-20.0
2020-07-21 22:19:54,0.429,4.45,-20.0
2020-07-22 10:19:21,0.43,4.45,-20.0
2020-07-22 22:19:02,0.426,4.45,-20.0
2020-07-23 10:18:28,0.41,4.46,-20.0
2020-09-15 11:16:50,0.43,4.45,-20.0
2020-09-15 23:16:22,0.428,4.46,-20.0
2020-09-16 11:15:57,0.426,4.45,-20.0
2020-09-16 23:15:26,0.427,4.47,-20.0
2020-09-17 10:06:52,0.428,4.46,-20.0
2020-09-17 22:06:27,0.421,4.45,-20.0
2020-09-18 10:05:52,0.425,4.46,-20.0
