KeyTime,ResistValue,VoltValue,TempValue
2020-02-20 16:37:39,0.471,4.45,-20.0
2020-02-21 04:36:56,0.477,4.45,-20.0
2020-02-21 10:52:07,0.477,4.46,-20.0
2020-02-21 11:16:22,0.458,4.45,-20.0
2020-02-21 11:21:51,0.601,4.45,-20.0
2020-02-21 23:21:03,0.609,4.45,-20.0
2020-02-22 11:20:24,0.604,4.44,-20.0
2020-02-22 23:19:44,0.607,4.45,-20.0
2020-02-23 11:18:49,0.604,4.45,-20.0
2020-02-23 23:18:01,0.606,4.45,-20.0
2020-02-24 11:17:13,0.605,4.45,-20.0
2020-02-24 23:16:23,0.604,4.45,-20.0
2020-02-25 11:15:37,0.604,4.45,-20.0
2020-02-25 23:14:39,0.607,4.45,-20.0
2020-02-26 11:13:58,0.605,4.44,-20.0
2020-02-26 23:13:19,0.606,4.45,-20.0
2020-02-27 11:12:35,0.604,4.45,-20.0
2020-02-27 23:11:55,0.601,4.45,-20.0
2020-02-28 11:11:15,0.597,4.44,-20.0
2020-02-28 23:10:33,0.595,4.44,-20.0
2020-02-29 11:09:46,0.596,4.45,-20.0
2020-02-29 23:09:18,0.589,4.45,-20.0
2020-03-18 02:17:54,0.587,4.45,-20.0
2020-03-18 14:17:11,0.586,4.45,-20.0
2020-03-19 02:16:31,0.576,4.46,-20.0
2020-03-19 14:15:59,0.578,4.45,-20.0
2020-03-20 02:15:29,0.586,4.44,-20.0
2020-03-20 14:14:37,0.584,4.44,-20.0
2020-03-25 13:58:20,0.566,4.45,-20.0
2020-03-26 01:57:42,0.577,4.44,-20.0
2020-03-26 13:56:54,0.583,4.46,-20.0
2020-03-27 01:56:10,0.586,4.44,-20.0
2020-03-27 13:55:31,0.585,4.45,-20.0
2020-03-28 01:54:56,0.577,4.45,-20.0
2020-03-28 13:54:05,0.583,4.46,-20.0
2020-03-29 01:53:30,0.585,4.45,-20.0
2020-03-29 13:52:43,0.587,4.45,-20.0
2020-03-30 01:52:12,0.584,4.45,-20.0
2020-03-30 13:51:29,0.584,4.45,-20.0
2020-03-31 01:50:42,0.586,4.45,-20.0
2020-03-31 13:49:47,0.595,4.45,-20.0
2020-04-01 01:48:59,0.596,4.46,-20.0
2020-04-01 13:48:13,0.597,4.46,-20.0
2020-04-02 01:47:24,0.591,4.45,-20.0
2020-04-02 13:46:37,0.595,4.45,-20.0
2020-04-03 01:45:54,0.59,4.45,-20.0
2020-04-03 13:45:06,0.583,4.46,-20.0
2020-04-04 01:44:28,0.587,4.45,-20.0
2020-04-04 13:43:43,0.587,4.45,-20.0
2020-04-05 01:43:01,0.588,4.45,-20.0
2020-04-05 13:42:16,0.588,4.44,-20.0
2020-04-06 01:41:42,0.59,4.45,-20.0
2020-04-06 13:40:43,0.59,4.45,-20.0
2020-04-07 01:39:58,0.579,4.46,-20.0
2020-04-07 13:39:17,0.585,4.45,-20.0
2020-04-08 01:38:25,0.582,4.45,-20.0
2020-04-08 13:37:51,0.585,4.45,-20.0
2020-04-09 01:36:53,0.588,4.46,-20.0
2020-04-09 13:36:02,0.591,4.44,-20.0
2020-04-10 01:35:14,0.593,4.46,-20.0
2020-04-10 13:34:18,0.593,4.44,-20.0
2020-05-07 12:44:12,0.592,4.46,-20.0
2020-05-08 00:43:41,0.595,4.46,-20.0
2020-05-08 12:43:03,0.598,4.45,-20.0
2020-05-09 00:42:23,0.593,4.45,-20.0
2020-05-09 12:41:35,0.592,4.45,-20.0
2020-05-10 00:40:44,0.59,4.45,-20.0
2020-05-10 12:39:54,0.589,4.45,-20.0
2020-05-11 00:39:12,0.582,4.44,-20.0
2020-05-11 12:38:39,0.584,4.46,-20.0
2020-05-13 22:58:10,0.592,4.45,-20.0
2020-05-14 10:57:25,0.59,4.45,-20.0
2020-05-14 22:56:38,0.578,4.45,-20.0
2020-05-15 10:55:57,0.578,4.44,-20.0
2020-05-15 22:55:15,0.576,4.45,-20.0
2020-05-16 10:54:38,0.583,4.46,-20.0
2020-05-16 22:53:54,0.588,4.46,-20.0
2020-05-17 10:53:01,0.592,4.45,-20.0
2020-05-17 22:52:16,0.589,4.45,-20.0
2020-05-18 10:51:33,0.589,4.44,-20.0
2020-05-18 22:50:40,0.594,4.44,-20.0
2020-05-19 10:49:56,0.589,4.45,-20.0
2020-05-19 22:49:15,0.593,4.45,-20.0
2020-05-20 10:48:30,0.591,4.45,-20.0
2020-05-20 22:47:44,0.59,4.45,-20.0
2020-05-21 10:47:08,0.596,4.46,-20.0
2020-05-21 22:46:24,0.598,4.45,-20.0
2020-05-22 10:45:45,0.597,4.44,-20.0
2020-05-22 22:45:00,0.59,4.45,-20.0
2020-05-23 10:44:14,0.591,4.44,-20.0
2020-05-23 22:43:33,0.588,4.45,-20.0
2020-05-24 10:42:44,0.587,4.45,-20.0
2020-05-27 02:59:37,0.591,4.45,-20.0
2020-05-27 14:58:59,0.589,4.45,-20.0
2020-05-28 02:58:28,0.577,4.45,-20.0
2020-05-28 14:57:56,0.579,4.46,-20.0
2020-05-29 02:57:25,0.583,4.45,-20.0
2020-05-29 14:56:52,0.586,4.46,-20.0
2020-05-30 02:56:23,0.589,4.45,-20.0
2020-05-30 14:55:54,0.591,4.45,-20.0
2020-05-31 02:55:30,0.598,4.45,-20.0
2020-05-31 14:54:58,0.602,4.44,-20.0
2020-06-01 02:54:34,0.601,4.46,-20.0
2020-06-01 14:54:00,0.594,4.45,-20.0
2020-06-02 02:53:32,0.59,4.45,-20.0
2020-06-02 14:53:04,0.592,4.46,-20.0
2020-06-03 02:52:28,0.594,4.46,-20.0
2020-06-03 14:52:02,0.596,4.45,-20.0
2020-06-04 02:51:30,0.593,4.45,-20.0
2020-06-04 14:51:03,0.59,4.45,-20.0
2020-06-05 02:50:34,0.576,4.43,-20.0
2020-06-05 14:50:06,0.58,4.45,-20.0
2020-06-06 02:49:46,0.578,4.46,-20.0
2020-06-06 14:49:15,0.582,4.45,-20.0
2020-06-07 02:48:52,0.587,4.45,-20.0
2020-06-07 14:48:18,0.588,4.45,-20.0
2020-06-08 02:47:48,0.586,4.45,-20.0
2020-06-08 14:47:13,0.589,4.45,-20.0
2020-06-09 02:46:36,0.587,4.45,-20.0
2020-06-09 14:46:14,0.583,4.45,-20.0
2020-06-10 02:45:50,0.586,4.45,-20.0
2020-06-10 14:45:26,0.591,4.46,-20.0
2020-06-11 02:45:02,0.594,4.45,-20.0
2020-06-11 14:44:36,0.596,4.45,-20.0
2020-06-12 02:44:15,0.596,4.45,-20.0
2020-06-12 11:09:27,0.593,4.46,-20.0
2020-06-12 11:18:38,1.055,4.44,-20.0
2020-06-12 11:30:23,0.432,4.44,-20.0
2020-06-12 11:34:41,0.434,4.45,-20.0
2020-06-12 12:58:16,0.401,4.44,-20.0
