KeyTime,ResistValue,VoltValue,TempValue
2020-02-14 16:06:32,0.373,4.48,-20.0
2020-02-15 04:05:35,0.371,4.49,-20.0
2020-02-15 16:04:41,0.371,4.48,-20.0
2020-02-16 04:03:44,0.325,4.46,-20.0
2020-02-16 16:02:52,0.372,4.47,-20.0
2020-02-17 04:01:57,0.448,4.49,-20.0
2020-02-17 16:01:03,0.371,4.49,-20.0
2020-02-18 04:00:18,0.485,4.51,-20.0
2020-02-18 15:59:29,0.451,4.48,-20.0
2020-02-19 03:58:42,0.375,4.48,-20.0
2020-02-19 15:58:00,0.371,4.48,-20.0
2020-02-20 03:57:09,0.488,4.53,-20.0
2020-02-20 15:56:21,0.45,4.48,-20.0
2020-02-21 03:55:20,0.454,4.48,-20.0
2020-02-21 15:54:38,0.456,4.48,-20.0
2020-02-22 03:53:57,0.332,4.55,-20.0
2020-02-22 15:53:06,0.383,4.51,-20.0
2020-02-23 03:52:26,0.372,4.48,-20.0
2020-02-23 15:51:39,0.341,4.5,-20.0
2020-02-24 03:50:53,0.382,4.51,-20.0
2020-02-24 15:50:13,0.383,4.5,-20.0
2020-02-25 03:49:32,0.382,4.51,-20.0
2020-02-25 15:48:45,0.33,4.52,-20.0
2020-02-26 03:47:54,0.45,4.48,-20.0
2020-02-26 15:47:08,0.373,4.49,-20.0
2020-02-27 03:46:24,0.329,4.52,-20.0
2020-02-27 15:45:36,0.488,4.5,-20.0
2020-02-28 03:44:53,0.489,4.5,-20.0
2020-02-28 15:44:08,0.382,4.5,-20.0
2020-02-29 03:43:25,0.376,4.48,-20.0
2020-02-29 15:42:36,0.367,4.48,-20.0
2020-03-01 03:41:44,0.376,4.48,-20.0
2020-03-01 15:40:58,0.32,4.46,-20.0
2020-03-02 03:40:03,0.376,4.49,-20.0
2020-03-02 15:39:07,0.45,4.5,-20.0
2020-03-03 03:38:25,0.375,4.48,-20.0
2020-03-03 15:37:40,0.49,4.51,-20.0
2020-03-04 03:36:50,0.379,4.49,-20.0
2020-03-04 15:36:07,0.453,4.49,-20.0
