KeyTime,ResistValue,VoltValue,TempValue
2020-02-12 13:38:49,0.0,4.47,21.7
2020-02-13 01:38:01,0.0,4.46,19.3
2020-02-13 13:37:15,0.414,4.48,-20.0
2020-02-14 01:36:29,0.37,4.48,-20.0
2020-02-14 13:35:57,0.414,4.47,-20.0
2020-02-15 01:35:07,0.371,4.47,-20.0
2020-02-15 13:34:27,0.352,4.48,-20.0
2020-02-16 01:34:00,0.356,4.48,-20.0
2020-02-16 13:33:22,0.373,4.47,-20.0
2020-02-17 01:32:52,0.379,4.47,-20.0
2020-02-17 13:32:06,0.382,4.49,-20.0
2020-02-18 01:31:34,0.415,4.48,-20.0
2020-02-18 13:30:48,0.0,4.46,20.8
2020-02-19 01:30:01,0.386,4.47,-20.0
2020-02-19 13:29:19,0.379,4.49,-20.0
2020-02-20 01:28:39,0.0,4.47,21.0
2020-02-20 11:11:57,0.0,4.47,21.3
2020-02-20 11:24:29,0.632,4.47,21.3
2020-02-20 23:23:38,0.586,4.47,-20.0
2020-02-21 11:23:06,0.594,4.48,-20.0
2020-02-21 23:22:33,0.601,4.48,-20.0
2020-02-22 11:21:47,0.618,4.48,-20.0
2020-02-22 23:20:54,0.627,4.49,-20.0
2020-02-23 11:20:10,0.657,4.47,21.8
2020-02-23 23:19:12,0.659,4.47,21.6
2020-02-24 11:18:27,0.598,4.48,-20.0
2020-02-24 23:17:51,0.667,4.48,22.1
2020-02-25 11:17:06,0.587,4.48,-20.0
2020-02-25 23:16:21,0.625,4.48,-20.0
2020-02-26 11:15:43,0.594,4.49,-20.0
2020-02-26 23:15:06,0.624,4.48,-20.0
2020-02-27 11:14:24,0.589,4.49,-20.0
2020-02-27 23:13:51,0.59,4.48,-20.0
2020-02-28 11:12:58,0.657,4.47,22.0
2020-02-28 23:12:19,0.599,4.47,-20.0
2020-02-29 11:11:41,0.63,4.48,-20.0
2020-02-29 23:10:51,0.624,4.46,-20.0
2020-03-01 11:10:02,0.66,4.47,22.2
2020-03-01 23:09:12,0.601,4.48,-20.0
2020-03-02 11:08:38,0.59,4.48,-20.0
2020-03-02 23:08:03,0.619,4.47,-20.0
2020-03-03 11:07:07,0.657,4.47,22.0
2020-03-03 23:06:29,0.586,4.49,-20.0
2020-03-04 11:05:51,0.656,4.47,22.5
