KeyTime,ResistValue,VoltValue,TempValue
2020-02-12 12:30:08,0.373,4.55,-20.0
2020-02-13 00:29:18,0.369,4.54,-20.0
2020-02-13 12:28:31,0.369,4.54,-20.0
2020-02-14 00:27:44,0.364,4.54,-20.0
2020-02-14 12:27:11,0.366,4.53,-20.0
2020-02-15 00:26:26,0.369,4.53,-20.0
2020-02-15 12:25:37,0.367,4.55,-20.0
2020-02-16 00:24:56,0.367,4.54,-20.0
2020-02-16 12:24:19,0.368,4.55,-20.0
2020-02-17 00:23:33,0.37,4.54,-20.0
2020-02-17 12:22:37,0.367,4.52,-20.0
2020-02-18 00:21:46,0.369,4.54,-20.0
2020-02-18 12:21:01,0.369,4.54,-20.0
2020-02-19 00:20:23,0.37,4.54,-20.0
2020-02-19 12:19:32,0.37,4.54,-20.0
2020-02-20 00:18:53,0.371,4.54,-20.0
2020-02-20 12:18:21,0.373,4.55,-20.0
2020-02-21 00:17:42,0.372,4.54,-20.0
2020-02-21 10:21:05,0.372,4.56,-20.0
2020-02-21 10:36:53,0.368,4.56,-20.0
2020-02-21 10:43:58,0.598,4.55,-20.0
2020-02-21 22:43:04,0.606,4.54,-20.0
2020-02-22 10:42:24,0.608,4.5,-20.0
2020-02-22 22:41:29,0.609,4.53,-20.0
2020-02-23 10:40:42,0.61,4.55,-20.0
2020-02-23 22:39:56,0.612,4.53,-20.0
2020-02-24 10:39:13,0.615,4.54,-20.0
2020-02-24 22:38:35,0.617,4.54,-20.0
2020-02-25 10:37:38,0.613,4.53,-20.0
2020-02-25 22:36:45,0.61,4.54,-20.0
2020-02-26 10:35:58,0.609,4.53,-20.0
2020-02-26 22:35:18,0.61,4.55,-20.0
2020-02-27 10:34:33,0.605,4.55,-20.0
2020-02-27 22:33:48,0.607,4.54,-20.0
2020-02-28 10:33:01,0.602,4.53,-20.0
2020-02-28 22:32:08,0.6,4.53,-20.0
2020-02-29 10:31:35,0.606,4.55,-20.0
2020-02-29 22:30:48,0.606,4.53,-20.0
2020-03-01 10:30:08,0.607,4.53,-20.0
2020-03-01 22:29:26,0.609,4.54,-20.0
2020-03-02 10:28:36,0.608,4.54,-20.0
2020-03-02 22:27:35,0.606,4.54,-20.0
2020-03-03 10:26:47,0.606,4.53,-20.0
2020-03-03 22:26:08,0.61,4.54,-20.0
2020-03-04 10:25:23,0.611,4.53,-20.0
2020-03-04 22:24:46,0.612,4.55,-20.0
2020-03-05 10:24:10,0.612,4.54,-20.0
2020-03-05 22:23:16,0.612,4.54,-20.0
2020-03-06 10:22:23,0.606,4.55,-20.0
2020-03-06 22:21:43,0.606,4.54,-20.0
2020-03-07 10:21:04,0.605,4.55,-20.0
2020-03-07 22:20:34,0.605,4.55,-20.0
2020-03-08 10:19:54,0.606,4.54,-20.0
2020-03-08 22:19:10,0.609,4.54,-20.0
2020-03-09 10:18:22,0.609,4.54,-20.0
2020-03-09 22:17:46,0.609,4.53,-20.0
2020-03-10 10:16:56,0.611,4.54,-20.0
