KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 19:48:04,1,0.604,4.43,21.6
2020-02-12 19:48:04,2,0.598,4.47,-20.0
2020-02-12 19:48:04,3,0.581,4.46,-20.0
2020-02-12 19:48:04,4,0.574,4.52,-20.0
2020-02-12 19:48:04,5,0.599,4.55,-20.0
2020-02-12 19:48:04,6,0.561,4.43,-20.0
2020-02-12 19:48:04,7,0.633,4.47,-20.0
2020-02-12 19:48:04,8,0.6,4.52,-20.0
2020-02-12 19:48:04,9,0.568,4.52,-20.0
2020-02-12 19:48:04,10,0.562,4.43,-20.0
2020-02-12 19:48:04,11,0.591,4.41,-20.0
2020-02-12 19:48:04,12,0.606,4.51,-20.0
2020-02-12 19:48:04,13,0.578,4.51,21.8
2020-02-12 19:48:04,14,0.579,4.42,-20.0
2020-02-12 19:48:04,15,0.561,4.44,-20.0
2020-02-12 19:48:04,16,0.561,4.45,-20.0
2020-02-12 19:48:04,17,0.584,4.45,-20.0
2020-02-12 19:48:04,18,0.673,4.46,-20.0
2020-02-12 19:48:04,19,0.677,4.45,-20.0
2020-02-12 19:48:04,20,0.59,4.49,-20.0
2020-02-12 19:48:04,21,0.56,4.47,-20.0
2020-02-12 19:48:04,22,0.563,4.48,-20.0
2020-02-12 19:48:04,23,0.605,4.45,-20.0
2020-02-12 19:48:04,24,0.577,4.44,-20.0
2020-02-12 19:48:04,25,0.583,4.42,23.5
2020-02-12 19:48:04,26,0.549,4.48,-20.0
2020-02-12 19:48:04,27,0.577,4.44,-20.0
2020-02-12 19:48:04,28,0.56,4.49,-20.0
2020-02-12 19:48:04,29,0.574,4.49,-20.0
2020-02-12 19:48:04,30,0.558,4.41,-20.0
2020-02-12 19:48:04,31,0.596,4.44,-20.0
2020-02-12 19:48:04,32,0.587,4.53,-20.0
2020-02-12 19:48:04,33,0.548,4.46,-20.0
2020-02-12 19:48:04,34,0.59,4.52,-20.0
2020-02-12 19:48:04,35,0.599,4.46,-20.0
