KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 12:15:32,1,0.575,4.41,22.4
2020-02-12 12:15:32,2,0.574,4.46,-20.0
2020-02-12 12:15:32,3,0.547,4.48,-20.0
2020-02-12 12:15:32,4,0.542,4.49,-20.0
2020-02-12 12:15:32,5,0.575,4.47,-20.0
2020-02-12 12:15:32,6,0.604,4.42,-20.0
2020-02-12 12:15:32,7,0.624,4.44,-20.0
2020-02-12 12:15:32,8,0.542,4.43,-20.0
2020-02-12 12:15:32,9,0.561,4.49,-20.0
2020-02-12 12:15:32,10,0.522,4.48,-20.0
2020-02-12 12:15:32,11,0.528,4.45,-20.0
2020-02-12 12:15:32,12,0.521,4.44,-20.0
2020-02-12 12:15:32,13,0.579,4.44,22.1
2020-02-12 12:15:32,14,0.575,4.49,-20.0
2020-02-12 12:15:32,15,0.559,4.52,-20.0
2020-02-12 12:15:32,16,0.522,4.46,-20.0
2020-02-12 12:15:32,17,0.54,4.48,-20.0
2020-02-12 12:15:32,18,0.533,4.46,-20.0
2020-02-12 12:15:32,19,0.546,4.47,-20.0
2020-02-12 12:15:32,20,0.535,4.5,-20.0
2020-02-12 12:15:32,21,0.541,4.48,-20.0
2020-02-12 12:15:32,22,0.518,4.47,-20.0
2020-02-12 12:15:32,23,0.526,4.46,-20.0
2020-02-12 12:15:32,24,0.499,4.47,-20.0
2020-02-12 12:15:32,25,0.561,4.44,22.2
2020-02-12 12:15:32,26,0.56,4.47,-20.0
2020-02-12 12:15:32,27,0.553,4.48,-20.0
2020-02-12 12:15:32,28,0.533,4.5,-20.0
2020-02-12 12:15:32,29,0.518,4.46,-20.0
2020-02-12 12:15:32,30,0.579,4.45,-20.0
2020-02-12 12:15:32,31,0.561,4.46,-20.0
2020-02-12 12:15:32,32,0.534,4.44,-20.0
2020-02-12 12:15:32,33,0.548,4.43,-20.0
2020-02-12 12:15:32,34,0.544,4.44,-20.0
2020-02-12 12:15:32,35,0.579,4.47,-20.0
2020-02-12 12:15:32,36,0.571,4.39,22.4
2020-02-12 12:15:32,37,0.554,4.51,-20.0
2020-02-12 12:15:32,38,0.56,4.52,-20.0
2020-02-12 12:15:32,39,0.554,4.48,-20.0
2020-02-12 12:15:32,40,0.525,4.42,-20.0
2020-02-12 12:15:32,41,0.541,4.41,-20.0
2020-02-12 12:15:32,42,0.556,4.45,-20.0
2020-02-12 12:15:32,43,0.557,4.43,-20.0
2020-02-12 12:15:32,44,0.522,4.46,-20.0
2020-02-12 12:15:32,45,0.506,4.53,-20.0
2020-02-12 12:15:32,46,0.507,4.41,-20.0
2020-02-12 12:15:32,47,0.55,4.49,23.2
2020-02-12 12:15:32,48,0.577,4.47,-20.0
2020-02-12 12:15:32,49,0.567,4.45,-20.0
2020-02-12 12:15:32,50,0.558,4.46,-20.0
2020-02-12 12:15:32,51,0.57,4.48,-20.0
2020-02-12 12:15:32,52,0.533,4.41,-20.0
2020-02-12 12:15:32,53,0.564,4.46,-20.0
2020-02-12 12:15:32,54,0.549,4.45,-20.0
2020-02-12 12:15:32,55,0.572,4.49,-20.0
2020-02-12 12:15:32,56,0.581,4.44,-20.0
2020-02-12 12:15:32,57,0.558,4.49,-20.0
2020-02-12 12:15:32,58,0.518,4.5,-20.0
2020-02-12 12:15:32,59,0.588,4.45,22.6
2020-02-12 12:15:32,60,0.576,4.43,-20.0
2020-02-12 12:15:32,61,0.602,4.42,-20.0
2020-02-12 12:15:32,62,0.556,4.42,-20.0
2020-02-12 12:15:32,63,0.572,4.45,-20.0
2020-02-12 12:15:32,64,0.55,4.4,-20.0
2020-02-12 12:15:32,65,0.604,4.42,-20.0
2020-02-12 12:15:32,66,0.566,4.46,-20.0
2020-02-12 12:15:32,67,0.574,4.47,-20.0
2020-02-12 12:15:32,68,0.554,4.46,-20.0
2020-02-12 12:15:32,69,0.569,4.43,-20.0
2020-02-12 12:15:32,70,0.534,4.45,22.6
2020-02-12 12:15:32,71,0.551,4.5,-20.0
2020-02-12 12:15:32,72,0.558,4.49,-20.0
2020-02-12 12:15:32,73,0.545,4.51,-20.0
2020-02-12 12:15:32,74,0.527,4.45,-20.0
2020-02-12 12:15:32,75,0.556,4.43,-20.0
2020-02-12 12:15:32,76,0.576,4.5,-20.0
2020-02-12 12:15:32,77,0.574,4.47,-20.0
2020-02-12 12:15:32,78,0.576,4.52,-20.0
2020-02-12 12:15:32,79,0.556,4.52,-20.0
2020-02-12 12:15:32,80,0.557,4.5,-20.0
2020-02-12 12:15:32,81,0.568,4.47,22.5
2020-02-12 12:15:32,82,0.537,4.49,-20.0
2020-02-12 12:15:32,83,0.551,4.47,-20.0
2020-02-12 12:15:32,84,0.537,4.48,-20.0
2020-02-12 12:15:32,85,0.572,4.44,-20.0
2020-02-12 12:15:32,86,0.601,4.46,-20.0
2020-02-12 12:15:32,87,0.623,4.5,-20.0
2020-02-12 12:15:32,88,0.559,4.49,-20.0
2020-02-12 12:15:32,89,0.53,4.48,-20.0
2020-02-12 12:15:32,90,0.54,4.49,-20.0
2020-02-12 12:15:32,91,0.567,4.45,-20.0
2020-02-12 12:15:32,92,0.531,4.5,-20.0
2020-02-12 12:15:32,93,0.53,4.49,-20.0
2020-02-12 12:15:32,94,0.54,4.48,-20.0
2020-02-12 12:15:32,95,0.567,4.44,-20.0
2020-02-12 12:15:32,96,0.531,4.5,-20.0
2020-02-13 00:14:50,1,0.573,4.41,22.6
2020-02-13 00:14:50,2,0.573,4.46,-20.0
2020-02-13 00:14:50,3,0.545,4.47,-20.0
2020-02-13 00:14:50,4,0.544,4.5,-20.0
2020-02-13 00:14:50,5,0.575,4.46,-20.0
2020-02-13 00:14:50,6,0.606,4.42,-20.0
2020-02-13 00:14:50,7,0.622,4.46,-20.0
