KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 19:51:22,1,0.676,4.5,21.5
2020-02-12 19:51:22,2,0.651,4.4,-20.0
2020-02-12 19:51:22,3,0.686,4.5,-20.0
2020-02-12 19:51:22,4,0.652,4.42,-20.0
2020-02-12 19:51:22,5,0.665,4.43,-20.0
2020-02-12 19:51:22,6,0.659,4.5,-20.0
2020-02-12 19:51:22,7,0.667,4.46,-20.0
2020-02-12 19:51:22,8,0.684,4.45,-20.0
2020-02-12 19:51:22,9,0.676,4.43,-20.0
2020-02-12 19:51:22,10,0.657,4.44,-20.0
2020-02-12 19:51:22,11,0.655,4.41,-20.0
2020-02-12 19:51:22,12,0.667,4.46,-20.0
2020-02-12 19:51:22,13,0.663,4.43,22.1
2020-02-12 19:51:22,14,0.65,4.44,-20.0
2020-02-12 19:51:22,15,0.691,4.45,-20.0
2020-02-12 19:51:22,16,0.569,4.42,-20.0
2020-02-12 19:51:22,17,0.664,4.41,-20.0
2020-02-12 19:51:22,18,0.671,4.45,-20.0
2020-02-12 19:51:22,19,0.672,4.43,-20.0
2020-02-12 19:51:22,20,0.688,4.41,-20.0
2020-02-12 19:51:22,21,0.686,4.44,-20.0
2020-02-12 19:51:22,22,0.69,4.43,-20.0
2020-02-12 19:51:22,23,0.682,4.45,-20.0
2020-02-12 19:51:22,24,0.647,4.45,-20.0
2020-02-12 19:51:22,25,0.67,4.43,22.5
2020-02-12 19:51:22,26,0.662,4.45,-20.0
2020-02-12 19:51:22,27,0.658,4.45,-20.0
2020-02-12 19:51:22,28,0.676,4.45,-20.0
2020-02-12 19:51:22,29,0.661,4.44,-20.0
2020-02-12 19:51:22,30,0.637,4.51,-20.0
2020-02-12 19:51:22,31,0.623,4.45,-20.0
2020-02-12 19:51:22,32,0.631,4.48,-20.0
2020-02-12 19:51:22,33,0.671,4.47,-20.0
2020-02-12 19:51:22,34,0.692,4.52,-20.0
2020-02-12 19:51:22,35,0.688,4.47,-20.0
2020-02-12 19:51:22,36,0.66,4.46,22.3
2020-02-12 19:51:22,37,0.66,4.46,-20.0
2020-02-12 19:51:22,38,0.684,4.47,-20.0
2020-02-12 19:51:22,39,0.665,4.47,-20.0
2020-02-12 19:51:22,40,0.655,4.44,-20.0
2020-02-12 19:51:22,41,0.631,4.46,-20.0
2020-02-12 19:51:22,42,0.614,4.45,-20.0
2020-02-12 19:51:22,43,0.669,4.48,-20.0
2020-02-12 19:51:22,44,0.699,4.47,-20.0
2020-02-12 19:51:22,45,0.625,4.46,-20.0
2020-02-12 19:51:22,46,0.665,4.45,-20.0
2020-02-12 19:51:22,47,0.672,4.46,-20.0
2020-02-12 19:51:22,48,0.608,4.47,23.1
2020-02-12 19:51:22,49,0.641,4.45,-20.0
2020-02-12 19:51:22,50,0.631,4.47,-20.0
2020-02-12 19:51:22,51,0.633,4.45,-20.0
2020-02-12 19:51:22,52,0.636,4.44,-20.0
2020-02-12 19:51:22,53,0.654,4.46,-20.0
2020-02-12 19:51:22,54,0.636,4.48,-20.0
2020-02-12 19:51:22,55,0.656,4.48,-20.0
2020-02-12 19:51:22,56,0.644,4.46,-20.0
2020-02-12 19:51:22,57,0.628,4.46,-20.0
2020-02-12 19:51:22,58,0.617,4.44,-20.0
2020-02-12 19:51:22,59,0.632,4.46,-20.0
2020-02-12 19:51:22,60,0.646,4.42,21.9
2020-02-12 19:51:22,61,0.631,4.45,-20.0
2020-02-12 19:51:22,62,0.631,4.47,-20.0
2020-02-12 19:51:22,63,0.654,4.46,-20.0
2020-02-12 19:51:22,64,0.657,4.45,-20.0
2020-02-12 19:51:22,65,0.675,4.43,-20.0
2020-02-12 19:51:22,66,0.647,4.44,-20.0
2020-02-12 19:51:22,67,0.645,4.45,-20.0
2020-02-12 19:51:22,68,0.639,4.46,-20.0
2020-02-12 19:51:22,69,0.648,4.48,-20.0
