KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 19:49:34,1,0.576,4.42,20.7
2020-02-12 19:49:34,2,0.551,4.43,-20.0
2020-02-12 19:49:34,3,0.567,4.45,-20.0
2020-02-12 19:49:34,4,0.558,4.42,-20.0
2020-02-12 19:49:34,5,0.589,4.43,-20.0
2020-02-12 19:49:34,6,0.565,4.43,-20.0
2020-02-12 19:49:34,7,0.571,4.41,-20.0
2020-02-12 19:49:34,8,0.571,4.45,-20.0
2020-02-12 19:49:34,9,0.577,4.44,-20.0
2020-02-12 19:49:34,10,0.545,4.45,-20.0
2020-02-12 19:49:34,11,0.596,4.42,-20.0
2020-02-12 19:49:34,12,0.567,4.42,-20.0
2020-02-12 19:49:34,13,0.573,4.47,21.1
2020-02-12 19:49:34,14,0.561,4.52,-20.0
2020-02-12 19:49:34,15,0.604,4.54,-20.0
2020-02-12 19:49:34,16,0.567,4.48,-20.0
2020-02-12 19:49:34,17,0.582,4.53,-20.0
2020-02-12 19:49:34,18,0.589,4.48,-20.0
2020-02-12 19:49:34,19,0.579,4.46,-20.0
2020-02-12 19:49:34,20,0.575,4.51,-20.0
2020-02-12 19:49:34,21,0.56,4.5,-20.0
2020-02-12 19:49:34,22,0.566,4.49,-20.0
2020-02-12 19:49:34,23,0.571,4.5,-20.0
2020-02-12 19:49:34,24,0.571,4.46,-20.0
2020-02-12 19:49:34,25,0.588,4.49,21.7
2020-02-12 19:49:34,26,0.599,4.47,-20.0
2020-02-12 19:49:34,27,0.561,4.49,-20.0
2020-02-12 19:49:34,28,0.572,4.49,-20.0
2020-02-12 19:49:34,29,0.599,4.49,-20.0
2020-02-12 19:49:34,30,0.565,4.45,-20.0
2020-02-12 19:49:34,31,0.579,4.48,-20.0
2020-02-12 19:49:34,32,0.596,4.51,-20.0
2020-02-12 19:49:34,33,0.59,4.48,-20.0
2020-02-12 19:49:34,34,0.555,4.46,-20.0
2020-02-12 19:49:34,35,0.569,4.49,-20.0
2020-02-12 19:49:34,36,0.581,4.48,-20.0
2020-02-12 19:49:34,37,0.599,4.48,21.1
2020-02-12 19:49:34,38,0.576,4.44,-20.0
2020-02-12 19:49:34,39,0.575,4.45,-20.0
2020-02-12 19:49:34,40,0.568,4.48,-20.0
2020-02-12 19:49:34,41,0.58,4.5,-20.0
2020-02-12 19:49:34,42,0.592,4.5,-20.0
2020-02-12 19:49:34,43,0.596,4.49,-20.0
2020-02-12 19:49:34,44,0.598,4.51,-20.0
2020-02-12 19:49:34,45,0.595,4.48,-20.0
2020-02-12 19:49:34,46,0.583,4.49,-20.0
2020-02-12 19:49:34,47,0.589,4.49,-20.0
2020-02-12 19:49:34,48,0.591,4.48,-20.0
2020-02-12 19:49:34,49,0.601,4.43,20.6
2020-02-12 19:49:34,50,0.59,4.41,-20.0
2020-02-12 19:49:34,51,0.585,4.43,-20.0
2020-02-12 19:49:34,52,0.581,4.47,-20.0
2020-02-12 19:49:34,53,0.589,4.41,-20.0
2020-02-12 19:49:34,54,0.593,4.47,-20.0
2020-02-12 19:49:34,55,0.588,4.41,-20.0
2020-02-12 19:49:34,56,0.574,4.48,-20.0
2020-02-12 19:49:34,57,0.587,4.42,-20.0
2020-02-12 19:49:34,58,0.59,4.46,-20.0
2020-02-12 19:49:34,59,0.592,4.49,-20.0
2020-02-12 19:49:34,60,0.592,4.44,21.0
2020-02-12 19:49:34,61,0.594,4.56,-20.0
2020-02-12 19:49:34,62,0.589,4.44,-20.0
2020-02-12 19:49:34,63,0.6,4.49,-20.0
2020-02-12 19:49:34,64,0.589,4.43,-20.0
2020-02-12 19:49:34,65,0.579,4.43,-20.0
2020-02-12 19:49:34,66,0.595,4.56,-20.0
2020-02-12 19:49:34,67,0.606,4.48,-20.0
2020-02-12 19:49:34,68,0.587,4.5,-20.0
2020-02-12 19:49:34,69,0.598,4.41,-20.0
2020-02-12 19:49:34,70,0.61,4.38,20.9
2020-02-12 19:49:34,71,0.597,4.51,-20.0
2020-02-12 19:49:34,72,0.569,4.56,-20.0
2020-02-12 19:49:34,73,0.581,4.52,-20.0
2020-02-12 19:49:34,74,0.575,4.43,-20.0
2020-02-12 19:49:34,75,0.569,4.44,-20.0
2020-02-12 19:49:34,76,0.582,4.52,-20.0
2020-02-12 19:49:34,77,0.581,4.46,-20.0
2020-02-12 19:49:34,78,0.574,4.44,-20.0
2020-02-12 19:49:34,79,0.592,4.41,20.1
2020-02-12 19:49:34,80,0.57,4.46,-20.0
2020-02-12 19:49:34,81,0.582,4.48,-20.0
2020-02-12 19:49:34,82,0.572,4.44,-20.0
2020-02-12 19:49:34,83,0.575,4.44,-20.0
2020-02-12 19:49:34,84,0.567,4.46,-20.0
2020-02-12 19:49:34,85,0.595,4.45,-20.0
2020-02-12 19:49:34,86,0.564,4.44,-20.0
2020-02-12 19:49:34,87,0.573,4.48,-20.0
2020-02-12 19:49:34,88,0.571,4.46,-20.0
2020-02-12 19:49:34,89,0.575,4.45,-20.0
2020-02-12 19:49:34,90,0.567,4.45,-20.0
2020-02-12 19:49:34,91,0.595,4.46,-20.0
2020-02-12 19:49:34,92,0.584,4.47,-20.0
2020-02-12 19:49:34,93,0.564,4.41,-20.0
2020-02-12 19:49:34,94,0.573,4.46,-20.0
2020-02-12 19:49:34,95,0.571,4.45,-20.0
2020-02-12 19:49:34,96,0.576,4.38,-20.0
2020-02-13 07:48:51,1,0.576,4.42,20.7
2020-02-13 07:48:51,2,0.555,4.43,-20.0
2020-02-13 07:48:51,3,0.568,4.44,-20.0
2020-02-13 07:48:51,4,0.563,4.41,-20.0
2020-02-13 07:48:51,5,0.586,4.43,-20.0
2020-02-13 07:48:51,6,0.563,4.43,-20.0
2020-02-13 07:48:51,7,0.566,4.43,-20.0
2020-02-13 07:48:51,8,0.573,4.45,-20.0
2020-02-13 07:48:51,9,0.578,4.45,-20.0
2020-02-13 07:48:51,10,0.553,4.44,-20.0
2020-02-13 07:48:51,11,0.602,4.43,-20.0
2020-02-13 07:48:51,12,0.571,4.43,-20.0
2020-02-13 07:48:51,13,0.577,4.47,21.1
2020-02-13 07:48:51,14,0.56,4.52,-20.0
2020-02-13 07:48:51,15,0.605,4.52,-20.0
2020-02-13 07:48:51,16,0.575,4.48,-20.0
2020-02-13 07:48:51,17,0.59,4.53,-20.0
2020-02-13 07:48:51,18,0.592,4.48,-20.0
2020-02-13 07:48:51,19,0.579,4.47,-20.0
2020-02-13 07:48:51,20,0.571,4.53,-20.0
2020-02-13 07:48:51,21,0.559,4.5,-20.0
2020-02-13 07:48:51,22,0.559,4.48,-20.0
2020-02-13 07:48:51,23,0.569,4.49,-20.0
2020-02-13 07:48:51,24,0.572,4.47,-20.0
2020-02-13 07:48:51,25,0.592,4.49,21.7
2020-02-13 07:48:51,26,0.604,4.49,-20.0
2020-02-13 07:48:51,27,0.565,4.5,-20.0
2020-02-13 07:48:51,28,0.57,4.49,-20.0
2020-02-13 07:48:51,29,0.592,4.49,-20.0
2020-02-13 07:48:51,30,0.565,4.45,-20.0
2020-02-13 07:48:51,31,0.58,4.49,-20.0
2020-02-13 07:48:51,32,0.595,4.5,-20.0
2020-02-13 07:48:51,33,0.589,4.49,-20.0
2020-02-13 07:48:51,34,0.55,4.47,-20.0
2020-02-13 07:48:51,35,0.572,4.49,-20.0
2020-02-13 07:48:51,36,0.589,4.49,-20.0
2020-02-13 07:48:51,37,0.597,4.5,20.8
2020-02-13 07:48:51,38,0.57,4.46,-20.0
2020-02-13 07:48:51,39,0.572,4.45,-20.0
2020-02-13 07:48:51,40,0.575,4.5,-20.0
2020-02-13 07:48:51,41,0.592,4.5,-20.0
2020-02-13 07:48:51,42,0.602,4.49,-20.0
2020-02-13 07:48:51,43,0.602,4.51,-20.0
2020-02-13 07:48:51,44,0.593,4.49,-20.0
2020-02-13 07:48:51,45,0.581,4.48,-20.0
2020-02-13 07:48:51,46,0.589,4.47,-20.0
2020-02-13 07:48:51,47,0.606,4.42,20.7
2020-02-13 07:48:51,48,0.593,4.44,-20.0
2020-02-13 07:48:51,49,0.584,4.43,-20.0
2020-02-13 07:48:51,50,0.579,4.46,-20.0
2020-02-13 07:48:51,51,0.586,4.4,-20.0
2020-02-13 07:48:51,52,0.588,4.45,-20.0
2020-02-13 07:48:51,53,0.579,4.43,-20.0
2020-02-13 07:48:51,54,0.584,4.43,-20.0
2020-02-13 07:48:51,55,0.576,4.47,-20.0
2020-02-13 07:48:51,56,0.587,4.42,-20.0
2020-02-13 07:48:51,57,0.589,4.49,-20.0
2020-02-13 07:48:51,58,0.591,4.48,-20.0
2020-02-13 07:48:51,59,0.588,4.43,20.6
2020-02-13 07:48:51,60,0.587,4.51,-20.0
2020-02-13 07:48:51,61,0.576,4.52,-20.0
2020-02-13 07:48:51,62,0.595,4.54,-20.0
2020-02-13 07:48:51,63,0.587,4.46,-20.0
2020-02-13 07:48:51,64,0.597,4.5,-20.0
2020-02-13 07:48:51,65,0.588,4.44,-20.0
2020-02-13 07:48:51,66,0.577,4.44,-20.0
2020-02-13 07:48:51,67,0.589,4.56,-20.0
2020-02-13 07:48:51,68,0.602,4.47,-20.0
2020-02-13 07:48:51,69,0.58,4.49,-20.0
2020-02-13 07:48:51,70,0.599,4.4,-20.0
2020-02-13 07:48:51,71,0.61,4.35,20.8
2020-02-13 07:48:51,72,0.599,4.51,-20.0
2020-02-13 07:48:51,73,0.576,4.49,-20.0
2020-02-13 07:48:51,74,0.567,4.58,-20.0
2020-02-13 07:48:51,75,0.577,4.51,-20.0
2020-02-13 07:48:51,76,0.582,4.43,-20.0
2020-02-13 07:48:51,77,0.57,4.44,-20.0
2020-02-13 07:48:51,78,0.58,4.51,-20.0
2020-02-13 07:48:51,79,0.581,4.48,-20.0
2020-02-13 07:48:51,80,0.577,4.45,-20.0
2020-02-13 07:48:51,81,0.588,4.42,-20.0
2020-02-13 07:48:51,82,0.604,4.44,-20.0
2020-02-13 07:48:51,83,0.587,4.41,19.8
2020-02-13 07:48:51,84,0.567,4.45,-20.0
2020-02-13 07:48:51,85,0.577,4.46,-20.0
2020-02-13 07:48:51,86,0.574,4.42,-20.0
2020-02-13 07:48:51,87,0.573,4.44,-20.0
2020-02-13 07:48:51,88,0.569,4.44,-20.0
2020-02-13 07:48:51,89,0.598,4.45,-20.0
2020-02-13 07:48:51,90,0.585,4.46,-20.0
2020-02-13 07:48:51,91,0.563,4.43,-20.0
2020-02-13 07:48:51,92,0.571,4.46,-20.0
2020-02-13 07:48:51,93,0.566,4.46,-20.0
2020-02-13 07:48:51,94,0.576,4.41,-20.0
2020-02-13 07:48:51,95,0.566,4.45,-20.0
2020-02-13 07:48:51,96,0.576,4.4,-20.0
2020-02-13 19:48:09,1,0.569,4.46,21.4
2020-02-13 19:48:09,2,0.553,4.47,-20.0
2020-02-13 19:48:09,3,0.565,4.48,-20.0
2020-02-13 19:48:09,4,0.558,4.48,-20.0
2020-02-13 19:48:09,5,0.584,4.46,-20.0
2020-02-13 19:48:09,6,0.554,4.46,-20.0
2020-02-13 19:48:09,7,0.561,4.47,-20.0
2020-02-13 19:48:09,8,0.574,4.49,-20.0
2020-02-13 19:48:09,9,0.575,4.48,-20.0
2020-02-13 19:48:09,10,0.55,4.48,-20.0
2020-02-13 19:48:09,11,0.598,4.48,-20.0
2020-02-13 19:48:09,12,0.568,4.46,-20.0
2020-02-13 19:48:09,13,0.578,4.46,21.9
2020-02-13 19:48:09,14,0.563,4.44,-20.0
2020-02-13 19:48:09,15,0.61,4.47,-20.0
2020-02-13 19:48:09,16,0.579,4.48,-20.0
2020-02-13 19:48:09,17,0.587,4.47,-20.0
