KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 12:55:08,1,0.597,4.46,21.0
2020-02-12 12:55:08,2,0.576,4.46,-20.0
2020-02-12 12:55:08,3,0.583,4.42,-20.0
2020-02-12 12:55:08,4,0.561,4.42,-20.0
2020-02-12 12:55:08,5,0.586,4.44,-20.0
2020-02-12 12:55:08,6,0.576,4.47,-20.0
2020-02-12 12:55:08,7,0.581,4.47,-20.0
2020-02-12 12:55:08,8,0.581,4.43,-20.0
2020-02-12 12:55:08,9,0.585,4.45,-20.0
2020-02-12 12:55:08,10,0.584,4.44,-20.0
2020-02-12 12:55:08,11,0.603,4.43,-20.0
2020-02-12 12:55:08,12,0.606,4.48,-20.0
2020-02-12 12:55:08,13,0.599,4.48,20.8
2020-02-12 12:55:08,14,0.599,4.48,-20.0
2020-02-12 12:55:08,15,0.601,4.46,-20.0
2020-02-12 12:55:08,16,0.583,4.45,-20.0
2020-02-12 12:55:08,17,0.589,4.44,-20.0
2020-02-12 12:55:08,18,0.585,4.43,-20.0
2020-02-12 12:55:08,19,0.599,4.49,-20.0
2020-02-12 12:55:08,20,0.62,4.49,-20.0
2020-02-12 12:55:08,21,0.607,4.5,-20.0
2020-02-12 12:55:08,22,0.603,4.49,-20.0
2020-02-12 12:55:08,23,0.6,4.49,-20.0
2020-02-12 12:55:08,24,0.616,4.47,-20.0
2020-02-12 12:55:08,25,0.603,4.47,20.7
2020-02-12 12:55:08,26,0.589,4.53,-20.0
2020-02-12 12:55:08,27,0.571,4.5,-20.0
2020-02-12 12:55:08,28,0.579,4.43,-20.0
2020-02-12 12:55:08,29,0.601,4.5,-20.0
2020-02-12 12:55:08,30,0.59,4.49,-20.0
2020-02-12 12:55:08,31,0.586,4.51,-20.0
2020-02-12 12:55:08,32,0.596,4.51,-20.0
2020-02-12 12:55:08,33,0.564,4.48,-20.0
2020-02-12 12:55:08,34,0.581,4.5,-20.0
2020-02-12 12:55:08,35,0.584,4.49,-20.0
2020-02-12 12:55:08,36,0.592,4.49,-20.0
2020-02-12 12:55:08,37,0.613,4.5,20.7
2020-02-12 12:55:08,38,0.591,4.53,-20.0
2020-02-12 12:55:08,39,0.586,4.53,-20.0
2020-02-12 12:55:08,40,0.571,4.5,-20.0
2020-02-12 12:55:08,41,0.594,4.53,-20.0
2020-02-12 12:55:08,42,0.594,4.49,-20.0
2020-02-12 12:55:08,43,0.601,4.49,-20.0
2020-02-12 12:55:08,44,0.586,4.48,-20.0
2020-02-12 12:55:08,45,0.592,4.48,-20.0
2020-02-12 12:55:08,46,0.579,4.52,-20.0
2020-02-12 12:55:08,47,0.592,4.51,-20.0
2020-02-12 12:55:08,48,0.594,4.44,-20.0
2020-02-12 12:55:08,49,0.599,4.46,18.7
2020-02-12 12:55:08,50,0.589,4.42,-20.0
2020-02-12 12:55:08,51,0.587,4.49,-20.0
2020-02-12 12:55:08,52,0.578,4.43,-20.0
2020-02-12 12:55:08,53,0.582,4.44,-20.0
2020-02-12 12:55:08,54,0.592,4.4,-20.0
2020-02-12 12:55:08,55,0.576,4.43,-20.0
2020-02-12 12:55:08,56,0.596,4.42,-20.0
2020-02-12 12:55:08,57,0.589,4.48,-20.0
2020-02-12 12:55:08,58,0.597,4.44,-20.0
2020-02-12 12:55:08,59,0.599,4.47,18.6
2020-02-12 12:55:08,60,0.586,4.43,-20.0
2020-02-12 12:55:08,61,0.575,4.43,-20.0
