KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 19:44:27,1,0.579,4.41,23.1
2020-02-12 19:44:27,2,0.591,4.45,-20.0
2020-02-12 19:44:27,3,0.596,4.46,-20.0
2020-02-12 19:44:27,4,0.597,4.51,-20.0
2020-02-12 19:44:27,5,0.595,4.48,-20.0
2020-02-12 19:44:27,6,0.608,4.45,-20.0
2020-02-12 19:44:27,7,0.598,4.42,-20.0
2020-02-12 19:44:27,8,0.588,4.45,-20.0
2020-02-12 19:44:27,9,0.617,4.52,-20.0
2020-02-12 19:44:27,10,0.611,4.51,-20.0
2020-02-12 19:44:27,11,0.595,4.45,-20.0
2020-02-12 19:44:27,12,0.588,4.42,-20.0
2020-02-12 19:44:27,13,0.588,4.42,23.1
2020-02-12 19:44:27,14,0.59,4.48,-20.0
2020-02-12 19:44:27,15,0.567,4.52,-20.0
2020-02-12 19:44:27,16,0.581,4.48,-20.0
2020-02-12 19:44:27,17,0.599,4.48,-20.0
2020-02-12 19:44:27,18,0.575,4.41,-20.0
2020-02-12 19:44:27,19,0.563,4.42,-20.0
2020-02-12 19:44:27,20,0.574,4.47,-20.0
2020-02-12 19:44:27,21,0.576,4.51,-20.0
2020-02-12 19:44:27,22,0.609,4.56,-20.0
2020-02-12 19:44:27,23,0.596,4.56,-20.0
2020-02-12 19:44:27,24,0.554,4.41,-20.0
2020-02-12 19:44:27,25,0.559,4.56,23.2
2020-02-12 19:44:27,26,0.6,4.49,-20.0
2020-02-12 19:44:27,27,0.578,4.48,-20.0
2020-02-12 19:44:27,28,0.602,4.47,-20.0
2020-02-12 19:44:27,29,0.584,4.46,-20.0
2020-02-12 19:44:27,30,0.584,4.5,-20.0
2020-02-12 19:44:27,31,0.542,4.56,-20.0
2020-02-12 19:44:27,32,0.586,4.58,-20.0
2020-02-12 19:44:27,33,0.581,4.45,-20.0
2020-02-12 19:44:27,34,0.612,4.44,-20.0
2020-02-12 19:44:27,35,0.575,4.47,-20.0
2020-02-12 19:44:27,36,0.576,4.52,-20.0
2020-02-12 19:44:27,37,0.596,4.45,23.0
2020-02-12 19:44:27,38,0.597,4.45,-20.0
2020-02-12 19:44:27,39,0.576,4.47,-20.0
2020-02-12 19:44:27,40,0.575,4.51,-20.0
2020-02-12 19:44:27,41,0.596,4.48,-20.0
