KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 19:49:48,1,0.561,4.39,19.5
2020-02-12 19:49:48,2,0.578,4.46,-20.0
2020-02-12 19:49:48,3,0.552,4.43,-20.0
2020-02-12 19:49:48,4,0.562,4.45,-20.0
2020-02-12 19:49:48,5,0.592,4.44,-20.0
2020-02-12 19:49:48,6,0.573,4.44,-20.0
2020-02-12 19:49:48,7,0.586,4.44,-20.0
2020-02-12 19:49:48,8,0.581,4.41,-20.0
2020-02-12 19:49:48,9,0.561,4.44,-20.0
2020-02-12 19:49:48,10,0.57,4.46,-20.0
2020-02-12 19:49:48,11,0.556,4.49,-20.0
2020-02-12 19:49:48,12,0.547,4.47,18.8
2020-02-12 19:49:48,13,0.579,4.45,-20.0
2020-02-12 19:49:48,14,0.552,4.42,-20.0
2020-02-12 19:49:48,15,0.583,4.42,-20.0
2020-02-12 19:49:48,16,0.564,4.46,-20.0
2020-02-12 19:49:48,17,0.579,4.49,-20.0
2020-02-12 19:49:48,18,0.587,4.45,-20.0
2020-02-12 19:49:48,19,0.574,4.48,-20.0
2020-02-12 19:49:48,20,0.631,4.34,-20.0
2020-02-12 19:49:48,21,0.56,4.46,-20.0
2020-02-12 19:49:48,22,0.584,4.47,-20.0
2020-02-12 19:49:48,23,0.534,4.49,-20.0
2020-02-12 19:49:48,24,0.567,4.48,18.6
2020-02-12 19:49:48,25,0.574,4.46,-20.0
2020-02-12 19:49:48,26,0.578,4.46,-20.0
2020-02-12 19:49:48,27,0.539,4.44,-20.0
2020-02-12 19:49:48,28,0.578,4.48,-20.0
2020-02-12 19:49:48,29,0.546,4.49,-20.0
2020-02-12 19:49:48,30,0.57,4.47,-20.0
2020-02-12 19:49:48,31,0.566,4.47,-20.0
2020-02-12 19:49:48,32,0.569,4.47,-20.0
2020-02-12 19:49:48,33,0.572,4.48,-20.0
2020-02-12 19:49:48,34,0.556,4.44,-20.0
2020-02-12 19:49:48,35,0.554,4.48,-20.0
2020-02-12 19:49:48,36,0.549,4.51,18.9
2020-02-12 19:49:48,37,0.586,4.43,-20.0
2020-02-12 19:49:48,38,0.581,4.48,-20.0
2020-02-12 19:49:48,39,0.568,4.41,-20.0
2020-02-12 19:49:48,40,0.554,4.51,-20.0
2020-02-12 19:49:48,41,0.547,4.44,-20.0
2020-02-12 19:49:48,42,0.551,4.48,-20.0
2020-02-12 19:49:48,43,0.548,4.4,-20.0
2020-02-12 19:49:48,44,0.579,4.46,-20.0
2020-02-12 19:49:48,45,0.539,4.5,-20.0
2020-02-12 19:49:48,46,0.562,4.44,21.3
2020-02-12 19:49:48,47,0.572,4.41,-20.0
2020-02-12 19:49:48,48,0.56,4.44,-20.0
2020-02-12 19:49:48,49,0.589,4.38,-20.0
2020-02-12 19:49:48,50,0.577,4.39,-20.0
2020-02-12 19:49:48,51,0.557,4.49,-20.0
2020-02-12 19:49:48,52,0.55,4.44,-20.0
2020-02-12 19:49:48,53,0.557,4.38,-20.0
2020-02-12 19:49:48,54,0.567,4.39,-20.0
