KeyTime,CellNo,ResistValue,VoltValue,TempValue
0001-01-01 00:00:00,23,0.546,4.47,-20.0
0001-01-01 00:00:00,24,0.55,4.46,-20.0
0001-01-01 00:00:00,25,0.569,4.49,21.7
0001-01-01 00:00:00,26,0.552,4.43,-20.0
0001-01-01 00:00:00,27,0.524,4.49,-20.0
0001-01-01 00:00:00,28,0.532,4.48,-20.0
0001-01-01 00:00:00,29,0.536,4.45,-20.0
0001-01-01 00:00:00,30,0.536,4.43,-20.0
0001-01-01 00:00:00,31,0.544,4.48,-20.0
0001-01-01 00:00:00,32,0.547,4.43,-20.0
0001-01-01 00:00:00,33,0.55,4.47,-20.0
0001-01-01 00:00:00,34,0.558,4.46,-20.0
0001-01-01 00:00:00,35,0.558,4.47,-20.0
0001-01-01 00:00:00,36,0.542,4.47,-20.0
0001-01-01 00:00:00,37,0.538,4.45,22.7
0001-01-01 00:00:00,38,0.547,4.46,-20.0
0001-01-01 00:00:00,39,0.546,4.46,-20.0
0001-01-01 00:00:00,40,0.532,4.47,-20.0
0001-01-01 00:00:00,41,0.55,4.41,-20.0
0001-01-01 00:00:00,42,0.541,4.45,-20.0
0001-01-01 00:00:00,43,0.517,4.44,-20.0
0001-01-01 00:00:00,44,0.541,4.47,-20.0
0001-01-01 00:00:00,45,0.539,4.44,-20.0
0001-01-01 00:00:00,46,0.518,4.42,-20.0
0001-01-01 00:00:00,47,0.555,4.46,-20.0
0001-01-01 00:00:00,48,0.553,4.46,-20.0
0001-01-01 00:00:00,71,0.546,4.45,-20.0
0001-01-01 00:00:00,72,0.557,4.5,-20.0
0001-01-01 00:00:00,73,0.569,4.44,22.2
0001-01-01 00:00:00,74,0.568,4.48,-20.0
0001-01-01 00:00:00,75,0.564,4.5,-20.0
0001-01-01 00:00:00,76,0.522,4.46,-20.0
0001-01-01 00:00:00,77,0.559,4.49,-20.0
0001-01-01 00:00:00,78,0.531,4.45,-20.0
0001-01-01 00:00:00,79,0.541,4.48,-20.0
0001-01-01 00:00:00,80,0.576,4.47,-20.0
0001-01-01 00:00:00,81,0.56,4.47,-20.0
0001-01-01 00:00:00,82,0.549,4.48,-20.0
0001-01-01 00:00:00,83,0.557,4.48,-20.0
0001-01-01 00:00:00,84,0.565,4.46,-20.0
0001-01-01 00:00:00,85,0.545,4.48,21.6
0001-01-01 00:00:00,86,0.585,4.45,-20.0
0001-01-01 00:00:00,87,0.578,4.45,-20.0
0001-01-01 00:00:00,88,0.563,4.47,-20.0
0001-01-01 00:00:00,89,0.571,4.46,-20.0
0001-01-01 00:00:00,90,0.532,4.45,-20.0
0001-01-01 00:00:00,91,0.542,4.49,-20.0
0001-01-01 00:00:00,92,0.56,4.49,-20.0
0001-01-01 00:00:00,93,0.559,4.43,-20.0
0001-01-01 00:00:00,94,0.573,4.45,-20.0
0001-01-01 00:00:00,95,0.583,4.45,-20.0
0001-01-01 00:00:00,96,0.563,4.45,-20.0
2020-02-12 19:47:27,1,0.554,4.46,20.8
2020-02-12 19:47:27,2,0.547,4.43,-20.0
2020-02-12 19:47:27,3,0.549,4.42,-20.0
2020-02-12 19:47:27,4,0.52,4.4,-20.0
2020-02-12 19:47:27,5,0.552,4.41,-20.0
2020-02-12 19:47:27,6,0.558,4.5,-20.0
2020-02-12 19:47:27,7,0.548,4.41,-20.0
2020-02-12 19:47:27,8,0.542,4.42,-20.0
2020-02-12 19:47:27,9,0.547,4.42,-20.0
2020-02-12 19:47:27,10,0.537,4.42,-20.0
2020-02-12 19:47:27,11,0.555,4.43,-20.0
2020-02-12 19:47:27,12,0.548,4.47,-20.0
2020-02-12 19:47:27,13,0.567,4.43,20.5
2020-02-12 19:47:27,14,0.557,4.46,-20.0
2020-02-12 19:47:27,15,0.533,4.42,-20.0
2020-02-12 19:47:27,16,0.522,4.42,-20.0
2020-02-12 19:47:27,17,0.545,4.47,-20.0
2020-02-12 19:47:27,18,0.53,4.46,-20.0
2020-02-12 19:47:27,19,0.527,4.46,-20.0
2020-02-12 19:47:27,20,0.53,4.49,-20.0
2020-02-12 19:47:27,21,0.548,4.45,-20.0
2020-02-12 19:47:27,22,0.543,4.48,-20.0
2020-02-12 19:47:27,23,0.548,4.48,-20.0
2020-02-12 19:47:27,24,0.556,4.47,-20.0
2020-02-12 19:47:27,25,0.564,4.5,20.7
2020-02-12 19:47:27,26,0.551,4.45,-20.0
2020-02-12 19:47:27,27,0.529,4.48,-20.0
2020-02-12 19:47:27,28,0.535,4.49,-20.0
2020-02-12 19:47:27,29,0.53,4.44,-20.0
2020-02-12 19:47:27,30,0.537,4.45,-20.0
2020-02-12 19:47:27,31,0.548,4.51,-20.0
2020-02-12 19:47:27,32,0.557,4.42,-20.0
2020-02-12 19:47:27,33,0.542,4.47,-20.0
2020-02-12 19:47:27,34,0.549,4.51,-20.0
2020-02-12 19:47:27,35,0.548,4.51,-20.0
2020-02-12 19:47:27,36,0.536,4.48,22.3
2020-02-12 19:47:27,37,0.551,4.45,-20.0
2020-02-12 19:47:27,38,0.539,4.45,-20.0
2020-02-12 19:47:27,39,0.532,4.47,-20.0
2020-02-12 19:47:27,40,0.55,4.4,-20.0
2020-02-12 19:47:27,41,0.544,4.45,-20.0
2020-02-12 19:47:27,42,0.527,4.45,-20.0
2020-02-12 19:47:27,43,0.54,4.44,-20.0
2020-02-12 19:47:27,44,0.534,4.42,-20.0
2020-02-12 19:47:27,45,0.529,4.4,-20.0
2020-02-12 19:47:27,46,0.57,4.45,-20.0
2020-02-12 19:47:27,47,0.546,4.45,-20.0
2020-02-12 19:47:27,48,0.55,4.45,22.2
2020-02-12 19:47:27,49,0.584,4.46,-20.0
2020-02-12 19:47:27,50,0.567,4.46,-20.0
2020-02-12 19:47:27,51,0.569,4.48,-20.0
2020-02-12 19:47:27,52,0.546,4.45,-20.0
2020-02-12 19:47:27,53,0.566,4.43,-20.0
2020-02-12 19:47:27,54,0.529,4.45,-20.0
2020-02-12 19:47:27,55,0.553,4.44,-20.0
2020-02-12 19:47:27,56,0.585,4.49,-20.0
2020-02-12 19:47:27,57,0.562,4.45,-20.0
2020-02-12 19:47:27,58,0.591,4.46,-20.0
2020-02-12 19:47:27,59,0.562,4.46,-20.0
2020-02-12 19:47:27,60,0.543,4.45,21.7
2020-02-12 19:47:27,61,0.589,4.44,-20.0
2020-02-12 19:47:27,62,0.567,4.46,-20.0
2020-02-12 19:47:27,63,0.545,4.47,-20.0
2020-02-12 19:47:27,64,0.585,4.45,-20.0
2020-02-12 19:47:27,65,0.551,4.48,-20.0
2020-02-12 19:47:27,66,0.565,4.47,-20.0
2020-02-12 19:47:27,67,0.548,4.44,-20.0
2020-02-12 19:47:27,68,0.545,4.5,-20.0
2020-02-12 19:47:27,69,0.566,4.51,-20.0
2020-02-12 19:47:27,70,0.56,4.45,-20.0
2020-02-12 19:47:27,71,0.546,4.54,-20.0
2020-02-12 19:47:27,72,0.549,4.49,21.5
2020-02-12 19:47:27,73,0.561,4.5,-20.0
2020-02-12 19:47:27,74,0.541,4.5,-20.0
