KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 23:00:58,1,0.383,4.45,23.0
2020-02-12 23:00:58,2,0.384,4.46,-20.0
2020-02-12 23:00:58,3,0.365,4.44,-20.0
2020-02-12 23:00:58,4,0.381,4.44,-20.0
2020-02-12 23:00:58,5,0.342,4.44,-20.0
2020-02-12 23:00:58,6,0.29,4.47,-20.0
2020-02-12 23:00:58,7,0.369,4.46,-20.0
2020-02-12 23:00:58,8,0.353,4.43,-20.0
2020-02-12 23:00:58,9,0.415,4.45,-20.0
2020-02-12 23:00:58,10,0.354,4.46,-20.0
2020-02-12 23:00:58,11,0.323,4.44,-20.0
2020-02-12 23:00:58,12,0.354,4.44,-20.0
2020-02-12 23:00:58,13,0.369,4.5,22.8
2020-02-12 23:00:58,14,0.378,4.5,-20.0
2020-02-12 23:00:58,15,0.35,4.5,-20.0
2020-02-12 23:00:58,16,0.333,4.45,-20.0
2020-02-12 23:00:58,17,0.378,4.5,-20.0
2020-02-12 23:00:58,18,0.391,4.5,-20.0
2020-02-12 23:00:58,19,0.392,4.46,-20.0
2020-02-12 23:00:58,20,0.315,4.44,-20.0
2020-02-12 23:00:58,21,0.328,4.47,-20.0
2020-02-12 23:00:58,22,0.354,4.46,-20.0
2020-02-12 23:00:58,23,0.432,4.46,-20.0
2020-02-12 23:00:58,24,0.409,4.44,-20.0
2020-02-12 23:00:58,25,0.337,4.46,22.6
2020-02-12 23:00:58,26,0.367,4.47,-20.0
2020-02-12 23:00:58,27,0.45,4.46,-20.0
2020-02-12 23:00:58,28,0.413,4.51,-20.0
2020-02-12 23:00:58,29,0.398,4.48,-20.0
2020-02-12 23:00:58,30,0.317,4.47,-20.0
2020-02-12 23:00:58,31,0.306,4.46,-20.0
2020-02-12 23:00:58,32,0.379,4.47,-20.0
2020-02-12 23:00:58,33,0.372,4.46,-20.0
2020-02-12 23:00:58,34,0.364,4.47,-20.0
2020-02-12 23:00:58,35,0.315,4.49,-20.0
2020-02-12 23:00:58,36,0.305,4.49,-20.0
2020-02-12 23:00:58,37,0.369,4.51,-20.0
