KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 19:42:59,1,0.592,4.45,21.6
2020-02-12 19:42:59,2,0.586,4.42,-20.0
2020-02-12 19:42:59,3,0.585,4.43,-20.0
2020-02-12 19:42:59,4,0.577,4.48,-20.0
2020-02-12 19:42:59,5,0.575,4.43,-20.0
2020-02-12 19:42:59,6,0.587,4.46,-20.0
2020-02-12 19:42:59,7,0.55,4.44,-20.0
2020-02-12 19:42:59,8,0.572,4.46,-20.0
2020-02-12 19:42:59,9,0.572,4.49,-20.0
2020-02-12 19:42:59,10,0.566,4.48,-20.0
2020-02-12 19:42:59,11,0.572,4.46,-20.0
2020-02-12 19:42:59,12,0.596,4.48,-20.0
2020-02-12 19:42:59,13,0.548,4.45,21.8
2020-02-12 19:42:59,14,0.566,4.47,-20.0
2020-02-12 19:42:59,15,0.586,4.56,-20.0
2020-02-12 19:42:59,16,0.575,4.56,-20.0
2020-02-12 19:42:59,17,0.6,4.56,-20.0
2020-02-12 19:42:59,18,0.601,4.47,-20.0
2020-02-12 19:42:59,19,0.654,4.47,-20.0
2020-02-12 19:42:59,20,0.581,4.51,-20.0
2020-02-12 19:42:59,21,0.565,4.55,-20.0
2020-02-12 19:42:59,22,0.554,4.53,-20.0
2020-02-12 19:42:59,23,0.582,4.46,-20.0
2020-02-12 19:42:59,24,0.546,4.49,-20.0
2020-02-12 19:42:59,25,0.594,4.45,24.1
2020-02-12 19:42:59,26,0.573,4.45,-20.0
2020-02-12 19:42:59,27,0.576,4.51,-20.0
2020-02-12 19:42:59,28,0.563,4.51,-20.0
2020-02-12 19:42:59,29,0.583,4.49,-20.0
2020-02-12 19:42:59,30,0.588,4.45,-20.0
2020-02-12 19:42:59,31,0.616,4.48,-20.0
2020-02-12 19:42:59,32,0.575,4.45,-20.0
2020-02-12 19:42:59,33,0.587,4.45,-20.0
2020-02-12 19:42:59,34,0.567,4.46,-20.0
2020-02-12 19:42:59,35,0.589,4.48,-20.0
2020-02-12 19:42:59,36,0.585,4.44,-20.0
2020-02-12 19:42:59,37,0.572,4.48,24.5
2020-02-12 19:42:59,38,0.597,4.52,-20.0
2020-02-12 19:42:59,39,0.577,4.46,-20.0
2020-02-12 19:42:59,40,0.559,4.46,-20.0
2020-02-12 19:42:59,41,0.595,4.49,-20.0
2020-02-12 19:42:59,42,0.621,4.48,-20.0
2020-02-12 19:42:59,43,0.593,4.48,-20.0
2020-02-12 19:42:59,44,0.587,4.46,-20.0
2020-02-12 19:42:59,45,0.559,4.45,-20.0
2020-02-12 19:42:59,46,0.6,4.44,-20.0
2020-02-12 19:42:59,47,0.584,4.46,-20.0
2020-02-12 19:42:59,48,0.63,4.46,22.6
2020-02-12 19:42:59,49,0.52,4.4,-20.0
2020-02-12 19:42:59,50,0.57,4.47,-20.0
2020-02-12 19:42:59,51,0.559,4.43,-20.0
2020-02-12 19:42:59,52,0.504,4.45,-20.0
2020-02-12 19:42:59,53,0.544,4.42,-20.0
2020-02-12 19:42:59,54,0.604,4.46,-20.0
2020-02-12 19:42:59,55,0.55,4.44,-20.0
2020-02-12 19:42:59,56,0.503,4.46,-20.0
2020-02-12 19:42:59,57,0.57,4.46,-20.0
2020-02-12 19:42:59,58,0.582,4.44,-20.0
2020-02-12 19:42:59,59,0.58,4.47,22.3
2020-02-12 19:42:59,60,0.565,4.47,-20.0
2020-02-12 19:42:59,61,0.535,4.54,-20.0
2020-02-12 19:42:59,62,0.515,4.49,-20.0
2020-02-12 19:42:59,63,0.498,4.49,-20.0
2020-02-12 19:42:59,64,0.536,4.48,-20.0
2020-02-12 19:42:59,65,0.512,4.47,-20.0
2020-02-12 19:42:59,66,0.486,4.54,-20.0
2020-02-12 19:42:59,67,0.58,4.53,-20.0
2020-02-12 19:42:59,68,0.534,4.51,-20.0
2020-02-12 19:42:59,69,0.554,4.46,-20.0
2020-02-12 19:42:59,70,0.556,4.51,21.9
2020-02-12 19:42:59,71,0.596,4.48,-20.0
2020-02-12 19:42:59,72,0.562,4.47,-20.0
2020-02-12 19:42:59,73,0.574,4.53,-20.0
2020-02-12 19:42:59,74,0.573,4.52,-20.0
2020-02-12 19:42:59,75,0.504,4.41,-20.0
2020-02-12 19:42:59,76,0.481,4.47,-20.0
2020-02-12 19:42:59,77,0.473,4.48,-20.0
2020-02-12 19:42:59,78,0.559,4.49,-20.0
2020-02-12 19:42:59,79,0.594,4.5,-20.0
2020-02-12 19:42:59,80,0.581,4.53,-20.0
2020-02-12 19:42:59,81,0.576,4.44,20.4
2020-02-12 19:42:59,82,0.586,4.49,-20.0
2020-02-12 19:42:59,83,0.577,4.51,-20.0
2020-02-12 19:42:59,84,0.546,4.53,-20.0
2020-02-12 19:42:59,85,0.541,4.47,-20.0
2020-02-12 19:42:59,86,0.493,4.48,-20.0
2020-02-12 19:42:59,87,0.497,4.48,-20.0
2020-02-12 19:42:59,88,0.521,4.47,-20.0
2020-02-12 19:42:59,89,0.496,4.51,-20.0
2020-02-12 19:42:59,90,0.532,4.49,-20.0
2020-02-12 19:42:59,91,0.488,4.49,-20.0
2020-02-12 19:42:59,92,0.497,4.47,-20.0
2020-02-12 19:42:59,93,0.521,4.48,-20.0
2020-02-12 19:42:59,94,0.496,4.52,-20.0
2020-02-12 19:42:59,95,0.532,4.48,-20.0
2020-02-12 19:42:59,96,0.488,4.46,-20.0
2020-02-13 07:42:20,1,0.586,4.44,21.6
2020-02-13 07:42:20,2,0.585,4.43,-20.0
2020-02-13 07:42:20,3,0.583,4.44,-20.0
2020-02-13 07:42:20,4,0.573,4.49,-20.0
2020-02-13 07:42:20,5,0.574,4.45,-20.0
2020-02-13 07:42:20,6,0.586,4.45,-20.0
2020-02-13 07:42:20,7,0.55,4.44,-20.0
2020-02-13 07:42:20,8,0.571,4.47,-20.0
2020-02-13 07:42:20,9,0.572,4.48,-20.0
