KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 19:55:27,1,0.573,4.47,21.4
2020-02-12 19:55:27,2,0.587,4.45,-20.0
2020-02-12 19:55:27,3,0.558,4.45,-20.0
2020-02-12 19:55:27,4,0.585,4.47,-20.0
2020-02-12 19:55:27,5,0.58,4.47,-20.0
2020-02-12 19:55:27,6,0.56,4.49,-20.0
2020-02-12 19:55:27,7,0.594,4.47,-20.0
2020-02-12 19:55:27,8,0.572,4.46,-20.0
2020-02-12 19:55:27,9,0.576,4.46,-20.0
2020-02-12 19:55:27,10,0.59,4.47,-20.0
2020-02-12 19:55:27,11,0.572,4.47,-20.0
2020-02-12 19:55:27,12,0.546,4.45,-20.0
2020-02-12 19:55:27,13,0.563,4.43,21.0
2020-02-12 19:55:27,14,0.574,4.45,-20.0
2020-02-12 19:55:27,15,0.583,4.45,-20.0
2020-02-12 19:55:27,16,0.594,4.46,-20.0
2020-02-12 19:55:27,17,0.575,4.45,-20.0
2020-02-12 19:55:27,18,0.561,4.46,-20.0
2020-02-12 19:55:27,19,0.554,4.48,-20.0
2020-02-12 19:55:27,20,0.564,4.48,-20.0
2020-02-12 19:55:27,21,0.574,4.47,-20.0
2020-02-12 19:55:27,22,0.58,4.45,-20.0
2020-02-12 19:55:27,23,0.572,4.47,-20.0
2020-02-12 19:55:27,24,0.553,4.48,-20.0
2020-02-12 19:55:27,25,0.583,4.48,21.6
2020-02-12 19:55:27,26,0.584,4.48,-20.0
2020-02-12 19:55:27,27,0.576,4.48,-20.0
2020-02-12 19:55:27,28,0.572,4.46,-20.0
2020-02-12 19:55:27,29,0.59,4.46,-20.0
2020-02-12 19:55:27,30,0.627,4.46,-20.0
2020-02-12 19:55:27,31,0.6,4.44,-20.0
2020-02-12 19:55:27,32,0.598,4.46,-20.0
2020-02-12 19:55:27,33,0.581,4.51,-20.0
2020-02-12 19:55:27,34,0.601,4.46,-20.0
2020-02-12 19:55:27,35,0.59,4.46,-20.0
2020-02-12 19:55:27,36,0.56,4.44,22.3
2020-02-12 19:55:27,37,0.586,4.48,-20.0
2020-02-12 19:55:27,38,0.584,4.48,-20.0
2020-02-12 19:55:27,39,0.58,4.48,-20.0
2020-02-12 19:55:27,40,0.577,4.49,-20.0
2020-02-12 19:55:27,41,0.564,4.46,-20.0
2020-02-12 19:55:27,42,0.525,4.45,-20.0
2020-02-12 19:55:27,43,0.553,4.47,-20.0
2020-02-12 19:55:27,44,0.571,4.47,-20.0
2020-02-12 19:55:27,45,0.527,4.46,-20.0
2020-02-12 19:55:27,46,0.578,4.48,-20.0
2020-02-12 19:55:27,47,0.592,4.47,-20.0
2020-02-12 19:55:27,48,0.585,4.45,-20.0
2020-02-12 19:55:27,49,0.577,4.44,-20.0
2020-02-12 19:55:27,50,0.584,4.49,-20.0
2020-02-12 19:55:27,51,0.584,4.47,-20.0
2020-02-12 19:55:27,52,0.616,4.47,-20.0
2020-02-12 19:55:27,53,0.6,4.44,-20.0
2020-02-12 19:55:27,54,0.579,4.47,-20.0
2020-02-12 19:55:27,55,0.564,4.46,-20.0
2020-02-12 19:55:27,56,0.572,4.46,-20.0
2020-02-12 19:55:27,57,0.573,4.47,-20.0
2020-02-12 19:55:27,58,0.561,4.46,-20.0
2020-02-12 19:55:27,59,0.563,4.47,23.0
2020-02-12 19:55:27,60,0.572,4.52,-20.0
2020-02-12 19:55:27,61,0.574,4.48,-20.0
2020-02-12 19:55:27,62,0.615,4.5,-20.0
2020-02-12 19:55:27,63,0.577,4.43,-20.0
2020-02-12 19:55:27,64,0.592,4.47,-20.0
2020-02-12 19:55:27,65,0.562,4.48,-20.0
2020-02-12 19:55:27,66,0.573,4.48,-20.0
2020-02-12 19:55:27,67,0.589,4.47,-20.0
2020-02-12 19:55:27,68,0.575,4.52,-20.0
2020-02-12 19:55:27,69,0.584,4.46,22.6
2020-02-12 19:55:27,70,0.578,4.5,-20.0
2020-02-12 19:55:27,71,0.562,4.52,-20.0
2020-02-12 19:55:27,72,0.588,4.47,-20.0
2020-02-12 19:55:27,73,0.593,4.45,-20.0
2020-02-12 19:55:27,74,0.603,4.44,-20.0
2020-02-12 19:55:27,75,0.542,4.47,-20.0
2020-02-12 19:55:27,76,0.585,4.46,-20.0
2020-02-12 19:55:27,77,0.553,4.51,-20.0
2020-02-12 19:55:27,78,0.576,4.5,-20.0
2020-02-12 19:55:27,79,0.553,4.45,21.2
2020-02-12 19:55:27,80,0.548,4.51,-20.0
2020-02-12 19:55:27,81,0.554,4.48,-20.0
2020-02-12 19:55:27,82,0.564,4.5,-20.0
2020-02-12 19:55:27,83,0.589,4.5,-20.0
2020-02-12 19:55:27,84,0.616,4.47,-20.0
2020-02-12 19:55:27,85,0.61,4.46,-20.0
2020-02-12 19:55:27,86,0.581,4.47,-20.0
2020-02-12 19:55:27,87,0.541,4.48,-20.0
2020-02-12 19:55:27,88,0.58,4.48,-20.0
2020-02-12 19:55:27,89,0.557,4.47,-20.0
2020-02-12 19:55:27,90,0.585,4.47,-20.0
2020-02-12 19:55:27,91,0.61,4.46,-20.0
2020-02-12 19:55:27,92,0.581,4.48,-20.0
2020-02-12 19:55:27,93,0.541,4.48,-20.0
2020-02-12 19:55:27,94,0.58,4.49,-20.0
2020-02-12 19:55:27,95,0.557,4.48,-20.0
2020-02-12 19:55:27,96,0.585,4.47,-20.0
2020-02-13 07:54:41,1,0.575,4.47,21.6
2020-02-13 07:54:41,2,0.585,4.45,-20.0
2020-02-13 07:54:41,3,0.559,4.45,-20.0
2020-02-13 07:54:41,4,0.581,4.47,-20.0
2020-02-13 07:54:41,5,0.581,4.47,-20.0
2020-02-13 07:54:41,6,0.562,4.49,-20.0
2020-02-13 07:54:41,7,0.593,4.47,-20.0
2020-02-13 07:54:41,8,0.571,4.47,-20.0
2020-02-13 07:54:41,9,0.572,4.45,-20.0
2020-02-13 07:54:41,10,0.585,4.46,-20.0
2020-02-13 07:54:41,11,0.571,4.48,-20.0
2020-02-13 07:54:41,12,0.539,4.47,-20.0
2020-02-13 07:54:41,13,0.566,4.43,21.2
2020-02-13 07:54:41,14,0.576,4.46,-20.0
2020-02-13 07:54:41,15,0.582,4.44,-20.0
2020-02-13 07:54:41,16,0.593,4.46,-20.0
2020-02-13 07:54:41,17,0.572,4.45,-20.0
2020-02-13 07:54:41,18,0.56,4.45,-20.0
2020-02-13 07:54:41,19,0.556,4.47,-20.0
2020-02-13 07:54:41,20,0.569,4.47,-20.0
2020-02-13 07:54:41,21,0.58,4.47,-20.0
2020-02-13 07:54:41,22,0.579,4.45,-20.0
2020-02-13 07:54:41,23,0.576,4.46,-20.0
2020-02-13 07:54:41,24,0.551,4.48,-20.0
2020-02-13 07:54:41,25,0.584,4.48,21.7
2020-02-13 07:54:41,26,0.58,4.47,-20.0
2020-02-13 07:54:41,27,0.574,4.48,-20.0
2020-02-13 07:54:41,28,0.57,4.47,-20.0
2020-02-13 07:54:41,29,0.592,4.47,-20.0
2020-02-13 07:54:41,30,0.625,4.47,-20.0
2020-02-13 07:54:41,31,0.597,4.44,-20.0
2020-02-13 07:54:41,32,0.6,4.47,-20.0
2020-02-13 07:54:41,33,0.583,4.5,-20.0
2020-02-13 07:54:41,34,0.594,4.47,-20.0
2020-02-13 07:54:41,35,0.589,4.46,-20.0
2020-02-13 07:54:41,36,0.549,4.44,-20.0
2020-02-13 07:54:41,37,0.56,4.44,22.2
2020-02-13 07:54:41,38,0.589,4.48,-20.0
2020-02-13 07:54:41,39,0.583,4.49,-20.0
2020-02-13 07:54:41,40,0.582,4.49,-20.0
2020-02-13 07:54:41,41,0.578,4.49,-20.0
2020-02-13 07:54:41,42,0.562,4.46,-20.0
2020-02-13 07:54:41,43,0.521,4.45,-20.0
2020-02-13 07:54:41,44,0.55,4.47,-20.0
2020-02-13 07:54:41,45,0.571,4.48,-20.0
2020-02-13 07:54:41,46,0.58,4.48,-20.0
2020-02-13 07:54:41,47,0.596,4.47,-20.0
2020-02-13 07:54:41,48,0.582,4.45,23.1
2020-02-13 07:54:41,49,0.58,4.45,-20.0
2020-02-13 07:54:41,50,0.577,4.45,-20.0
2020-02-13 07:54:41,51,0.583,4.48,-20.0
2020-02-13 07:54:41,52,0.582,4.48,-20.0
2020-02-13 07:54:41,53,0.601,4.44,-20.0
2020-02-13 07:54:41,54,0.574,4.47,-20.0
2020-02-13 07:54:41,55,0.563,4.46,-20.0
2020-02-13 07:54:41,56,0.573,4.47,-20.0
2020-02-13 07:54:41,57,0.569,4.46,-20.0
2020-02-13 07:54:41,58,0.567,4.46,23.1
2020-02-13 07:54:41,59,0.572,4.52,-20.0
2020-02-13 07:54:41,60,0.572,4.47,-20.0
2020-02-13 07:54:41,61,0.612,4.51,-20.0
2020-02-13 07:54:41,62,0.589,4.48,-20.0
2020-02-13 07:54:41,63,0.566,4.49,-20.0
2020-02-13 07:54:41,64,0.561,4.48,-20.0
2020-02-13 07:54:41,65,0.574,4.48,-20.0
2020-02-13 07:54:41,66,0.59,4.47,-20.0
2020-02-13 07:54:41,67,0.575,4.52,-20.0
2020-02-13 07:54:41,68,0.585,4.46,22.7
2020-02-13 07:54:41,69,0.579,4.51,-20.0
2020-02-13 07:54:41,70,0.557,4.5,-20.0
2020-02-13 07:54:41,71,0.548,4.51,-20.0
2020-02-13 07:54:41,72,0.592,4.48,-20.0
2020-02-13 07:54:41,73,0.597,4.44,-20.0
2020-02-13 07:54:41,74,0.607,4.44,-20.0
2020-02-13 07:54:41,75,0.547,4.47,-20.0
2020-02-13 07:54:41,76,0.59,4.47,-20.0
2020-02-13 07:54:41,77,0.551,4.5,-20.0
2020-02-13 07:54:41,78,0.576,4.49,-20.0
2020-02-13 07:54:41,79,0.559,4.45,-20.0
2020-02-13 07:54:41,80,0.553,4.46,21.3
2020-02-13 07:54:41,81,0.545,4.51,-20.0
2020-02-13 07:54:41,82,0.552,4.48,-20.0
2020-02-13 07:54:41,83,0.566,4.5,-20.0
2020-02-13 07:54:41,84,0.613,4.47,-20.0
2020-02-13 07:54:41,85,0.612,4.46,-20.0
2020-02-13 07:54:41,86,0.58,4.48,-20.0
2020-02-13 07:54:41,87,0.544,4.48,-20.0
2020-02-13 07:54:41,88,0.585,4.49,-20.0
2020-02-13 07:54:41,89,0.557,4.49,-20.0
2020-02-13 07:54:41,90,0.581,4.45,-20.0
2020-02-13 07:54:41,91,0.612,4.46,-20.0
2020-02-13 07:54:41,92,0.58,4.48,-20.0
2020-02-13 07:54:41,93,0.544,4.48,-20.0
2020-02-13 07:54:41,94,0.585,4.49,-20.0
2020-02-13 07:54:41,95,0.557,4.49,-20.0
2020-02-13 07:54:41,96,0.581,4.48,-20.0
2020-02-13 19:54:08,1,0.573,4.46,21.6
2020-02-13 19:54:08,2,0.587,4.45,-20.0
2020-02-13 19:54:08,3,0.56,4.45,-20.0
2020-02-13 19:54:08,4,0.581,4.47,-20.0
2020-02-13 19:54:08,5,0.578,4.47,-20.0
2020-02-13 19:54:08,6,0.566,4.49,-20.0
2020-02-13 19:54:08,7,0.591,4.47,-20.0
2020-02-13 19:54:08,8,0.572,4.47,-20.0
2020-02-13 19:54:08,9,0.57,4.46,-20.0
2020-02-13 19:54:08,10,0.583,4.48,-20.0
2020-02-13 19:54:08,11,0.567,4.48,-20.0
2020-02-13 19:54:08,12,0.544,4.45,-20.0
2020-02-13 19:54:08,13,0.564,4.43,21.3
2020-02-13 19:54:08,14,0.576,4.46,-20.0
2020-02-13 19:54:08,15,0.58,4.46,-20.0
2020-02-13 19:54:08,16,0.594,4.46,-20.0
2020-02-13 19:54:08,17,0.57,4.45,-20.0
2020-02-13 19:54:08,18,0.561,4.45,-20.0
2020-02-13 19:54:08,19,0.551,4.48,-20.0
2020-02-13 19:54:08,20,0.569,4.47,-20.0
2020-02-13 19:54:08,21,0.581,4.47,-20.0
2020-02-13 19:54:08,22,0.577,4.47,-20.0
2020-02-13 19:54:08,23,0.579,4.46,-20.0
2020-02-13 19:54:08,24,0.552,4.48,-20.0
2020-02-13 19:54:08,25,0.581,4.47,21.7
2020-02-13 19:54:08,26,0.575,4.47,-20.0
2020-02-13 19:54:08,27,0.571,4.48,-20.0
2020-02-13 19:54:08,28,0.565,4.46,-20.0
2020-02-13 19:54:08,29,0.589,4.47,-20.0
2020-02-13 19:54:08,30,0.626,4.47,-20.0
2020-02-13 19:54:08,31,0.595,4.45,-20.0
2020-02-13 19:54:08,32,0.602,4.46,-20.0
2020-02-13 19:54:08,33,0.581,4.5,-20.0
2020-02-13 19:54:08,34,0.594,4.47,-20.0
2020-02-13 19:54:08,35,0.59,4.47,-20.0
2020-02-13 19:54:08,36,0.552,4.43,-20.0
2020-02-13 19:54:08,37,0.56,4.44,22.3
2020-02-13 19:54:08,38,0.592,4.49,-20.0
2020-02-13 19:54:08,39,0.581,4.49,-20.0
2020-02-13 19:54:08,40,0.576,4.49,-20.0
2020-02-13 19:54:08,41,0.56,4.46,-20.0
2020-02-13 19:54:08,42,0.523,4.45,-20.0
2020-02-13 19:54:08,43,0.549,4.46,-20.0
2020-02-13 19:54:08,44,0.569,4.49,-20.0
2020-02-13 19:54:08,45,0.515,4.49,-20.0
2020-02-13 19:54:08,46,0.58,4.48,-20.0
2020-02-13 19:54:08,47,0.596,4.47,-20.0
2020-02-13 19:54:08,48,0.578,4.45,-20.0
2020-02-13 19:54:08,49,0.572,4.45,-20.0
2020-02-13 19:54:08,50,0.583,4.48,-20.0
2020-02-13 19:54:08,51,0.58,4.48,-20.0
2020-02-13 19:54:08,52,0.609,4.46,-20.0
2020-02-13 19:54:08,53,0.601,4.43,-20.0
2020-02-13 19:54:08,54,0.58,4.47,-20.0
2020-02-13 19:54:08,55,0.575,4.48,-20.0
2020-02-13 19:54:08,56,0.567,4.46,-20.0
2020-02-13 19:54:08,57,0.565,4.47,23.1
2020-02-13 19:54:08,58,0.569,4.47,-20.0
2020-02-13 19:54:08,59,0.611,4.5,-20.0
2020-02-13 19:54:08,60,0.589,4.52,-20.0
2020-02-13 19:54:08,61,0.575,4.43,-20.0
2020-02-13 19:54:08,62,0.584,4.47,-20.0
2020-02-13 19:54:08,63,0.56,4.49,-20.0
2020-02-13 19:54:08,64,0.571,4.5,-20.0
2020-02-13 19:54:08,65,0.588,4.48,-20.0
2020-02-13 19:54:08,66,0.573,4.5,-20.0
2020-02-13 19:54:08,67,0.581,4.46,22.9
2020-02-13 19:54:08,68,0.577,4.51,-20.0
2020-02-13 19:54:08,69,0.555,4.51,-20.0
2020-02-13 19:54:08,70,0.551,4.51,-20.0
2020-02-13 19:54:08,71,0.591,4.47,-20.0
2020-02-13 19:54:08,72,0.599,4.45,-20.0
2020-02-13 19:54:08,73,0.606,4.44,-20.0
2020-02-13 19:54:08,74,0.546,4.47,-20.0
2020-02-13 19:54:08,75,0.587,4.47,-20.0
2020-02-13 19:54:08,76,0.553,4.51,-20.0
2020-02-13 19:54:08,77,0.582,4.49,-20.0
2020-02-13 19:54:08,78,0.562,4.45,-20.0
2020-02-13 19:54:08,79,0.55,4.49,-20.0
2020-02-13 19:54:08,80,0.556,4.48,-20.0
2020-02-13 19:54:08,81,0.589,4.5,-20.0
2020-02-13 19:54:08,82,0.613,4.47,-20.0
2020-02-13 19:54:08,83,0.614,4.46,-20.0
2020-02-13 19:54:08,84,0.583,4.48,-20.0
2020-02-13 19:54:08,85,0.546,4.48,-20.0
2020-02-13 19:54:08,86,0.587,4.48,-20.0
2020-02-13 19:54:08,87,0.559,4.5,-20.0
2020-02-13 19:54:08,88,0.567,4.49,-20.0
2020-02-13 19:54:08,89,0.589,4.49,-20.0
2020-02-13 19:54:08,90,0.613,4.48,-20.0
2020-02-13 19:54:08,91,0.614,4.45,-20.0
2020-02-13 19:54:08,92,0.583,4.47,-20.0
2020-02-13 19:54:08,93,0.546,4.48,-20.0
2020-02-13 19:54:08,94,0.587,4.49,-20.0
2020-02-13 19:54:08,95,0.559,4.48,-20.0
2020-02-13 19:54:08,96,0.581,4.47,-20.0
2020-02-14 07:53:23,1,0.569,4.47,21.6
2020-02-14 07:53:23,2,0.586,4.45,-20.0
2020-02-14 07:53:23,3,0.559,4.45,-20.0
2020-02-14 07:53:23,4,0.574,4.47,-20.0
2020-02-14 07:53:23,5,0.578,4.47,-20.0
2020-02-14 07:53:23,6,0.565,4.48,-20.0
2020-02-14 07:53:23,7,0.59,4.47,-20.0
2020-02-14 07:53:23,8,0.574,4.46,-20.0
2020-02-14 07:53:23,9,0.57,4.46,-20.0
2020-02-14 07:53:23,10,0.585,4.47,-20.0
2020-02-14 07:53:23,11,0.569,4.48,-20.0
2020-02-14 07:53:23,12,0.545,4.46,-20.0
2020-02-14 07:53:23,13,0.559,4.43,21.2
2020-02-14 07:53:23,14,0.578,4.45,-20.0
2020-02-14 07:53:23,15,0.577,4.45,-20.0
2020-02-14 07:53:23,16,0.592,4.47,-20.0
2020-02-14 07:53:23,17,0.572,4.46,-20.0
2020-02-14 07:53:23,18,0.563,4.45,-20.0
2020-02-14 07:53:23,19,0.547,4.47,-20.0
2020-02-14 07:53:23,20,0.57,4.48,-20.0
2020-02-14 07:53:23,21,0.576,4.46,-20.0
2020-02-14 07:53:23,22,0.579,4.46,-20.0
2020-02-14 07:53:23,23,0.576,4.46,-20.0
2020-02-14 07:53:23,24,0.552,4.49,-20.0
2020-02-14 07:53:23,25,0.582,4.48,21.8
2020-02-14 07:53:23,26,0.573,4.46,-20.0
2020-02-14 07:53:23,27,0.571,4.49,-20.0
2020-02-14 07:53:23,28,0.57,4.47,-20.0
2020-02-14 07:53:23,29,0.593,4.46,-20.0
2020-02-14 07:53:23,30,0.626,4.47,-20.0
2020-02-14 07:53:23,31,0.596,4.45,-20.0
2020-02-14 07:53:23,32,0.598,4.47,-20.0
2020-02-14 07:53:23,33,0.578,4.5,-20.0
2020-02-14 07:53:23,34,0.594,4.46,-20.0
2020-02-14 07:53:23,35,0.591,4.46,-20.0
2020-02-14 07:53:23,36,0.551,4.44,-20.0
2020-02-14 07:53:23,37,0.559,4.44,22.3
2020-02-14 07:53:23,38,0.592,4.48,-20.0
2020-02-14 07:53:23,39,0.582,4.48,-20.0
2020-02-14 07:53:23,40,0.579,4.5,-20.0
2020-02-14 07:53:23,41,0.572,4.49,-20.0
2020-02-14 07:53:23,42,0.564,4.46,-20.0
2020-02-14 07:53:23,43,0.521,4.45,-20.0
2020-02-14 07:53:23,44,0.553,4.46,-20.0
2020-02-14 07:53:23,45,0.569,4.49,-20.0
2020-02-14 07:53:23,46,0.519,4.48,-20.0
2020-02-14 07:53:23,47,0.578,4.47,-20.0
2020-02-14 07:53:23,48,0.599,4.48,-20.0
2020-02-14 07:53:23,49,0.58,4.45,23.2
2020-02-14 07:53:23,50,0.578,4.45,-20.0
2020-02-14 07:53:23,51,0.57,4.45,-20.0
2020-02-14 07:53:23,52,0.579,4.48,-20.0
2020-02-14 07:53:23,53,0.579,4.48,-20.0
2020-02-14 07:53:23,54,0.602,4.46,-20.0
2020-02-14 07:53:23,55,0.592,4.43,-20.0
2020-02-14 07:53:23,56,0.579,4.47,-20.0
2020-02-14 07:53:23,57,0.556,4.47,-20.0
2020-02-14 07:53:23,58,0.568,4.47,-20.0
2020-02-14 07:53:23,59,0.557,4.44,-20.0
2020-02-14 07:53:23,60,0.566,4.47,23.1
2020-02-14 07:53:23,61,0.573,4.53,-20.0
2020-02-14 07:53:23,62,0.571,4.47,-20.0
2020-02-14 07:53:23,63,0.608,4.5,-20.0
2020-02-14 07:53:23,64,0.595,4.51,-20.0
2020-02-14 07:53:23,65,0.586,4.48,-20.0
2020-02-14 07:53:23,66,0.564,4.48,-20.0
2020-02-14 07:53:23,67,0.562,4.48,-20.0
2020-02-14 07:53:23,68,0.569,4.5,-20.0
2020-02-14 07:53:23,69,0.585,4.47,-20.0
2020-02-14 07:53:23,70,0.576,4.51,-20.0
2020-02-14 07:53:23,71,0.586,4.46,22.7
2020-02-14 07:53:23,72,0.576,4.5,-20.0
2020-02-14 07:53:23,73,0.557,4.51,-20.0
2020-02-14 07:53:23,74,0.553,4.51,-20.0
2020-02-14 07:53:23,75,0.593,4.48,-20.0
2020-02-14 07:53:23,76,0.599,4.45,-20.0
2020-02-14 07:53:23,77,0.608,4.44,-20.0
2020-02-14 07:53:23,78,0.548,4.47,-20.0
2020-02-14 07:53:23,79,0.587,4.47,-20.0
2020-02-14 07:53:23,80,0.552,4.5,-20.0
2020-02-14 07:53:23,81,0.581,4.49,-20.0
2020-02-14 07:53:23,82,0.565,4.43,-20.0
2020-02-14 07:53:23,83,0.556,4.46,21.3
2020-02-14 07:53:23,84,0.559,4.5,-20.0
2020-02-14 07:53:23,85,0.559,4.48,-20.0
2020-02-14 07:53:23,86,0.566,4.49,-20.0
2020-02-14 07:53:23,87,0.588,4.5,-20.0
2020-02-14 07:53:23,88,0.618,4.47,-20.0
2020-02-14 07:53:23,89,0.617,4.46,-20.0
2020-02-14 07:53:23,90,0.586,4.48,-20.0
2020-02-14 07:53:23,91,0.549,4.48,-20.0
2020-02-14 07:53:23,92,0.555,4.48,-20.0
2020-02-14 07:53:23,93,0.581,4.47,-20.0
2020-02-14 07:53:23,94,0.584,4.5,-20.0
2020-02-14 07:53:23,95,0.555,4.48,-20.0
2020-02-14 07:53:23,96,0.581,4.47,-20.0
2020-02-14 19:52:50,1,0.571,4.47,21.6
2020-02-14 19:52:50,2,0.589,4.45,-20.0
2020-02-14 19:52:50,3,0.561,4.45,-20.0
2020-02-14 19:52:50,4,0.576,4.46,-20.0
2020-02-14 19:52:50,5,0.58,4.47,-20.0
2020-02-14 19:52:50,6,0.564,4.48,-20.0
2020-02-14 19:52:50,7,0.59,4.47,-20.0
2020-02-14 19:52:50,8,0.575,4.46,-20.0
2020-02-14 19:52:50,9,0.57,4.46,-20.0
2020-02-14 19:52:50,10,0.588,4.46,-20.0
2020-02-14 19:52:50,11,0.569,4.48,-20.0
2020-02-14 19:52:50,12,0.544,4.46,-20.0
2020-02-14 19:52:50,13,0.562,4.43,21.5
2020-02-14 19:52:50,14,0.574,4.45,-20.0
2020-02-14 19:52:50,15,0.577,4.46,-20.0
2020-02-14 19:52:50,16,0.592,4.46,-20.0
2020-02-14 19:52:50,17,0.574,4.45,-20.0
2020-02-14 19:52:50,18,0.562,4.46,-20.0
2020-02-14 19:52:50,19,0.548,4.47,-20.0
2020-02-14 19:52:50,20,0.568,4.47,-20.0
2020-02-14 19:52:50,21,0.575,4.47,-20.0
2020-02-14 19:52:50,22,0.579,4.45,-20.0
2020-02-14 19:52:50,23,0.575,4.46,-20.0
2020-02-14 19:52:50,24,0.555,4.48,-20.0
2020-02-14 19:52:50,25,0.579,4.47,21.9
2020-02-14 19:52:50,26,0.578,4.48,-20.0
2020-02-14 19:52:50,27,0.575,4.49,-20.0
2020-02-14 19:52:50,28,0.568,4.46,-20.0
2020-02-14 19:52:50,29,0.592,4.46,-20.0
2020-02-14 19:52:50,30,0.627,4.47,-20.0
2020-02-14 19:52:50,31,0.604,4.45,-20.0
2020-02-14 19:52:50,32,0.599,4.47,-20.0
2020-02-14 19:52:50,33,0.578,4.5,-20.0
2020-02-14 19:52:50,34,0.592,4.47,-20.0
2020-02-14 19:52:50,35,0.545,4.44,-20.0
2020-02-14 19:52:50,36,0.556,4.43,22.6
2020-02-14 19:52:50,37,0.588,4.48,-20.0
2020-02-14 19:52:50,38,0.586,4.48,-20.0
2020-02-14 19:52:50,39,0.578,4.5,-20.0
2020-02-14 19:52:50,40,0.57,4.49,-20.0
2020-02-14 19:52:50,41,0.56,4.46,-20.0
2020-02-14 19:52:50,42,0.524,4.44,-20.0
2020-02-14 19:52:50,43,0.555,4.47,-20.0
2020-02-14 19:52:50,44,0.567,4.48,-20.0
2020-02-14 19:52:50,45,0.519,4.47,-20.0
2020-02-14 19:52:50,46,0.599,4.47,-20.0
2020-02-14 19:52:50,47,0.58,4.44,23.5
2020-02-14 19:52:50,48,0.582,4.45,-20.0
2020-02-14 19:52:50,49,0.571,4.46,-20.0
2020-02-14 19:52:50,50,0.582,4.49,-20.0
2020-02-14 19:52:50,51,0.583,4.47,-20.0
