KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 19:50:48,1,0.585,4.42,20.2
2020-02-12 19:50:48,2,0.608,4.44,-20.0
2020-02-12 19:50:48,3,0.591,4.4,-20.0
2020-02-12 19:50:48,4,0.56,4.44,-20.0
2020-02-12 19:50:48,5,0.564,4.45,-20.0
2020-02-12 19:50:48,6,0.585,4.4,-20.0
2020-02-12 19:50:48,7,0.598,4.44,-20.0
2020-02-12 19:50:48,8,0.572,4.5,-20.0
2020-02-12 19:50:48,9,0.584,4.49,-20.0
2020-02-12 19:50:48,10,0.584,4.54,-20.0
2020-02-12 19:50:48,11,0.571,4.46,-20.0
2020-02-12 19:50:48,12,0.604,4.44,-20.0
2020-02-12 19:50:48,13,0.589,4.45,20.7
2020-02-12 19:50:48,14,0.578,4.43,-20.0
2020-02-12 19:50:48,15,0.559,4.47,-20.0
2020-02-12 19:50:48,16,0.587,4.54,-20.0
2020-02-12 19:50:48,17,0.589,4.45,-20.0
2020-02-12 19:50:48,18,0.583,4.46,-20.0
2020-02-12 19:50:48,19,0.572,4.46,-20.0
2020-02-12 19:50:48,20,0.558,4.45,-20.0
2020-02-12 19:50:48,21,0.607,4.53,-20.0
2020-02-12 19:50:48,22,0.577,4.48,-20.0
2020-02-12 19:50:48,23,0.596,4.48,-20.0
2020-02-12 19:50:48,24,0.574,4.43,-20.0
2020-02-12 19:50:48,25,0.585,4.46,21.2
2020-02-12 19:50:48,26,0.571,4.46,-20.0
2020-02-12 19:50:48,27,0.567,4.51,-20.0
2020-02-12 19:50:48,28,0.57,4.51,-20.0
2020-02-12 19:50:48,29,0.587,4.48,-20.0
2020-02-12 19:50:48,30,0.57,4.42,-20.0
2020-02-12 19:50:48,31,0.574,4.42,-20.0
2020-02-12 19:50:48,32,0.579,4.5,-20.0
2020-02-12 19:50:48,33,0.597,4.54,-20.0
2020-02-12 19:50:48,34,0.579,4.47,-20.0
2020-02-12 19:50:48,35,0.577,4.47,-20.0
2020-02-12 19:50:48,36,0.589,4.5,-20.0
2020-02-12 19:50:48,37,0.595,4.47,21.0
2020-02-12 19:50:48,38,0.562,4.44,-20.0
2020-02-12 19:50:48,39,0.58,4.45,-20.0
2020-02-12 19:50:48,40,0.54,4.45,-20.0
2020-02-12 19:50:48,41,0.608,4.54,-20.0
2020-02-12 19:50:48,42,0.605,4.44,-20.0
2020-02-12 19:50:48,43,0.591,4.49,-20.0
2020-02-12 19:50:48,44,0.599,4.49,-20.0
2020-02-12 19:50:48,45,0.612,4.51,-20.0
2020-02-12 19:50:48,46,0.569,4.49,-20.0
2020-02-12 19:50:48,47,0.566,4.49,-20.0
2020-02-12 19:50:48,48,0.555,4.42,20.3
2020-02-12 19:50:48,49,0.556,4.42,-20.0
2020-02-12 19:50:48,50,0.58,4.49,-20.0
2020-02-12 19:50:48,51,0.594,4.5,-20.0
2020-02-12 19:50:48,52,0.604,4.43,-20.0
2020-02-12 19:50:48,53,0.598,4.4,-20.0
2020-02-12 19:50:48,54,0.594,4.49,-20.0
2020-02-12 19:50:48,55,0.589,4.44,-20.0
2020-02-12 19:50:48,56,0.555,4.48,-20.0
2020-02-12 19:50:48,57,0.585,4.48,-20.0
2020-02-12 19:50:48,58,0.573,4.46,-20.0
2020-02-12 19:50:48,59,0.566,4.49,-20.0
2020-02-12 19:50:48,60,0.57,4.42,-20.0
2020-02-12 19:50:48,61,0.586,4.42,-20.0
2020-02-12 19:50:48,62,0.584,4.45,-20.0
2020-02-12 19:50:48,63,0.567,4.49,-20.0
2020-02-12 19:50:48,64,0.605,4.46,-20.0
2020-02-12 19:50:48,65,0.583,4.51,-20.0
2020-02-12 19:50:48,66,0.586,4.46,-20.0
2020-02-12 19:50:48,67,0.565,4.48,-20.0
2020-02-12 19:50:48,68,0.563,4.46,-20.0
2020-02-12 19:50:48,69,0.607,4.49,-20.0
2020-02-12 19:50:48,70,0.606,4.49,10.1
2020-02-12 19:50:48,71,0.575,4.5,-20.0
2020-02-12 19:50:48,72,0.565,4.43,-20.0
2020-02-12 19:50:48,73,0.538,4.47,-20.0
2020-02-12 19:50:48,74,0.593,4.53,-20.0
2020-02-12 19:50:48,75,0.564,4.45,-20.0
2020-02-12 19:50:48,76,0.554,4.5,-20.0
2020-02-12 19:50:48,77,0.577,4.44,-20.0
2020-02-12 19:50:48,78,0.546,4.47,-20.0
2020-02-12 19:50:48,79,0.568,4.47,-20.0
2020-02-12 19:50:48,80,0.567,4.44,-20.0
2020-02-12 19:50:48,81,0.58,4.48,19.5
2020-02-12 19:50:48,82,0.563,4.5,-20.0
2020-02-12 19:50:48,83,0.546,4.48,-20.0
2020-02-12 19:50:48,84,0.564,4.48,-20.0
2020-02-12 19:50:48,85,0.546,4.44,-20.0
2020-02-12 19:50:48,86,0.588,4.49,-20.0
2020-02-12 19:50:48,87,0.589,4.46,-20.0
2020-02-12 19:50:48,88,0.54,4.44,-20.0
2020-02-12 19:50:48,89,0.553,4.41,-20.0
2020-02-12 19:50:48,90,0.577,4.44,-20.0
2020-02-12 19:50:48,91,0.579,4.45,-20.0
2020-02-12 19:50:48,92,0.567,4.41,-20.0
2020-02-12 19:50:48,93,0.553,4.42,-20.0
2020-02-12 19:50:48,94,0.577,4.45,-20.0
2020-02-12 19:50:48,95,0.579,4.45,-20.0
2020-02-12 19:50:48,96,0.567,4.41,-20.0
2020-02-13 07:50:02,1,0.582,4.41,20.1
2020-02-13 07:50:02,2,0.61,4.43,-20.0
2020-02-13 07:50:02,3,0.591,4.41,-20.0
2020-02-13 07:50:02,4,0.559,4.44,-20.0
2020-02-13 07:50:02,5,0.564,4.45,-20.0
2020-02-13 07:50:02,6,0.583,4.41,-20.0
2020-02-13 07:50:02,7,0.595,4.44,-20.0
2020-02-13 07:50:02,8,0.575,4.51,-20.0
2020-02-13 07:50:02,9,0.582,4.5,-20.0
2020-02-13 07:50:02,10,0.582,4.54,-20.0
2020-02-13 07:50:02,11,0.573,4.46,-20.0
2020-02-13 07:50:02,12,0.601,4.44,-20.0
2020-02-13 07:50:02,13,0.583,4.45,20.1
2020-02-13 07:50:02,14,0.58,4.43,-20.0
2020-02-13 07:50:02,15,0.563,4.48,-20.0
2020-02-13 07:50:02,16,0.589,4.53,-20.0
2020-02-13 07:50:02,17,0.59,4.5,-20.0
2020-02-13 07:50:02,18,0.576,4.45,-20.0
2020-02-13 07:50:02,19,0.571,4.47,-20.0
2020-02-13 07:50:02,20,0.558,4.45,-20.0
2020-02-13 07:50:02,21,0.604,4.51,-20.0
2020-02-13 07:50:02,22,0.577,4.47,-20.0
2020-02-13 07:50:02,23,0.599,4.49,-20.0
2020-02-13 07:50:02,24,0.577,4.43,-20.0
2020-02-13 07:50:02,25,0.585,4.45,20.8
2020-02-13 07:50:02,26,0.571,4.46,-20.0
2020-02-13 07:50:02,27,0.571,4.5,-20.0
2020-02-13 07:50:02,28,0.574,4.51,-20.0
2020-02-13 07:50:02,29,0.588,4.47,-20.0
2020-02-13 07:50:02,30,0.57,4.43,-20.0
2020-02-13 07:50:02,31,0.575,4.42,-20.0
2020-02-13 07:50:02,32,0.578,4.5,-20.0
2020-02-13 07:50:02,33,0.597,4.54,-20.0
2020-02-13 07:50:02,34,0.573,4.47,-20.0
2020-02-13 07:50:02,35,0.576,4.46,-20.0
2020-02-13 07:50:02,36,0.596,4.5,-20.0
2020-02-13 07:50:02,37,0.597,4.48,20.6
2020-02-13 07:50:02,38,0.563,4.44,-20.0
2020-02-13 07:50:02,39,0.58,4.44,-20.0
2020-02-13 07:50:02,40,0.535,4.45,-20.0
2020-02-13 07:50:02,41,0.603,4.44,-20.0
2020-02-13 07:50:02,42,0.59,4.49,-20.0
2020-02-13 07:50:02,43,0.601,4.48,-20.0
2020-02-13 07:50:02,44,0.565,4.5,-20.0
2020-02-13 07:50:02,45,0.566,4.49,-20.0
2020-02-13 07:50:02,46,0.566,4.49,-20.0
2020-02-13 07:50:02,47,0.552,4.43,20.5
2020-02-13 07:50:02,48,0.559,4.41,-20.0
2020-02-13 07:50:02,49,0.586,4.49,-20.0
2020-02-13 07:50:02,50,0.591,4.51,-20.0
2020-02-13 07:50:02,51,0.603,4.43,-20.0
2020-02-13 07:50:02,52,0.599,4.41,-20.0
2020-02-13 07:50:02,53,0.592,4.48,-20.0
2020-02-13 07:50:02,54,0.582,4.43,-20.0
2020-02-13 07:50:02,55,0.551,4.47,-20.0
2020-02-13 07:50:02,56,0.58,4.47,-20.0
2020-02-13 07:50:02,57,0.584,4.47,-20.0
2020-02-13 07:50:02,58,0.574,4.45,-20.0
2020-02-13 07:50:02,59,0.609,4.46,19.6
2020-02-13 07:50:02,60,0.57,4.48,-20.0
2020-02-13 07:50:02,61,0.572,4.42,-20.0
2020-02-13 07:50:02,62,0.584,4.42,-20.0
2020-02-13 07:50:02,63,0.58,4.44,-20.0
2020-02-13 07:50:02,64,0.564,4.48,-20.0
2020-02-13 07:50:02,65,0.606,4.46,-20.0
2020-02-13 07:50:02,66,0.589,4.5,-20.0
2020-02-13 07:50:02,67,0.588,4.45,-20.0
2020-02-13 07:50:02,68,0.575,4.47,-20.0
2020-02-13 07:50:02,69,0.615,4.47,-20.0
2020-02-13 07:50:02,70,0.612,4.48,10.0
2020-02-13 07:50:02,71,0.581,4.49,-20.0
2020-02-13 07:50:02,72,0.572,4.43,-20.0
2020-02-13 07:50:02,73,0.544,4.47,-20.0
2020-02-13 07:50:02,74,0.598,4.52,-20.0
2020-02-13 07:50:02,75,0.567,4.45,-20.0
2020-02-13 07:50:02,76,0.553,4.5,-20.0
2020-02-13 07:50:02,77,0.562,4.45,-20.0
2020-02-13 07:50:02,78,0.577,4.44,-20.0
2020-02-13 07:50:02,79,0.546,4.48,-20.0
2020-02-13 07:50:02,80,0.57,4.47,-20.0
2020-02-13 07:50:02,81,0.572,4.44,-20.0
2020-02-13 07:50:02,82,0.579,4.47,19.4
2020-02-13 07:50:02,83,0.559,4.51,-20.0
2020-02-13 07:50:02,84,0.544,4.49,-20.0
2020-02-13 07:50:02,85,0.564,4.48,-20.0
2020-02-13 07:50:02,86,0.549,4.44,-20.0
2020-02-13 07:50:02,87,0.595,4.46,-20.0
2020-02-13 07:50:02,88,0.548,4.43,-20.0
2020-02-13 07:50:02,89,0.576,4.44,-20.0
2020-02-13 07:50:02,90,0.578,4.44,-20.0
2020-02-13 07:50:02,91,0.565,4.42,-20.0
2020-02-13 07:50:02,92,0.548,4.43,-20.0
2020-02-13 07:50:02,93,0.551,4.42,-20.0
2020-02-13 07:50:02,94,0.576,4.44,-20.0
2020-02-13 07:50:02,95,0.578,4.44,-20.0
2020-02-13 07:50:02,96,0.565,4.41,-20.0
2020-02-13 19:49:17,1,0.577,4.44,21.1
2020-02-13 19:49:17,2,0.605,4.46,-20.0
2020-02-13 19:49:17,3,0.589,4.46,-20.0
2020-02-13 19:49:17,4,0.554,4.47,-20.0
2020-02-13 19:49:17,5,0.564,4.47,-20.0
2020-02-13 19:49:17,6,0.581,4.45,-20.0
2020-02-13 19:49:17,7,0.597,4.46,-20.0
2020-02-13 19:49:17,8,0.573,4.47,-20.0
2020-02-13 19:49:17,9,0.579,4.45,-20.0
2020-02-13 19:49:17,10,0.582,4.46,-20.0
2020-02-13 19:49:17,11,0.57,4.47,-20.0
2020-02-13 19:49:17,12,0.6,4.46,-20.0
2020-02-13 19:49:17,13,0.58,4.47,21.2
2020-02-13 19:49:17,14,0.581,4.46,-20.0
2020-02-13 19:49:17,15,0.562,4.47,-20.0
2020-02-13 19:49:17,16,0.584,4.46,-20.0
2020-02-13 19:49:17,17,0.588,4.48,-20.0
2020-02-13 19:49:17,18,0.573,4.46,-20.0
2020-02-13 19:49:17,19,0.572,4.45,-20.0
2020-02-13 19:49:17,20,0.56,4.48,-20.0
2020-02-13 19:49:17,21,0.598,4.48,-20.0
2020-02-13 19:49:17,22,0.575,4.49,-20.0
2020-02-13 19:49:17,23,0.595,4.45,-20.0
2020-02-13 19:49:17,24,0.574,4.47,-20.0
2020-02-13 19:49:17,25,0.582,4.46,21.8
2020-02-13 19:49:17,26,0.569,4.48,-20.0
2020-02-13 19:49:17,27,0.573,4.49,-20.0
2020-02-13 19:49:17,28,0.574,4.49,-20.0
2020-02-13 19:49:17,29,0.59,4.49,-20.0
2020-02-13 19:49:17,30,0.572,4.47,-20.0
2020-02-13 19:49:17,31,0.575,4.45,-20.0
2020-02-13 19:49:17,32,0.573,4.47,-20.0
2020-02-13 19:49:17,33,0.593,4.47,-20.0
2020-02-13 19:49:17,34,0.575,4.49,-20.0
2020-02-13 19:49:17,35,0.58,4.48,-20.0
2020-02-13 19:49:17,36,0.596,4.46,21.6
2020-02-13 19:49:17,37,0.568,4.47,-20.0
2020-02-13 19:49:17,38,0.576,4.48,-20.0
2020-02-13 19:49:17,39,0.535,4.48,-20.0
