KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 19:37:34,1,0.574,4.44,23.3
2020-02-12 19:37:34,2,0.557,4.42,-20.0
2020-02-12 19:37:34,3,0.557,4.46,-20.0
2020-02-12 19:37:34,4,0.568,4.43,-20.0
2020-02-12 19:37:34,5,0.577,4.42,-20.0
2020-02-12 19:37:34,6,0.562,4.46,-20.0
2020-02-12 19:37:34,7,0.584,4.45,-20.0
2020-02-12 19:37:34,8,0.561,4.48,-20.0
2020-02-12 19:37:34,9,0.558,4.43,-20.0
2020-02-12 19:37:34,10,0.552,4.44,-20.0
2020-02-12 19:37:34,11,0.581,4.47,-20.0
2020-02-12 19:37:34,12,0.558,4.49,-20.0
2020-02-12 19:37:34,13,0.541,4.48,23.8
2020-02-12 19:37:34,14,0.569,4.44,-20.0
2020-02-12 19:37:34,15,0.55,4.42,-20.0
2020-02-12 19:37:34,16,0.577,4.42,-20.0
2020-02-12 19:37:34,17,0.579,4.43,-20.0
2020-02-12 19:37:34,18,0.59,4.47,-20.0
2020-02-12 19:37:34,19,0.587,4.5,-20.0
2020-02-12 19:37:34,20,0.557,4.48,-20.0
2020-02-12 19:37:34,21,0.552,4.47,-20.0
2020-02-12 19:37:34,22,0.59,4.43,-20.0
2020-02-12 19:37:34,23,0.54,4.47,-20.0
2020-02-12 19:37:34,24,0.549,4.48,24.1
2020-02-12 19:37:34,25,0.549,4.45,-20.0
2020-02-12 19:37:34,26,0.545,4.51,-20.0
2020-02-12 19:37:34,27,0.577,4.52,-20.0
2020-02-12 19:37:34,28,0.571,4.46,-20.0
2020-02-12 19:37:34,29,0.589,4.48,-20.0
2020-02-12 19:37:34,30,0.551,4.44,-20.0
2020-02-12 19:37:34,31,0.553,4.48,-20.0
2020-02-12 19:37:34,32,0.558,4.46,-20.0
2020-02-12 19:37:34,33,0.575,4.52,-20.0
2020-02-12 19:37:34,34,0.567,4.44,-20.0
2020-02-12 19:37:34,35,0.572,4.5,-20.0
2020-02-12 19:37:34,36,0.561,4.51,24.2
2020-02-12 19:37:34,37,0.532,4.46,-20.0
2020-02-12 19:37:34,38,0.556,4.45,-20.0
2020-02-12 19:37:34,39,0.56,4.47,-20.0
2020-02-12 19:37:34,40,0.518,4.5,-20.0
2020-02-12 19:37:34,41,0.58,4.5,-20.0
