KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 13:00:00,1,0.589,4.42,19.7
2020-02-12 13:00:00,2,0.578,4.42,-20.0
2020-02-12 13:00:00,3,0.583,4.44,-20.0
2020-02-12 13:00:00,4,0.593,4.43,-20.0
2020-02-12 13:00:00,5,0.59,4.45,-20.0
2020-02-12 13:00:00,6,0.608,4.47,-20.0
2020-02-12 13:00:00,7,0.598,4.46,-20.0
2020-02-12 13:00:00,8,0.568,4.46,-20.0
2020-02-12 13:00:00,9,0.605,4.49,-20.0
2020-02-12 13:00:00,10,0.581,4.47,-20.0
2020-02-12 13:00:00,11,0.585,4.47,-20.0
2020-02-12 13:00:00,12,0.573,4.45,-20.0
2020-02-12 13:00:00,13,0.611,4.48,19.3
2020-02-12 13:00:00,14,0.598,4.46,-20.0
2020-02-12 13:00:00,15,0.578,4.44,-20.0
2020-02-12 13:00:00,16,0.554,4.45,-20.0
2020-02-12 13:00:00,17,0.588,4.41,-20.0
2020-02-12 13:00:00,18,0.584,4.46,-20.0
2020-02-12 13:00:00,19,0.596,4.48,-20.0
2020-02-12 13:00:00,20,0.586,4.48,-20.0
2020-02-12 13:00:00,21,0.579,4.53,-20.0
2020-02-12 13:00:00,22,0.591,4.42,-20.0
2020-02-12 13:00:00,23,0.582,4.47,-20.0
2020-02-12 13:00:00,24,0.606,4.52,-20.0
2020-02-12 13:00:00,25,0.588,4.43,19.2
2020-02-12 13:00:00,26,0.558,4.44,-20.0
2020-02-12 13:00:00,27,0.571,4.48,-20.0
2020-02-12 13:00:00,28,0.558,4.47,-20.0
2020-02-12 13:00:00,29,0.568,4.45,-20.0
2020-02-12 13:00:00,30,0.593,4.47,-20.0
2020-02-12 13:00:00,31,0.609,4.47,-20.0
2020-02-12 13:00:00,32,0.599,4.48,-20.0
2020-02-12 13:00:00,33,0.578,4.49,-20.0
2020-02-12 13:00:00,34,0.573,4.49,-20.0
2020-02-12 13:00:00,35,0.589,4.47,-20.0
2020-02-12 13:00:00,36,0.586,4.48,-20.0
2020-02-12 13:00:00,37,0.599,4.5,19.4
