KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-20 15:41:08,1,0.567,4.43,20.8
2020-02-20 15:41:08,2,0.525,4.44,-20.0
2020-02-20 15:41:08,3,0.569,4.44,-20.0
2020-02-20 15:41:08,4,0.568,4.5,-20.0
2020-02-20 15:41:08,5,0.584,4.47,-20.0
2020-02-20 15:41:08,6,0.588,4.41,-20.0
2020-02-20 15:41:08,7,0.566,4.45,-20.0
2020-02-20 15:41:08,8,0.551,4.46,-20.0
2020-02-20 15:41:08,9,0.571,4.45,-20.0
2020-02-20 15:41:08,10,0.564,4.45,-20.0
2020-02-20 15:41:08,11,0.589,4.47,-20.0
2020-02-20 15:41:08,12,0.579,4.5,-20.0
2020-02-20 15:41:08,13,0.582,4.55,20.9
2020-02-20 15:41:08,14,0.553,4.45,-20.0
2020-02-20 15:41:08,15,0.551,4.47,-20.0
2020-02-20 15:41:08,16,0.568,4.53,-20.0
2020-02-20 15:41:08,17,0.568,4.51,-20.0
2020-02-20 15:41:08,18,0.547,4.45,-20.0
2020-02-20 15:41:08,19,0.574,4.55,-20.0
2020-02-20 15:41:08,20,0.586,4.5,-20.0
2020-02-20 15:41:08,21,0.561,4.45,-20.0
2020-02-20 15:41:08,22,0.567,4.51,-20.0
2020-02-20 15:41:08,23,0.583,4.51,-20.0
2020-02-20 15:41:08,24,0.585,4.47,-20.0
2020-02-20 15:41:08,25,0.566,4.52,21.1
2020-02-20 15:41:08,26,0.561,4.59,-20.0
2020-02-20 15:41:08,27,0.575,4.55,-20.0
2020-02-20 15:41:08,28,0.545,4.53,-20.0
2020-02-20 15:41:08,29,0.567,4.47,-20.0
2020-02-20 15:41:08,30,0.572,4.54,-20.0
2020-02-20 15:41:08,31,0.559,4.48,-20.0
2020-02-20 15:41:08,32,0.564,4.47,-20.0
2020-02-20 15:41:08,33,0.559,4.47,-20.0
2020-02-20 15:41:08,34,0.586,4.52,-20.0
2020-02-20 15:41:08,35,0.577,4.5,-20.0
2020-02-20 15:41:08,36,0.596,4.46,-20.0
2020-02-20 15:41:08,37,0.584,4.49,20.9
2020-02-20 15:41:08,38,0.57,4.56,-20.0
2020-02-20 15:41:08,39,0.573,4.52,-20.0
2020-02-20 15:41:08,40,0.552,4.45,-20.0
2020-02-20 15:41:08,41,0.574,4.47,-20.0
2020-02-20 15:41:08,42,0.561,4.47,-20.0
2020-02-20 15:41:08,43,0.553,4.5,-20.0
2020-02-20 15:41:08,44,0.545,4.45,-20.0
2020-02-20 15:41:08,45,0.554,4.5,-20.0
2020-02-20 15:41:08,46,0.557,4.49,-20.0
2020-02-20 15:41:08,47,0.556,4.48,-20.0
2020-02-20 15:41:08,48,0.569,4.47,-20.0
2020-02-20 15:41:08,49,0.528,4.45,22.3
2020-02-20 15:41:08,50,0.555,4.48,-20.0
2020-02-20 15:41:08,51,0.555,4.53,-20.0
2020-02-20 15:41:08,52,0.56,4.46,-20.0
2020-02-20 15:41:08,53,0.588,4.47,-20.0
2020-02-20 15:41:08,54,0.581,4.46,-20.0
2020-02-20 15:41:08,55,0.581,4.48,-20.0
2020-02-20 15:41:08,56,0.556,4.41,-20.0
2020-02-20 15:41:08,57,0.564,4.51,-20.0
2020-02-20 15:41:08,58,0.561,4.47,-20.0
2020-02-20 15:41:08,59,0.56,4.49,-20.0
2020-02-20 15:41:08,60,0.564,4.49,-20.0
