KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-09-17 17:17:02,1,2.112,13.024,-20.0
2020-09-17 17:17:02,2,2.216,13.096,27.0
2020-09-17 17:17:02,3,2.149,13.052,-20.0
2020-09-17 17:17:02,4,2.097,13.02,26.6
2020-09-17 17:17:02,5,2.172,13.053,-20.0
2020-09-17 17:17:02,6,2.142,13.046,26.2
2020-09-17 17:17:02,7,2.158,13.065,-20.0
2020-09-17 17:17:02,8,2.275,13.106,26.0
2020-09-17 17:17:02,9,2.256,13.154,-20.0
2020-09-18 04:49:00,1,2.113,13.039,-20.0
2020-09-18 04:49:00,2,2.215,13.105,26.9
2020-09-18 04:49:00,3,2.149,13.065,-20.0
2020-09-18 04:49:00,4,2.097,13.034,26.5
2020-09-18 04:49:00,5,2.178,13.056,-20.0
2020-09-18 04:49:00,6,2.145,13.049,26.2
2020-09-18 04:49:00,7,2.159,13.06,-20.0
2020-09-18 04:49:00,8,2.275,13.098,25.7
2020-09-18 04:49:00,9,2.256,13.121,-20.0
2020-09-18 17:06:15,1,2.113,13.044,-20.0
2020-09-18 17:06:15,2,2.216,13.108,26.9
2020-09-18 17:06:15,3,2.149,13.072,-20.0
2020-09-18 17:06:15,4,2.097,13.037,26.5
2020-09-18 17:06:15,5,2.179,13.056,-20.0
2020-09-18 17:06:15,6,2.145,13.052,26.2
2020-09-18 17:06:15,7,2.162,13.058,-20.0
2020-09-18 17:06:15,8,2.275,13.101,25.8
2020-09-18 17:06:15,9,2.256,13.122,-20.0
2020-09-19 05:23:30,1,2.113,13.043,-20.0
2020-09-19 05:23:30,2,2.215,13.106,27.1
2020-09-19 05:23:30,3,2.148,13.074,-20.0
2020-09-19 05:23:30,4,2.097,13.042,26.6
2020-09-19 05:23:30,5,2.179,13.06,-20.0
2020-09-19 05:23:30,6,2.144,13.053,26.3
2020-09-19 05:23:30,7,2.159,13.06,-20.0
2020-09-19 05:23:30,8,2.276,13.102,25.8
2020-09-19 05:23:30,9,2.256,13.123,-20.0
2020-09-19 17:40:45,1,2.112,13.036,-20.0
2020-09-19 17:40:45,2,2.215,13.103,27.0
2020-09-19 17:40:45,3,2.149,13.07,-20.0
2020-09-19 17:40:45,4,2.094,13.041,26.7
2020-09-19 17:40:45,5,2.18,13.059,-20.0
2020-09-19 17:40:45,6,2.144,13.053,26.4
2020-09-19 17:40:45,7,2.16,13.06,-20.0
2020-09-19 17:40:45,8,2.276,13.106,26.1
2020-09-19 17:40:45,9,2.257,13.127,-20.0
2020-09-20 05:58:00,1,2.115,13.048,-20.0
2020-09-20 05:58:00,2,2.216,13.105,26.3
2020-09-20 05:58:00,3,2.151,13.067,-20.0
2020-09-20 05:58:00,4,2.093,13.026,25.9
2020-09-20 05:58:00,5,2.18,13.056,-20.0
2020-09-20 05:58:00,6,2.144,13.044,25.6
2020-09-20 05:58:00,7,2.16,13.055,-20.0
2020-09-20 05:58:00,8,2.277,13.099,25.2
2020-09-20 05:58:00,9,2.259,13.122,-20.0
2020-09-20 18:15:14,1,2.117,13.045,-20.0
2020-09-20 18:15:14,2,2.217,13.104,26.1
2020-09-20 18:15:14,3,2.153,13.068,-20.0
2020-09-20 18:15:14,4,2.092,13.03,25.8
2020-09-20 18:15:14,5,2.18,13.053,-20.0
2020-09-20 18:15:14,6,2.145,13.045,25.5
2020-09-20 18:15:14,7,2.163,13.057,-20.0
2020-09-20 18:15:14,8,2.279,13.096,25.1
2020-09-20 18:15:14,9,2.26,13.119,-20.0
2020-09-21 06:32:29,1,2.117,13.037,-20.0
2020-09-21 06:32:29,2,2.218,13.102,26.2
2020-09-21 06:32:29,3,2.154,13.069,-20.0
2020-09-21 06:32:29,4,2.092,13.035,25.7
2020-09-21 06:32:29,5,2.183,13.054,-20.0
2020-09-21 06:32:29,6,2.145,13.049,25.4
2020-09-21 06:32:29,7,2.164,13.056,-20.0
2020-09-21 06:32:29,8,2.28,13.099,24.9
2020-09-21 06:32:29,9,2.259,13.12,-20.0
2020-09-21 18:49:44,1,2.118,13.034,-20.0
2020-09-21 18:49:44,2,2.218,13.1,26.7
2020-09-21 18:49:44,3,2.154,13.068,-20.0
2020-09-21 18:49:44,4,2.092,13.042,26.2
2020-09-21 18:49:44,5,2.183,13.059,-20.0
2020-09-21 18:49:44,6,2.143,13.055,25.9
2020-09-21 18:49:44,7,2.164,13.059,-20.0
2020-09-21 18:49:44,8,2.281,13.109,25.4
2020-09-21 18:49:44,9,2.26,13.127,-20.0
2020-09-22 07:06:59,1,2.116,13.029,-20.0
2020-09-22 07:06:59,2,2.218,13.098,26.2
2020-09-22 07:06:59,3,2.159,13.059,-20.0
2020-09-22 07:06:59,4,2.092,13.031,25.9
2020-09-22 07:06:59,5,2.183,13.056,-20.0
2020-09-22 07:06:59,6,2.143,13.048,25.6
2020-09-22 07:06:59,7,2.163,13.056,-20.0
2020-09-22 07:06:59,8,2.28,13.107,25.1
2020-09-22 07:06:59,9,2.259,13.126,-20.0
2020-09-22 19:24:14,1,2.117,13.044,-20.0
2020-09-22 19:24:14,2,2.22,13.121,29.3
2020-09-22 19:24:14,3,2.159,13.098,-20.0
2020-09-22 19:24:14,4,2.092,13.075,28.5
2020-09-22 19:24:14,5,2.183,13.081,-20.0
2020-09-22 19:24:14,6,2.143,13.086,27.7
2020-09-22 19:24:14,7,2.163,13.086,-20.0
2020-09-22 19:24:14,8,2.28,13.139,27.1
2020-09-22 19:24:14,9,2.259,13.154,-20.0
2020-09-23 07:41:29,1,2.114,12.992,-20.0
2020-09-23 07:41:29,2,2.218,13.087,27.3
2020-09-23 07:41:29,3,2.158,13.048,-20.0
2020-09-23 07:41:29,4,2.093,13.035,26.9
2020-09-23 07:41:29,5,2.18,13.063,-20.0
2020-09-23 07:41:29,6,2.142,13.059,26.4
2020-09-23 07:41:29,7,2.163,13.069,-20.0
2020-09-23 07:41:29,8,2.277,13.14,25.7
2020-09-23 07:41:29,9,2.257,13.156,-20.0
2020-09-23 19:58:44,1,2.116,13.053,-20.0
2020-09-23 19:58:44,2,2.218,13.103,26.4
2020-09-23 19:58:44,3,2.158,13.062,-20.0
2020-09-23 19:58:44,4,2.094,13.018,26.1
2020-09-23 19:58:44,5,2.18,13.055,-20.0
2020-09-23 19:58:44,6,2.141,13.05,25.9
2020-09-23 19:58:44,7,2.163,13.064,-20.0
2020-09-23 19:58:44,8,2.276,13.111,25.4
2020-09-23 19:58:44,9,2.257,13.128,-20.0
2020-09-24 08:15:59,1,2.116,13.052,-20.0
2020-09-24 08:15:59,2,2.219,13.108,25.8
2020-09-24 08:15:59,3,2.157,13.068,-20.0
2020-09-24 08:15:59,4,2.097,13.025,25.6
2020-09-24 08:15:59,5,2.182,13.053,-20.0
2020-09-24 08:15:59,6,2.141,13.04,25.3
2020-09-24 08:15:59,7,2.166,13.055,-20.0
2020-09-24 08:15:59,8,2.276,13.091,24.9
2020-09-24 08:15:59,9,2.259,13.107,-20.0
2020-09-24 20:33:14,1,2.117,13.051,-20.0
2020-09-24 20:33:14,2,2.219,13.109,26.2
2020-09-24 20:33:14,3,2.156,13.083,-20.0
2020-09-24 20:33:14,4,2.097,13.039,25.8
2020-09-24 20:33:14,5,2.183,13.061,-20.0
2020-09-24 20:33:14,6,2.142,13.048,25.6
2020-09-24 20:33:14,7,2.166,13.055,-20.0
2020-09-24 20:33:14,8,2.276,13.087,25.3
2020-09-24 20:33:14,9,2.259,13.106,-20.0
2020-09-25 08:50:29,1,2.12,13.04,-20.0
2020-09-25 08:50:29,2,2.218,13.105,26.1
2020-09-25 08:50:29,3,2.157,13.072,-20.0
2020-09-25 08:50:29,4,2.097,13.037,25.7
2020-09-25 08:50:29,5,2.183,13.06,-20.0
2020-09-25 08:50:29,6,2.142,13.046,25.4
2020-09-25 08:50:29,7,2.166,13.054,-20.0
2020-09-25 08:50:29,8,2.277,13.095,25.0
2020-09-25 08:50:29,9,2.259,13.115,-20.0
2020-09-25 21:07:44,1,2.122,13.038,-20.0
2020-09-25 21:07:44,2,2.218,13.105,26.6
2020-09-25 21:07:44,3,2.157,13.071,-20.0
2020-09-25 21:07:44,4,2.097,13.046,26.3
2020-09-25 21:07:44,5,2.184,13.064,-20.0
2020-09-25 21:07:44,6,2.143,13.056,26.0
2020-09-25 21:07:44,7,2.167,13.061,-20.0
2020-09-25 21:07:44,8,2.277,13.105,25.5
2020-09-25 21:07:44,9,2.259,13.123,-20.0
2020-09-26 09:24:59,1,2.12,13.032,-20.0
2020-09-26 09:24:59,2,2.218,13.1,26.2
2020-09-26 09:24:59,3,2.157,13.062,-20.0
2020-09-26 09:24:59,4,2.096,13.033,25.9
