KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 20:55:43,1,0.533,4.45,21.8
2020-02-12 20:55:43,2,0.525,4.43,-20.0
2020-02-12 20:55:43,3,0.499,4.43,-20.0
2020-02-12 20:55:43,4,0.523,4.42,-20.0
2020-02-12 20:55:43,5,0.511,4.44,-20.0
2020-02-12 20:55:43,6,0.493,4.45,-20.0
2020-02-12 20:55:43,7,0.498,4.43,-20.0
2020-02-12 20:55:43,8,0.494,4.44,-20.0
2020-02-12 20:55:43,9,0.476,4.43,-20.0
2020-02-12 20:55:43,10,0.515,4.46,-20.0
2020-02-12 20:55:43,11,0.496,4.44,-20.0
2020-02-12 20:55:43,12,0.511,4.45,-20.0
2020-02-12 20:55:43,13,0.547,4.45,21.5
2020-02-12 20:55:43,14,0.492,4.47,-20.0
2020-02-12 20:55:43,15,0.521,4.46,-20.0
2020-02-12 20:55:43,16,0.49,4.46,-20.0
2020-02-12 20:55:43,17,0.481,4.44,-20.0
2020-02-12 20:55:43,18,0.59,4.5,-20.0
2020-02-12 20:55:43,19,0.585,4.45,-20.0
2020-02-12 20:55:43,20,0.499,4.48,-20.0
2020-02-12 20:55:43,21,0.477,4.48,-20.0
2020-02-12 20:55:43,22,0.569,4.49,-20.0
2020-02-12 20:55:43,23,0.554,4.48,-20.0
2020-02-12 20:55:43,24,0.545,4.52,-20.0
2020-02-12 20:55:43,25,0.528,4.52,21.1
2020-02-12 20:55:43,26,0.52,4.48,-20.0
2020-02-12 20:55:43,27,0.481,4.49,-20.0
2020-02-12 20:55:43,28,0.515,4.48,-20.0
2020-02-12 20:55:43,29,0.546,4.52,-20.0
2020-02-12 20:55:43,30,0.562,4.45,-20.0
2020-02-12 20:55:43,31,0.581,4.49,-20.0
2020-02-12 20:55:43,32,0.528,4.52,-20.0
2020-02-12 20:55:43,33,0.487,4.49,-20.0
2020-02-12 20:55:43,34,0.575,4.49,-20.0
2020-02-12 20:55:43,35,0.51,4.44,-20.0
2020-02-12 20:55:43,36,0.492,4.48,21.1
2020-02-12 20:55:43,37,0.496,4.48,-20.0
2020-02-12 20:55:43,38,0.497,4.49,-20.0
2020-02-12 20:55:43,39,0.533,4.49,-20.0
2020-02-12 20:55:43,40,0.556,4.47,-20.0
2020-02-12 20:55:43,41,0.637,4.47,-20.0
2020-02-12 20:55:43,42,0.485,4.49,-20.0
