KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 14:20:53,1,0.539,4.48,24.0
2020-02-12 14:20:53,2,0.55,4.51,-20.0
2020-02-12 14:20:53,3,0.553,4.51,-20.0
2020-02-12 14:20:53,4,0.54,4.44,-20.0
2020-02-12 14:20:53,5,0.575,4.5,-20.0
2020-02-12 14:20:53,6,0.563,4.48,-20.0
2020-02-12 14:20:53,7,0.574,4.52,-20.0
2020-02-12 14:20:53,8,0.553,4.5,-20.0
2020-02-12 14:20:53,9,0.567,4.46,-20.0
2020-02-12 14:20:53,10,0.569,4.46,-20.0
2020-02-12 14:20:53,11,0.566,4.42,-20.0
2020-02-12 14:20:53,12,0.55,4.46,-20.0
2020-02-12 14:20:53,13,0.547,4.48,23.5
2020-02-12 14:20:53,14,0.576,4.44,-20.0
2020-02-12 14:20:53,15,0.546,4.46,-20.0
2020-02-12 14:20:53,16,0.561,4.46,-20.0
2020-02-12 14:20:53,17,0.571,4.48,-20.0
2020-02-12 14:20:53,18,0.572,4.43,-20.0
2020-02-12 14:20:53,19,0.589,4.47,-20.0
2020-02-12 14:20:53,20,0.56,4.45,-20.0
2020-02-12 14:20:53,21,0.554,4.45,-20.0
2020-02-12 14:20:53,22,0.538,4.45,-20.0
2020-02-12 14:20:53,23,0.566,4.45,-20.0
2020-02-12 14:20:53,24,0.578,4.42,-20.0
2020-02-12 14:20:53,25,0.553,4.53,23.6
2020-02-12 14:20:53,26,0.557,4.44,-20.0
2020-02-12 14:20:53,27,0.576,4.41,-20.0
2020-02-12 14:20:53,28,0.574,4.49,-20.0
2020-02-12 14:20:53,29,0.561,4.47,-20.0
2020-02-12 14:20:53,30,0.535,4.5,-20.0
2020-02-12 14:20:53,31,0.562,4.51,-20.0
2020-02-12 14:20:53,32,0.558,4.43,-20.0
2020-02-12 14:20:53,33,0.554,4.48,-20.0
2020-02-12 14:20:53,34,0.562,4.48,-20.0
2020-02-12 14:20:53,35,0.557,4.52,-20.0
2020-02-12 14:20:53,36,0.559,4.49,24.0
2020-02-12 14:20:53,37,0.581,4.51,-20.0
2020-02-12 14:20:53,38,0.559,4.47,-20.0
2020-02-12 14:20:53,39,0.551,4.48,-20.0
2020-02-12 14:20:53,40,0.576,4.49,-20.0
2020-02-12 14:20:53,41,0.598,4.47,-20.0
2020-02-12 14:20:53,42,0.579,4.48,-20.0
2020-02-12 14:20:53,43,0.542,4.47,-20.0
2020-02-12 14:20:53,44,0.583,4.47,-20.0
2020-02-12 14:20:53,45,0.563,4.46,-20.0
2020-02-12 14:20:53,46,0.542,4.52,-20.0
2020-02-12 14:20:53,47,0.603,4.45,23.6
2020-02-12 14:20:53,48,0.573,4.42,-20.0
2020-02-12 14:20:53,49,0.582,4.44,-20.0
2020-02-12 14:20:53,50,0.552,4.45,-20.0
2020-02-12 14:20:53,51,0.56,4.48,-20.0
2020-02-12 14:20:53,52,0.549,4.47,-20.0
2020-02-12 14:20:53,53,0.579,4.52,-20.0
2020-02-12 14:20:53,54,0.541,4.44,-20.0
