KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 19:48:56,1,0.541,4.45,21.6
2020-02-12 19:48:56,2,0.517,4.45,-20.0
2020-02-12 19:48:56,3,0.548,4.45,-20.0
2020-02-12 19:48:56,4,0.54,4.47,-20.0
2020-02-12 19:48:56,5,0.576,4.46,-20.0
2020-02-12 19:48:56,6,0.548,4.47,-20.0
2020-02-12 19:48:56,7,0.54,4.49,-20.0
2020-02-12 19:48:56,8,0.548,4.45,-20.0
2020-02-12 19:48:56,9,0.534,4.45,-20.0
2020-02-12 19:48:56,10,0.566,4.47,-20.0
2020-02-12 19:48:56,11,0.578,4.45,-20.0
2020-02-12 19:48:56,12,0.573,4.46,-20.0
2020-02-12 19:48:56,13,0.549,4.46,21.7
2020-02-12 19:48:56,14,0.545,4.46,-20.0
2020-02-12 19:48:56,15,0.552,4.48,-20.0
2020-02-12 19:48:56,16,0.54,4.47,-20.0
2020-02-12 19:48:56,17,0.518,4.46,-20.0
2020-02-12 19:48:56,18,0.528,4.47,-20.0
2020-02-12 19:48:56,19,0.538,4.52,-20.0
2020-02-12 19:48:56,20,0.558,4.47,-20.0
2020-02-12 19:48:56,21,0.54,4.47,-20.0
2020-02-12 19:48:56,22,0.529,4.45,-20.0
2020-02-12 19:48:56,23,0.56,4.47,-20.0
2020-02-12 19:48:56,24,0.549,4.5,-20.0
2020-02-12 19:48:56,25,0.57,4.48,22.0
2020-02-12 19:48:56,26,0.539,4.39,-20.0
2020-02-12 19:48:56,27,0.559,4.5,-20.0
2020-02-12 19:48:56,28,0.536,4.47,-20.0
2020-02-12 19:48:56,29,0.545,4.45,-20.0
2020-02-12 19:48:56,30,0.514,4.47,-20.0
2020-02-12 19:48:56,31,0.523,4.5,-20.0
2020-02-12 19:48:56,32,0.522,4.45,-20.0
2020-02-12 19:48:56,33,0.547,4.46,-20.0
2020-02-12 19:48:56,34,0.546,4.46,-20.0
2020-02-12 19:48:56,35,0.535,4.48,-20.0
2020-02-12 19:48:56,36,0.53,4.48,-20.0
2020-02-12 19:48:56,37,0.543,4.49,22.6
2020-02-12 19:48:56,38,0.562,4.46,-20.0
2020-02-12 19:48:56,39,0.53,4.46,-20.0
2020-02-12 19:48:56,40,0.56,4.48,-20.0
2020-02-12 19:48:56,41,0.516,4.48,-20.0
2020-02-12 19:48:56,42,0.531,4.5,-20.0
