KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 13:47:49,1,0.435,4.51,23.6
2020-02-12 13:47:49,2,0.441,4.53,-20.0
2020-02-12 13:47:49,3,0.417,4.54,-20.0
2020-02-12 13:47:49,4,0.441,4.49,-20.0
2020-02-12 13:47:49,5,0.439,4.53,-20.0
2020-02-12 13:47:49,6,0.364,4.51,-20.0
2020-02-12 13:47:49,7,0.396,4.49,-20.0
2020-02-12 13:47:49,8,0.375,4.51,-20.0
2020-02-12 13:47:49,9,0.414,4.47,-20.0
2020-02-12 13:47:49,10,0.395,4.49,-20.0
2020-02-12 13:47:49,11,0.401,4.44,-20.0
2020-02-12 13:47:49,12,0.367,4.45,-20.0
2020-02-12 13:47:49,13,0.404,4.46,22.8
2020-02-12 13:47:49,14,0.357,4.48,-20.0
2020-02-12 13:47:49,15,0.403,4.53,-20.0
2020-02-12 13:47:49,16,0.429,4.53,-20.0
2020-02-12 13:47:49,17,0.397,4.48,-20.0
2020-02-12 13:47:49,18,0.395,4.49,-20.0
2020-02-12 13:47:49,19,0.399,4.47,-20.0
2020-02-12 13:47:49,20,0.401,4.48,-20.0
2020-02-12 13:47:49,21,0.429,4.48,-20.0
2020-02-12 13:47:49,22,0.404,4.45,-20.0
2020-02-12 13:47:49,23,0.39,4.47,-20.0
2020-02-12 13:47:49,24,0.393,4.48,-20.0
2020-02-12 13:47:49,25,0.353,4.5,20.4
2020-02-12 13:47:49,26,0.406,4.49,-20.0
2020-02-12 13:47:49,27,0.451,4.46,-20.0
2020-02-12 13:47:49,28,0.433,4.46,-20.0
2020-02-12 13:47:49,29,0.411,4.46,-20.0
2020-02-12 13:47:49,30,0.325,4.46,-20.0
2020-02-12 13:47:49,31,0.322,4.46,-20.0
2020-02-12 13:47:49,32,0.346,4.46,-20.0
2020-02-12 13:47:49,33,0.421,4.48,-20.0
2020-02-12 13:47:49,34,0.373,4.49,-20.0
2020-02-12 13:47:49,35,0.351,4.47,-20.0
2020-02-12 13:47:49,36,0.329,4.51,-20.0
2020-02-12 13:47:49,37,0.419,4.47,20.9
2020-02-12 13:47:49,38,0.393,4.49,-20.0
2020-02-12 13:47:49,39,0.332,4.47,-20.0
2020-02-12 13:47:49,40,0.336,4.47,-20.0
2020-02-12 13:47:49,41,0.369,4.5,-20.0
2020-02-12 13:47:49,42,0.334,4.48,-20.0
2020-02-12 13:47:49,43,0.374,4.5,-20.0
