KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 19:46:50,1,0.563,4.43,22.1
2020-02-12 19:46:50,2,0.544,4.47,-20.0
2020-02-12 19:46:50,3,0.528,4.45,-20.0
2020-02-12 19:46:50,4,0.465,4.48,-20.0
2020-02-12 19:46:50,5,0.532,4.46,-20.0
2020-02-12 19:46:50,6,0.516,4.45,-20.0
2020-02-12 19:46:50,7,0.532,4.45,-20.0
2020-02-12 19:46:50,8,0.543,4.48,-20.0
2020-02-12 19:46:50,9,0.504,4.48,-20.0
2020-02-12 19:46:50,10,0.476,4.45,-20.0
2020-02-12 19:46:50,11,0.563,4.44,-20.0
2020-02-12 19:46:50,12,0.539,4.46,-20.0
2020-02-12 19:46:50,13,0.542,4.49,22.2
2020-02-12 19:46:50,14,0.537,4.47,-20.0
2020-02-12 19:46:50,15,0.561,4.47,-20.0
2020-02-12 19:46:50,16,0.558,4.51,-20.0
2020-02-12 19:46:50,17,0.555,4.48,-20.0
2020-02-12 19:46:50,18,0.585,4.49,-20.0
2020-02-12 19:46:50,19,0.593,4.53,-20.0
2020-02-12 19:46:50,20,0.561,4.46,-20.0
2020-02-12 19:46:50,21,0.55,4.47,-20.0
2020-02-12 19:46:50,22,0.565,4.48,-20.0
2020-02-12 19:46:50,23,0.553,4.49,-20.0
2020-02-12 19:46:50,24,0.52,4.45,-20.0
2020-02-12 19:46:50,25,0.546,4.61,22.9
2020-02-12 19:46:50,26,0.562,4.54,-20.0
2020-02-12 19:46:50,27,0.537,4.51,-20.0
2020-02-12 19:46:50,28,0.544,4.47,-20.0
2020-02-12 19:46:50,29,0.571,4.53,-20.0
2020-02-12 19:46:50,30,0.55,4.5,-20.0
2020-02-12 19:46:50,31,0.553,4.5,-20.0
2020-02-12 19:46:50,32,0.563,4.43,-20.0
2020-02-12 19:46:50,33,0.56,4.5,-20.0
2020-02-12 19:46:50,34,0.521,4.42,-20.0
2020-02-12 19:46:50,35,0.557,4.48,-20.0
2020-02-12 19:46:50,36,0.532,4.44,-20.0
2020-02-12 19:46:50,37,0.567,4.47,22.9
2020-02-12 19:46:50,38,0.546,4.44,-20.0
2020-02-12 19:46:50,39,0.552,4.44,-20.0
2020-02-12 19:46:50,40,0.482,4.44,-20.0
2020-02-12 19:46:50,41,0.531,4.47,-20.0
2020-02-12 19:46:50,42,0.507,4.51,-20.0
2020-02-12 19:46:50,43,0.537,4.44,-20.0
