KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 12:06:08,1,0.585,4.44,23.6
2020-02-12 12:06:08,2,0.553,4.43,-20.0
2020-02-12 12:06:08,3,0.557,4.44,-20.0
2020-02-12 12:06:08,4,0.574,4.48,-20.0
2020-02-12 12:06:08,5,0.57,4.42,-20.0
2020-02-12 12:06:08,6,0.569,4.42,-20.0
2020-02-12 12:06:08,7,0.579,4.43,-20.0
2020-02-12 12:06:08,8,0.546,4.43,-20.0
2020-02-12 12:06:08,9,0.565,4.47,-20.0
2020-02-12 12:06:08,10,0.537,4.37,-20.0
2020-02-12 12:06:08,11,0.6,4.42,-20.0
2020-02-12 12:06:08,12,0.554,4.42,-20.0
2020-02-12 12:06:08,13,0.559,4.44,23.5
2020-02-12 12:06:08,14,0.556,4.44,-20.0
2020-02-12 12:06:08,15,0.557,4.47,-20.0
2020-02-12 12:06:08,16,0.505,4.46,-20.0
2020-02-12 12:06:08,17,0.553,4.42,-20.0
2020-02-12 12:06:08,18,0.613,4.42,-20.0
2020-02-12 12:06:08,19,0.619,4.43,-20.0
2020-02-12 12:06:08,20,0.547,4.47,-20.0
2020-02-12 12:06:08,21,0.55,4.52,-20.0
2020-02-12 12:06:08,22,0.539,4.52,-20.0
2020-02-12 12:06:08,23,0.564,4.45,-20.0
2020-02-12 12:06:08,24,0.553,4.42,-20.0
2020-02-12 12:06:08,25,0.561,4.47,23.3
2020-02-12 12:06:08,26,0.556,4.5,-20.0
2020-02-12 12:06:08,27,0.551,4.55,-20.0
2020-02-12 12:06:08,28,0.559,4.51,-20.0
2020-02-12 12:06:08,29,0.584,4.54,-20.0
2020-02-12 12:06:08,30,0.587,4.51,-20.0
2020-02-12 12:06:08,31,0.553,4.42,-20.0
2020-02-12 12:06:08,32,0.558,4.49,-20.0
2020-02-12 12:06:08,33,0.55,4.47,-20.0
2020-02-12 12:06:08,34,0.559,4.47,-20.0
2020-02-12 12:06:08,35,0.568,4.45,-20.0
2020-02-12 12:06:08,36,0.559,4.43,-20.0
2020-02-12 12:06:08,37,0.557,4.46,23.8
2020-02-12 12:06:08,38,0.553,4.43,-20.0
2020-02-12 12:06:08,39,0.539,4.46,-20.0
2020-02-12 12:06:08,40,0.539,4.44,-20.0
2020-02-12 12:06:08,41,0.569,4.46,-20.0
