KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 15:11:59,1,0.545,4.43,20.0
2020-02-12 15:11:59,2,0.541,4.42,-20.0
2020-02-12 15:11:59,3,0.547,4.47,-20.0
2020-02-12 15:11:59,4,0.559,4.43,-20.0
2020-02-12 15:11:59,5,0.547,4.42,-20.0
2020-02-12 15:11:59,6,0.528,4.44,-20.0
2020-02-12 15:11:59,7,0.536,4.42,-20.0
2020-02-12 15:11:59,8,0.567,4.44,-20.0
2020-02-12 15:11:59,9,0.518,4.43,-20.0
2020-02-12 15:11:59,10,0.57,4.44,-20.0
2020-02-12 15:11:59,11,0.579,4.47,-20.0
2020-02-12 15:11:59,12,0.548,4.41,-20.0
2020-02-12 15:11:59,13,0.56,4.41,19.5
2020-02-12 15:11:59,14,0.559,4.4,-20.0
2020-02-12 15:11:59,15,0.56,4.42,-20.0
2020-02-12 15:11:59,16,0.546,4.38,-20.0
2020-02-12 15:11:59,17,0.553,4.41,-20.0
2020-02-12 15:11:59,18,0.535,4.45,-20.0
2020-02-12 15:11:59,19,0.534,4.43,-20.0
2020-02-12 15:11:59,20,0.554,4.4,-20.0
2020-02-12 15:11:59,21,0.55,4.5,-20.0
2020-02-12 15:11:59,22,0.548,4.49,-20.0
2020-02-12 15:11:59,23,0.552,4.43,-20.0
2020-02-12 15:11:59,24,0.53,4.43,-20.0
2020-02-12 15:11:59,25,0.528,4.54,19.2
2020-02-12 15:11:59,26,0.555,4.52,-20.0
2020-02-12 15:11:59,27,0.548,4.6,-20.0
2020-02-12 15:11:59,28,0.555,4.58,-20.0
2020-02-12 15:11:59,29,0.564,4.55,-20.0
2020-02-12 15:11:59,30,0.511,4.52,-20.0
2020-02-12 15:11:59,31,0.535,4.52,-20.0
2020-02-12 15:11:59,32,0.554,4.55,-20.0
2020-02-12 15:11:59,33,0.541,4.52,-20.0
2020-02-12 15:11:59,34,0.526,4.56,-20.0
2020-02-12 15:11:59,35,0.568,4.58,-20.0
2020-02-12 15:11:59,36,0.559,4.47,18.9
2020-02-12 15:11:59,37,0.543,4.48,-20.0
2020-02-12 15:11:59,38,0.579,4.46,-20.0
2020-02-12 15:11:59,39,0.556,4.42,-20.0
2020-02-12 15:11:59,40,0.583,4.5,-20.0
2020-02-12 15:11:59,41,0.532,4.48,-20.0
2020-02-12 15:11:59,42,0.558,4.46,-20.0
2020-02-12 15:11:59,43,0.563,4.45,-20.0
2020-02-12 15:11:59,44,0.541,4.43,-20.0
2020-02-12 15:11:59,45,0.559,4.47,-20.0
2020-02-12 15:11:59,46,0.57,4.42,-20.0
2020-02-12 15:11:59,47,0.565,4.43,-20.0
2020-02-12 15:11:59,48,0.528,4.44,18.8
2020-02-12 15:11:59,49,0.547,4.43,-20.0
2020-02-12 15:11:59,50,0.561,4.44,-20.0
2020-02-12 15:11:59,51,0.573,4.44,-20.0
2020-02-12 15:11:59,52,0.557,4.43,-20.0
2020-02-12 15:11:59,53,0.542,4.45,-20.0
2020-02-12 15:11:59,54,0.536,4.47,-20.0
2020-02-12 15:11:59,55,0.548,4.41,-20.0
2020-02-12 15:11:59,56,0.536,4.49,-20.0
2020-02-12 15:11:59,57,0.558,4.45,-20.0
2020-02-12 15:11:59,58,0.556,4.55,-20.0
2020-02-12 15:11:59,59,0.546,4.49,-20.0
2020-02-12 15:11:59,60,0.539,4.45,19.5
2020-02-12 15:11:59,61,0.549,4.47,-20.0
2020-02-12 15:11:59,62,0.56,4.42,-20.0
2020-02-12 15:11:59,63,0.55,4.48,-20.0
2020-02-12 15:11:59,64,0.566,4.45,-20.0
2020-02-12 15:11:59,65,0.523,4.46,-20.0
2020-02-12 15:11:59,66,0.542,4.47,-20.0
2020-02-12 15:11:59,67,0.565,4.49,-20.0
2020-02-12 15:11:59,68,0.557,4.48,-20.0
2020-02-12 15:11:59,69,0.54,4.46,-20.0
2020-02-12 15:11:59,70,0.539,4.49,19.2
2020-02-12 15:11:59,71,0.556,4.46,-20.0
