KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-14 16:03:48,1,0.525,4.46,22.5
2020-02-14 16:03:48,2,0.539,4.44,-20.0
2020-02-14 16:03:48,3,0.546,4.46,-20.0
2020-02-14 16:03:48,4,0.499,4.46,-20.0
2020-02-14 16:03:48,5,0.584,4.51,-20.0
2020-02-14 16:03:48,6,0.561,4.44,-20.0
2020-02-14 16:03:48,7,0.567,4.47,-20.0
2020-02-14 16:03:48,8,0.52,4.44,-20.0
2020-02-14 16:03:48,9,0.534,4.51,-20.0
2020-02-14 16:03:48,10,0.524,4.46,-20.0
2020-02-14 16:03:48,11,0.552,4.44,-20.0
2020-02-14 16:03:48,12,0.534,4.5,-20.0
2020-02-14 16:03:48,13,0.55,4.47,22.8
2020-02-14 16:03:48,14,0.574,4.44,-20.0
2020-02-14 16:03:48,15,0.568,4.45,-20.0
2020-02-14 16:03:48,16,0.557,4.44,-20.0
2020-02-14 16:03:48,17,0.558,4.45,-20.0
2020-02-14 16:03:48,18,0.583,4.46,-20.0
2020-02-14 16:03:48,19,0.616,4.55,-20.0
2020-02-14 16:03:48,20,0.577,4.47,-20.0
2020-02-14 16:03:48,21,0.561,4.45,-20.0
2020-02-14 16:03:48,22,0.561,4.45,-20.0
2020-02-14 16:03:48,23,0.574,4.47,-20.0
2020-02-14 16:03:48,24,0.542,4.43,-20.0
2020-02-14 16:03:48,25,0.557,4.49,23.3
2020-02-14 16:03:48,26,0.565,4.51,-20.0
2020-02-14 16:03:48,27,0.537,4.51,-20.0
2020-02-14 16:03:48,28,0.554,4.49,-20.0
2020-02-14 16:03:48,29,0.542,4.49,-20.0
2020-02-14 16:03:48,30,0.583,4.48,-20.0
2020-02-14 16:03:48,31,0.571,4.48,-20.0
2020-02-14 16:03:48,32,0.594,4.47,-20.0
2020-02-14 16:03:48,33,0.545,4.48,-20.0
2020-02-14 16:03:48,34,0.574,4.58,-20.0
2020-02-14 16:03:48,35,0.58,4.45,-20.0
2020-02-14 16:03:48,36,0.554,4.51,-20.0
2020-02-14 16:03:48,37,0.544,4.54,23.3
2020-02-14 16:03:48,38,0.561,4.47,-20.0
2020-02-14 16:03:48,39,0.487,4.47,-20.0
2020-02-14 16:03:48,40,0.559,4.47,-20.0
2020-02-14 16:03:48,41,0.552,4.45,-20.0
