KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 11:51:30,1,0.453,4.43,23.2
2020-02-12 11:51:30,2,0.445,4.46,-20.0
2020-02-12 11:51:30,3,0.466,4.46,-20.0
2020-02-12 11:51:30,4,0.46,4.48,-20.0
2020-02-12 11:51:30,5,0.46,4.46,-20.0
2020-02-12 11:51:30,6,0.442,4.49,-20.0
2020-02-12 11:51:30,7,0.465,4.48,-20.0
2020-02-12 11:51:30,8,0.472,4.48,-20.0
2020-02-12 11:51:30,9,0.469,4.46,-20.0
2020-02-12 11:51:30,10,0.465,4.48,-20.0
2020-02-12 11:51:30,11,0.463,4.47,-20.0
2020-02-12 11:51:30,12,0.462,4.45,-20.0
2020-02-12 11:51:30,13,0.449,4.46,22.4
2020-02-12 11:51:30,14,0.456,4.49,-20.0
2020-02-12 11:51:30,15,0.467,4.46,-20.0
2020-02-12 11:51:30,16,0.449,4.44,-20.0
2020-02-12 11:51:30,17,0.45,4.46,-20.0
2020-02-12 11:51:30,18,0.443,4.47,-20.0
2020-02-12 11:51:30,19,0.47,4.45,-20.0
2020-02-12 11:51:30,20,0.444,4.46,-20.0
2020-02-12 11:51:30,21,0.482,4.46,-20.0
2020-02-12 11:51:30,22,0.437,4.47,-20.0
2020-02-12 11:51:30,23,0.473,4.45,-20.0
2020-02-12 11:51:30,24,0.453,4.47,-20.0
2020-02-12 11:51:30,25,0.469,4.49,21.7
2020-02-12 11:51:30,26,0.453,4.49,-20.0
2020-02-12 11:51:30,27,0.444,4.49,-20.0
2020-02-12 11:51:30,28,0.456,4.49,-20.0
2020-02-12 11:51:30,29,0.458,4.52,-20.0
2020-02-12 11:51:30,30,0.461,4.5,-20.0
2020-02-12 11:51:30,31,0.473,4.44,-20.0
2020-02-12 11:51:30,32,0.485,4.47,-20.0
2020-02-12 11:51:30,33,0.445,4.49,-20.0
2020-02-12 11:51:30,34,0.444,4.49,-20.0
2020-02-12 11:51:30,35,0.46,4.53,21.6
2020-02-12 11:51:30,36,0.445,4.49,-20.0
2020-02-12 11:51:30,37,0.465,4.51,-20.0
2020-02-12 11:51:30,38,0.456,4.49,-20.0
2020-02-12 11:51:30,39,0.459,4.51,-20.0
2020-02-12 11:51:30,40,0.467,4.49,-20.0
2020-02-12 11:51:30,41,0.439,4.53,-20.0
2020-02-12 11:51:30,42,0.471,4.5,-20.0
2020-02-12 11:51:30,43,0.475,4.51,-20.0
2020-02-12 11:51:30,44,0.458,4.48,-20.0
2020-02-12 11:51:30,45,0.442,4.5,-20.0
2020-02-12 11:51:30,46,0.451,4.47,-20.0
2020-02-12 11:51:30,47,0.447,4.46,22.0
2020-02-12 11:51:30,48,0.465,4.44,-20.0
2020-02-12 11:51:30,49,0.458,4.42,-20.0
2020-02-12 11:51:30,50,0.464,4.46,-20.0
2020-02-12 11:51:30,51,0.464,4.45,-20.0
2020-02-12 11:51:30,52,0.441,4.46,-20.0
2020-02-12 11:51:30,53,0.461,4.45,-20.0
2020-02-12 11:51:30,54,0.444,4.49,-20.0
2020-02-12 11:51:30,55,0.401,4.47,-20.0
2020-02-12 11:51:30,56,0.446,4.46,-20.0
2020-02-12 11:51:30,57,0.411,4.46,-20.0
2020-02-12 11:51:30,58,0.447,4.44,22.0
2020-02-12 11:51:30,59,0.458,4.44,-20.0
2020-02-12 11:51:30,60,0.426,4.43,-20.0
2020-02-12 11:51:30,61,0.45,4.46,-20.0
2020-02-12 11:51:30,62,0.424,4.44,-20.0
2020-02-12 11:51:30,63,0.458,4.46,-20.0
2020-02-12 11:51:30,64,0.415,4.47,-20.0
