KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 12:23:56,1,0.581,4.44,20.4
2020-02-12 12:23:56,2,0.581,4.47,-20.0
2020-02-12 12:23:56,3,0.585,4.4,-20.0
2020-02-12 12:23:56,4,0.587,4.48,-20.0
2020-02-12 12:23:56,5,0.566,4.42,-20.0
2020-02-12 12:23:56,6,0.604,4.43,-20.0
2020-02-12 12:23:56,7,0.592,4.44,-20.0
2020-02-12 12:23:56,8,0.577,4.46,-20.0
2020-02-12 12:23:56,9,0.554,4.42,-20.0
2020-02-12 12:23:56,10,0.579,4.48,-20.0
2020-02-12 12:23:56,11,0.574,4.48,-20.0
2020-02-12 12:23:56,12,0.584,4.43,-20.0
2020-02-12 12:23:56,13,0.607,4.49,19.8
2020-02-12 12:23:56,14,0.572,4.42,-20.0
2020-02-12 12:23:56,15,0.581,4.5,-20.0
2020-02-12 12:23:56,16,0.589,4.5,-20.0
2020-02-12 12:23:56,17,0.568,4.48,-20.0
2020-02-12 12:23:56,18,0.57,4.46,-20.0
2020-02-12 12:23:56,19,0.615,4.46,-20.0
2020-02-12 12:23:56,20,0.604,4.45,-20.0
2020-02-12 12:23:56,21,0.577,4.49,-20.0
2020-02-12 12:23:56,22,0.564,4.52,-20.0
2020-02-12 12:23:56,23,0.593,4.51,-20.0
2020-02-12 12:23:56,24,0.592,4.47,-20.0
2020-02-12 12:23:56,25,0.555,4.51,19.5
2020-02-12 12:23:56,26,0.584,4.46,-20.0
2020-02-12 12:23:56,27,0.578,4.47,-20.0
2020-02-12 12:23:56,28,0.587,4.53,-20.0
2020-02-12 12:23:56,29,0.589,4.49,-20.0
2020-02-12 12:23:56,30,0.582,4.47,-20.0
2020-02-12 12:23:56,31,0.582,4.51,-20.0
2020-02-12 12:23:56,32,0.59,4.52,-20.0
2020-02-12 12:23:56,33,0.584,4.53,-20.0
2020-02-12 12:23:56,34,0.598,4.51,-20.0
2020-02-12 12:23:56,35,0.59,4.51,-20.0
2020-02-12 12:23:56,36,0.606,4.46,19.6
2020-02-12 12:23:56,37,0.598,4.51,-20.0
2020-02-12 12:23:56,38,0.574,4.51,-20.0
2020-02-12 12:23:56,39,0.568,4.5,-20.0
2020-02-12 12:23:56,40,0.561,4.42,-20.0
2020-02-12 12:23:56,41,0.571,4.49,-20.0
2020-02-12 12:23:56,42,0.569,4.49,-20.0
2020-02-12 12:23:56,43,0.563,4.48,-20.0
2020-02-12 12:23:56,44,0.547,4.42,-20.0
2020-02-12 12:23:56,45,0.578,4.49,-20.0
2020-02-12 12:23:56,46,0.592,4.52,-20.0
2020-02-12 12:23:56,47,0.585,4.51,-20.0
2020-02-12 12:23:56,48,0.515,4.44,-20.0
2020-02-12 12:23:56,49,0.507,4.42,-20.0
2020-02-12 12:23:56,50,0.544,4.49,-20.0
2020-02-12 12:23:56,51,0.523,4.48,-20.0
2020-02-12 12:23:56,52,0.541,4.46,-20.0
2020-02-12 12:23:56,53,0.54,4.5,-20.0
2020-02-12 12:23:56,54,0.517,4.4,-20.0
2020-02-12 12:23:56,55,0.524,4.46,-20.0
2020-02-12 12:23:56,56,0.508,4.44,-20.0
2020-02-12 12:23:56,57,0.545,4.45,-20.0
2020-02-12 12:23:56,58,0.56,4.36,18.2
2020-02-12 12:23:56,59,0.529,4.44,-20.0
2020-02-12 12:23:56,60,0.535,4.47,-20.0
2020-02-12 12:23:56,61,0.508,4.41,-20.0
2020-02-12 12:23:56,62,0.554,4.49,-20.0
2020-02-12 12:23:56,63,0.545,4.44,-20.0
2020-02-12 12:23:56,64,0.533,4.41,-20.0
2020-02-12 12:23:56,65,0.525,4.47,-20.0
2020-02-12 12:23:56,66,0.505,4.43,-20.0
2020-02-12 12:23:56,67,0.519,4.45,-20.0
2020-02-12 12:23:56,68,0.525,4.45,-20.0
2020-02-12 12:23:56,69,0.531,4.45,-20.0
2020-02-12 12:23:56,70,0.53,4.45,18.5
2020-02-12 12:23:56,71,0.524,4.48,-20.0
2020-02-12 12:23:56,72,0.515,4.49,-20.0
2020-02-12 12:23:56,73,0.53,4.44,-20.0
2020-02-12 12:23:56,74,0.525,4.46,-20.0
2020-02-12 12:23:56,75,0.519,4.47,-20.0
2020-02-12 12:23:56,76,0.499,4.44,-20.0
2020-02-12 12:23:56,77,0.509,4.41,-20.0
2020-02-12 12:23:56,78,0.53,4.45,-20.0
2020-02-12 12:23:56,79,0.533,4.46,-20.0
