KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 11:41:55,1,0.379,4.41,23.1
2020-02-12 11:41:55,2,0.455,4.42,-20.0
2020-02-12 11:41:55,3,0.431,4.42,-20.0
2020-02-12 11:41:55,4,0.424,4.42,-20.0
2020-02-12 11:41:55,5,0.368,4.4,-20.0
2020-02-12 11:41:55,6,0.371,4.44,-20.0
2020-02-12 11:41:55,7,0.407,4.43,-20.0
2020-02-12 11:41:55,8,0.424,4.44,-20.0
2020-02-12 11:41:55,9,0.41,4.4,-20.0
2020-02-12 11:41:55,10,0.356,4.39,-20.0
2020-02-12 11:41:55,11,0.343,4.41,-20.0
2020-02-12 11:41:55,12,0.432,4.42,-20.0
2020-02-12 11:41:55,13,0.396,4.44,20.9
2020-02-12 11:41:55,14,0.397,4.46,-20.0
2020-02-12 11:41:55,15,0.35,4.46,-20.0
2020-02-12 11:41:55,16,0.364,4.46,-20.0
2020-02-12 11:41:55,17,0.422,4.44,-20.0
2020-02-12 11:41:55,18,0.428,4.45,-20.0
2020-02-12 11:41:55,19,0.446,4.41,-20.0
2020-02-12 11:41:55,20,0.34,4.43,-20.0
2020-02-12 11:41:55,21,0.362,4.41,-20.0
2020-02-12 11:41:55,22,0.339,4.45,-20.0
2020-02-12 11:41:55,23,0.431,4.44,-20.0
2020-02-12 11:41:55,24,0.404,4.46,-20.0
2020-02-12 11:41:55,25,0.354,4.43,19.7
2020-02-12 11:41:55,26,0.354,4.48,-20.0
2020-02-12 11:41:55,27,0.466,4.47,-20.0
2020-02-12 11:41:55,28,0.381,4.46,-20.0
2020-02-12 11:41:55,29,0.415,4.46,-20.0
2020-02-12 11:41:55,30,0.365,4.45,-20.0
2020-02-12 11:41:55,31,0.325,4.45,-20.0
2020-02-12 11:41:55,32,0.346,4.46,-20.0
2020-02-12 11:41:55,33,0.4,4.45,-20.0
2020-02-12 11:41:55,34,0.334,4.45,-20.0
2020-02-12 11:41:55,35,0.369,4.46,-20.0
2020-02-12 11:41:55,36,0.429,4.41,19.4
2020-02-12 11:41:55,37,0.419,4.47,-20.0
2020-02-12 11:41:55,38,0.487,4.45,-20.0
2020-02-12 11:41:55,39,0.358,4.44,-20.0
2020-02-12 11:41:55,40,0.351,4.42,-20.0
2020-02-12 11:41:55,41,0.453,4.47,-20.0
2020-02-12 11:41:55,42,0.415,4.43,-20.0
2020-02-12 11:41:55,43,0.432,4.46,-20.0
2020-02-12 11:41:55,44,0.398,4.48,-20.0
2020-02-12 11:41:55,45,0.422,4.45,-20.0
2020-02-12 11:41:55,46,0.476,4.44,19.8
2020-02-12 11:41:55,47,0.446,4.44,-20.0
2020-02-12 11:41:55,48,0.357,4.44,-20.0
2020-02-12 11:41:55,49,0.363,4.42,-20.0
2020-02-12 11:41:55,50,0.426,4.42,-20.0
2020-02-12 11:41:55,51,0.514,4.41,-20.0
2020-02-12 11:41:55,52,0.361,4.41,-20.0
2020-02-12 11:41:55,53,0.359,4.39,-20.0
2020-02-12 11:41:55,54,0.446,4.41,-20.0
2020-02-12 11:41:55,55,0.393,4.42,-20.0
2020-02-12 11:41:55,56,0.398,4.44,-20.0
2020-02-12 11:41:55,57,0.363,4.43,18.6
2020-02-12 11:41:55,58,0.356,4.41,-20.0
2020-02-12 11:41:55,59,0.468,4.41,-20.0
2020-02-12 11:41:55,60,0.396,4.44,-20.0
2020-02-12 11:41:55,61,0.426,4.42,-20.0
2020-02-12 11:41:55,62,0.349,4.37,-20.0
2020-02-12 11:41:55,63,0.369,4.42,-20.0
2020-02-12 11:41:55,64,0.456,4.4,-20.0
2020-02-12 11:41:55,65,0.386,4.43,-20.0
2020-02-12 11:41:55,66,0.369,4.44,-20.0
2020-02-12 11:41:55,67,0.409,4.42,-20.0
2020-02-12 11:41:55,68,0.448,4.44,19.2
2020-02-12 11:41:55,69,0.416,4.44,-20.0
2020-02-12 11:41:55,70,0.327,4.39,-20.0
2020-02-12 11:41:55,71,0.335,4.41,-20.0
2020-02-12 11:41:55,72,0.461,4.42,-20.0
2020-02-12 11:41:55,73,0.426,4.44,-20.0
2020-02-12 11:41:55,74,0.435,4.44,-20.0
2020-02-12 11:41:55,75,0.402,4.44,-20.0
2020-02-12 11:41:55,76,0.402,4.44,-20.0
2020-02-12 11:41:55,77,0.408,4.43,-20.0
2020-02-12 11:41:55,78,0.382,4.45,-20.0
2020-02-12 11:41:55,79,0.45,4.4,21.4
2020-02-12 11:41:55,80,0.361,4.39,-20.0
2020-02-12 11:41:55,81,0.359,4.42,-20.0
2020-02-12 11:41:55,82,0.486,4.44,-20.0
2020-02-12 11:41:55,83,0.409,4.43,-20.0
2020-02-12 11:41:55,84,0.354,4.44,-20.0
2020-02-12 11:41:55,85,0.386,4.41,-20.0
2020-02-12 11:41:55,86,0.486,4.43,-20.0
2020-02-12 11:41:55,87,0.458,4.43,-20.0
2020-02-12 11:41:55,88,0.478,4.42,-20.0
2020-02-12 11:41:55,89,0.352,4.48,-20.0
2020-02-12 11:41:55,90,0.409,4.43,-20.0
2020-02-12 11:41:55,91,0.354,4.44,-20.0
2020-02-12 11:41:55,92,0.386,4.42,-20.0
2020-02-12 11:41:55,93,0.486,4.42,-20.0
2020-02-12 11:41:55,94,0.458,4.43,-20.0
2020-02-12 11:41:55,95,0.478,4.41,-20.0
2020-02-12 11:41:55,96,0.352,4.49,-20.0
2020-02-12 23:41:09,1,0.38,4.4,23.2
2020-02-12 23:41:09,2,0.455,4.41,-20.0
2020-02-12 23:41:09,3,0.431,4.43,-20.0
2020-02-12 23:41:09,4,0.426,4.43,-20.0
2020-02-12 23:41:09,5,0.371,4.4,-20.0
2020-02-12 23:41:09,6,0.37,4.45,-20.0
2020-02-12 23:41:09,7,0.409,4.43,-20.0
2020-02-12 23:41:09,8,0.425,4.43,-20.0
2020-02-12 23:41:09,9,0.415,4.41,-20.0
2020-02-12 23:41:09,10,0.356,4.38,-20.0
2020-02-12 23:41:09,11,0.342,4.41,-20.0
2020-02-12 23:41:09,12,0.431,4.42,-20.0
2020-02-12 23:41:09,13,0.394,4.44,20.9
2020-02-12 23:41:09,14,0.397,4.46,-20.0
2020-02-12 23:41:09,15,0.348,4.45,-20.0
2020-02-12 23:41:09,16,0.364,4.47,-20.0
2020-02-12 23:41:09,17,0.42,4.44,-20.0
2020-02-12 23:41:09,18,0.427,4.45,-20.0
2020-02-12 23:41:09,19,0.443,4.41,-20.0
2020-02-12 23:41:09,20,0.341,4.42,-20.0
2020-02-12 23:41:09,21,0.364,4.42,-20.0
2020-02-12 23:41:09,22,0.339,4.44,-20.0
2020-02-12 23:41:09,23,0.431,4.44,-20.0
2020-02-12 23:41:09,24,0.406,4.46,-20.0
2020-02-12 23:41:09,25,0.358,4.46,19.7
2020-02-12 23:41:09,26,0.354,4.48,-20.0
2020-02-12 23:41:09,27,0.468,4.48,-20.0
2020-02-12 23:41:09,28,0.379,4.46,-20.0
2020-02-12 23:41:09,29,0.416,4.45,-20.0
2020-02-12 23:41:09,30,0.363,4.44,-20.0
2020-02-12 23:41:09,31,0.328,4.45,-20.0
2020-02-12 23:41:09,32,0.391,4.45,-20.0
2020-02-12 23:41:09,33,0.351,4.45,-20.0
2020-02-12 23:41:09,34,0.404,4.45,-20.0
2020-02-12 23:41:09,35,0.337,4.45,-20.0
2020-02-12 23:41:09,36,0.37,4.45,-20.0
2020-02-12 23:41:09,37,0.435,4.42,19.5
2020-02-12 23:41:09,38,0.423,4.47,-20.0
2020-02-12 23:41:09,39,0.486,4.46,-20.0
2020-02-12 23:41:09,40,0.356,4.45,-20.0
2020-02-12 23:41:09,41,0.352,4.41,-20.0
2020-02-12 23:41:09,42,0.452,4.47,-20.0
2020-02-12 23:41:09,43,0.419,4.44,-20.0
2020-02-12 23:41:09,44,0.432,4.47,-20.0
2020-02-12 23:41:09,45,0.329,4.47,-20.0
2020-02-12 23:41:09,46,0.399,4.47,-20.0
2020-02-12 23:41:09,47,0.42,4.45,-20.0
2020-02-12 23:41:09,48,0.474,4.44,19.8
2020-02-12 23:41:09,49,0.447,4.44,-20.0
2020-02-12 23:41:09,50,0.361,4.42,-20.0
2020-02-12 23:41:09,51,0.427,4.42,-20.0
2020-02-12 23:41:09,52,0.422,4.43,-20.0
2020-02-12 23:41:09,53,0.503,4.41,-20.0
2020-02-12 23:41:09,54,0.361,4.41,-20.0
2020-02-12 23:41:09,55,0.399,4.43,-20.0
2020-02-12 23:41:09,56,0.398,4.44,-20.0
2020-02-12 23:41:09,57,0.365,4.44,18.7
2020-02-12 23:41:09,58,0.357,4.41,-20.0
2020-02-12 23:41:09,59,0.471,4.41,-20.0
2020-02-12 23:41:09,60,0.394,4.44,-20.0
2020-02-12 23:41:09,61,0.427,4.42,-20.0
2020-02-12 23:41:09,62,0.349,4.38,-20.0
2020-02-12 23:41:09,63,0.37,4.42,-20.0
2020-02-12 23:41:09,64,0.456,4.41,-20.0
2020-02-12 23:41:09,65,0.385,4.42,-20.0
2020-02-12 23:41:09,66,0.44,4.44,-20.0
2020-02-12 23:41:09,67,0.37,4.44,-20.0
2020-02-12 23:41:09,68,0.412,4.42,-20.0
2020-02-12 23:41:09,69,0.449,4.44,19.2
2020-02-12 23:41:09,70,0.415,4.44,-20.0
2020-02-12 23:41:09,71,0.375,4.41,-20.0
2020-02-12 23:41:09,72,0.327,4.4,-20.0
2020-02-12 23:41:09,73,0.337,4.42,-20.0
2020-02-12 23:41:09,74,0.46,4.43,-20.0
2020-02-12 23:41:09,75,0.433,4.44,-20.0
2020-02-12 23:41:09,76,0.404,4.44,-20.0
2020-02-12 23:41:09,77,0.399,4.44,-20.0
2020-02-12 23:41:09,78,0.408,4.43,-20.0
2020-02-12 23:41:09,79,0.384,4.45,-20.0
2020-02-12 23:41:09,80,0.45,4.4,21.4
2020-02-12 23:41:09,81,0.36,4.4,-20.0
2020-02-12 23:41:09,82,0.357,4.42,-20.0
2020-02-12 23:41:09,83,0.393,4.44,-20.0
2020-02-12 23:41:09,84,0.487,4.44,-20.0
2020-02-12 23:41:09,85,0.41,4.43,-20.0
2020-02-12 23:41:09,86,0.352,4.44,-20.0
2020-02-12 23:41:09,87,0.387,4.41,-20.0
2020-02-12 23:41:09,88,0.485,4.43,-20.0
2020-02-12 23:41:09,89,0.459,4.43,-20.0
2020-02-12 23:41:09,90,0.477,4.42,-20.0
2020-02-12 23:41:09,91,0.352,4.44,-20.0
2020-02-12 23:41:09,92,0.387,4.42,-20.0
2020-02-12 23:41:09,93,0.485,4.43,-20.0
2020-02-12 23:41:09,94,0.459,4.43,-20.0
2020-02-12 23:41:09,95,0.477,4.42,-20.0
2020-02-12 23:41:09,96,0.35,4.48,-20.0
2020-02-13 11:40:21,1,0.381,4.4,23.2
2020-02-13 11:40:21,2,0.455,4.42,-20.0
2020-02-13 11:40:21,3,0.429,4.42,-20.0
2020-02-13 11:40:21,4,0.425,4.43,-20.0
2020-02-13 11:40:21,5,0.367,4.41,-20.0
2020-02-13 11:40:21,6,0.366,4.44,-20.0
2020-02-13 11:40:21,7,0.403,4.43,-20.0
2020-02-13 11:40:21,8,0.423,4.43,-20.0
2020-02-13 11:40:21,9,0.413,4.41,-20.0
2020-02-13 11:40:21,10,0.353,4.39,-20.0
2020-02-13 11:40:21,11,0.339,4.41,-20.0
2020-02-13 11:40:21,12,0.428,4.43,-20.0
2020-02-13 11:40:21,13,0.395,4.44,20.8
2020-02-13 11:40:21,14,0.398,4.45,-20.0
2020-02-13 11:40:21,15,0.352,4.46,-20.0
2020-02-13 11:40:21,16,0.365,4.47,-20.0
2020-02-13 11:40:21,17,0.421,4.44,-20.0
2020-02-13 11:40:21,18,0.431,4.46,-20.0
2020-02-13 11:40:21,19,0.445,4.42,-20.0
2020-02-13 11:40:21,20,0.345,4.41,-20.0
2020-02-13 11:40:21,21,0.36,4.41,-20.0
2020-02-13 11:40:21,22,0.334,4.45,-20.0
2020-02-13 11:40:21,23,0.429,4.45,-20.0
2020-02-13 11:40:21,24,0.405,4.45,-20.0
2020-02-13 11:40:21,25,0.355,4.45,19.6
2020-02-13 11:40:21,26,0.353,4.48,-20.0
2020-02-13 11:40:21,27,0.468,4.48,-20.0
2020-02-13 11:40:21,28,0.378,4.46,-20.0
2020-02-13 11:40:21,29,0.418,4.45,-20.0
2020-02-13 11:40:21,30,0.362,4.44,-20.0
2020-02-13 11:40:21,31,0.327,4.44,-20.0
2020-02-13 11:40:21,32,0.392,4.45,-20.0
2020-02-13 11:40:21,33,0.351,4.46,-20.0
2020-02-13 11:40:21,34,0.403,4.44,-20.0
2020-02-13 11:40:21,35,0.337,4.46,-20.0
2020-02-13 11:40:21,36,0.369,4.46,-20.0
2020-02-13 11:40:21,37,0.432,4.42,19.4
2020-02-13 11:40:21,38,0.424,4.47,-20.0
2020-02-13 11:40:21,39,0.484,4.46,-20.0
2020-02-13 11:40:21,40,0.358,4.44,-20.0
2020-02-13 11:40:21,41,0.355,4.41,-20.0
2020-02-13 11:40:21,42,0.454,4.46,-20.0
2020-02-13 11:40:21,43,0.42,4.44,-20.0
2020-02-13 11:40:21,44,0.435,4.46,-20.0
2020-02-13 11:40:21,45,0.354,4.46,-20.0
2020-02-13 11:40:21,46,0.33,4.48,-20.0
2020-02-13 11:40:21,47,0.401,4.46,-20.0
2020-02-13 11:40:21,48,0.424,4.45,-20.0
2020-02-13 11:40:21,49,0.448,4.44,-20.0
2020-02-13 11:40:21,50,0.358,4.44,-20.0
2020-02-13 11:40:21,51,0.359,4.43,-20.0
2020-02-13 11:40:21,52,0.428,4.42,-20.0
2020-02-13 11:40:21,53,0.424,4.43,-20.0
2020-02-13 11:40:21,54,0.367,4.4,-20.0
2020-02-13 11:40:21,55,0.36,4.39,-20.0
2020-02-13 11:40:21,56,0.445,4.41,-20.0
2020-02-13 11:40:21,57,0.402,4.43,-20.0
2020-02-13 11:40:21,58,0.402,4.44,-20.0
2020-02-13 11:40:21,59,0.355,4.41,-20.0
2020-02-13 11:40:21,60,0.475,4.41,-20.0
2020-02-13 11:40:21,61,0.396,4.44,-20.0
2020-02-13 11:40:21,62,0.434,4.42,-20.0
2020-02-13 11:40:21,63,0.351,4.37,-20.0
2020-02-13 11:40:21,64,0.371,4.42,-20.0
2020-02-13 11:40:21,65,0.46,4.41,-20.0
2020-02-13 11:40:21,66,0.39,4.42,-20.0
2020-02-13 11:40:21,67,0.445,4.44,-20.0
2020-02-13 11:40:21,68,0.371,4.44,-20.0
2020-02-13 11:40:21,69,0.412,4.42,-20.0
2020-02-13 11:40:21,70,0.45,4.44,19.1
2020-02-13 11:40:21,71,0.417,4.44,-20.0
2020-02-13 11:40:21,72,0.379,4.41,-20.0
2020-02-13 11:40:21,73,0.327,4.4,-20.0
2020-02-13 11:40:21,74,0.34,4.41,-20.0
2020-02-13 11:40:21,75,0.459,4.43,-20.0
2020-02-13 11:40:21,76,0.422,4.45,-20.0
2020-02-13 11:40:21,77,0.436,4.44,-20.0
2020-02-13 11:40:21,78,0.404,4.43,-20.0
2020-02-13 11:40:21,79,0.4,4.45,-20.0
2020-02-13 11:40:21,80,0.409,4.43,-20.0
2020-02-13 11:40:21,81,0.384,4.45,-20.0
2020-02-13 11:40:21,82,0.452,4.4,21.4
2020-02-13 11:40:21,83,0.361,4.39,-20.0
2020-02-13 11:40:21,84,0.355,4.42,-20.0
2020-02-13 11:40:21,85,0.391,4.43,-20.0
2020-02-13 11:40:21,86,0.407,4.44,-20.0
2020-02-13 11:40:21,87,0.35,4.43,-20.0
2020-02-13 11:40:21,88,0.482,4.42,-20.0
2020-02-13 11:40:21,89,0.455,4.43,-20.0
2020-02-13 11:40:21,90,0.475,4.42,-20.0
2020-02-13 11:40:21,91,0.35,4.48,-20.0
2020-02-13 11:40:21,92,0.389,4.42,-20.0
2020-02-13 11:40:21,93,0.482,4.43,-20.0
2020-02-13 11:40:21,94,0.455,4.43,-20.0
2020-02-13 11:40:21,95,0.475,4.42,-20.0
2020-02-13 11:40:21,96,0.35,4.48,-20.0
2020-02-13 23:39:33,1,0.382,4.4,23.2
2020-02-13 23:39:33,2,0.459,4.42,-20.0
2020-02-13 23:39:33,3,0.43,4.42,-20.0
2020-02-13 23:39:33,4,0.425,4.43,-20.0
2020-02-13 23:39:33,5,0.367,4.39,-20.0
2020-02-13 23:39:33,6,0.364,4.45,-20.0
2020-02-13 23:39:33,7,0.403,4.43,-20.0
2020-02-13 23:39:33,8,0.423,4.43,-20.0
2020-02-13 23:39:33,9,0.415,4.41,-20.0
2020-02-13 23:39:33,10,0.355,4.39,-20.0
2020-02-13 23:39:33,11,0.341,4.41,-20.0
2020-02-13 23:39:33,12,0.428,4.42,-20.0
2020-02-13 23:39:33,13,0.394,4.44,20.8
2020-02-13 23:39:33,14,0.399,4.46,-20.0
2020-02-13 23:39:33,15,0.353,4.46,-20.0
2020-02-13 23:39:33,16,0.368,4.46,-20.0
2020-02-13 23:39:33,17,0.422,4.44,-20.0
2020-02-13 23:39:33,18,0.429,4.46,-20.0
2020-02-13 23:39:33,19,0.441,4.41,-20.0
2020-02-13 23:39:33,20,0.342,4.43,-20.0
2020-02-13 23:39:33,21,0.357,4.41,-20.0
2020-02-13 23:39:33,22,0.335,4.45,-20.0
2020-02-13 23:39:33,23,0.431,4.44,-20.0
2020-02-13 23:39:33,24,0.401,4.45,-20.0
2020-02-13 23:39:33,25,0.355,4.45,19.6
2020-02-13 23:39:33,26,0.351,4.48,-20.0
2020-02-13 23:39:33,27,0.467,4.48,-20.0
2020-02-13 23:39:33,28,0.378,4.46,-20.0
2020-02-13 23:39:33,29,0.417,4.48,-20.0
2020-02-13 23:39:33,30,0.362,4.45,-20.0
2020-02-13 23:39:33,31,0.328,4.44,-20.0
2020-02-13 23:39:33,32,0.392,4.45,-20.0
2020-02-13 23:39:33,33,0.352,4.45,-20.0
2020-02-13 23:39:33,34,0.403,4.47,-20.0
2020-02-13 23:39:33,35,0.335,4.46,-20.0
2020-02-13 23:39:33,36,0.367,4.46,-20.0
2020-02-13 23:39:33,37,0.433,4.43,19.4
2020-02-13 23:39:33,38,0.422,4.47,-20.0
2020-02-13 23:39:33,39,0.485,4.46,-20.0
2020-02-13 23:39:33,40,0.354,4.44,-20.0
2020-02-13 23:39:33,41,0.355,4.41,-20.0
2020-02-13 23:39:33,42,0.445,4.46,-20.0
2020-02-13 23:39:33,43,0.418,4.43,-20.0
2020-02-13 23:39:33,44,0.434,4.46,-20.0
2020-02-13 23:39:33,45,0.352,4.45,-20.0
2020-02-13 23:39:33,46,0.327,4.48,-20.0
2020-02-13 23:39:33,47,0.397,4.48,-20.0
2020-02-13 23:39:33,48,0.422,4.46,-20.0
2020-02-13 23:39:33,49,0.47,4.44,19.7
2020-02-13 23:39:33,50,0.449,4.44,-20.0
2020-02-13 23:39:33,51,0.358,4.44,-20.0
2020-02-13 23:39:33,52,0.358,4.42,-20.0
2020-02-13 23:39:33,53,0.429,4.42,-20.0
2020-02-13 23:39:33,54,0.509,4.41,-20.0
2020-02-13 23:39:33,55,0.367,4.41,-20.0
2020-02-13 23:39:33,56,0.361,4.39,-20.0
2020-02-13 23:39:33,57,0.446,4.41,-20.0
2020-02-13 23:39:33,58,0.396,4.42,-20.0
2020-02-13 23:39:33,59,0.401,4.44,-20.0
2020-02-13 23:39:33,60,0.367,4.44,18.5
2020-02-13 23:39:33,61,0.358,4.41,-20.0
2020-02-13 23:39:33,62,0.477,4.42,-20.0
2020-02-13 23:39:33,63,0.399,4.44,-20.0
2020-02-13 23:39:33,64,0.437,4.42,-20.0
2020-02-13 23:39:33,65,0.35,4.37,-20.0
2020-02-13 23:39:33,66,0.371,4.42,-20.0
2020-02-13 23:39:33,67,0.461,4.4,-20.0
2020-02-13 23:39:33,68,0.388,4.42,-20.0
2020-02-13 23:39:33,69,0.445,4.44,-20.0
