KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 19:39:02,1,0.577,4.43,19.9
2020-02-12 19:39:02,2,0.578,4.43,-20.0
2020-02-12 19:39:02,3,0.56,4.42,-20.0
2020-02-12 19:39:02,4,0.557,4.44,-20.0
2020-02-12 19:39:02,5,0.576,4.42,-20.0
2020-02-12 19:39:02,6,0.569,4.45,-20.0
2020-02-12 19:39:02,7,0.543,4.48,-20.0
2020-02-12 19:39:02,8,0.566,4.45,-20.0
2020-02-12 19:39:02,9,0.563,4.44,-20.0
2020-02-12 19:39:02,10,0.573,4.46,-20.0
2020-02-12 19:39:02,11,0.562,4.46,-20.0
2020-02-12 19:39:02,12,0.57,4.5,-20.0
2020-02-12 19:39:02,13,0.548,4.45,18.1
2020-02-12 19:39:02,14,0.576,4.45,-20.0
2020-02-12 19:39:02,15,0.529,4.45,-20.0
2020-02-12 19:39:02,16,0.562,4.44,-20.0
2020-02-12 19:39:02,17,0.575,4.44,-20.0
2020-02-12 19:39:02,18,0.569,4.52,-20.0
2020-02-12 19:39:02,19,0.567,4.5,-20.0
2020-02-12 19:39:02,20,0.57,4.48,-20.0
2020-02-12 19:39:02,21,0.566,4.46,-20.0
2020-02-12 19:39:02,22,0.568,4.43,-20.0
2020-02-12 19:39:02,23,0.532,4.49,-20.0
2020-02-12 19:39:02,24,0.584,4.57,-20.0
2020-02-12 19:39:02,25,0.549,4.57,18.2
2020-02-12 19:39:02,26,0.529,4.48,-20.0
2020-02-12 19:39:02,27,0.555,4.47,-20.0
2020-02-12 19:39:02,28,0.562,4.46,-20.0
2020-02-12 19:39:02,29,0.581,4.47,-20.0
2020-02-12 19:39:02,30,0.538,4.52,-20.0
2020-02-12 19:39:02,31,0.548,4.51,-20.0
2020-02-12 19:39:02,32,0.535,4.46,-20.0
2020-02-12 19:39:02,33,0.557,4.46,-20.0
2020-02-12 19:39:02,34,0.562,4.44,-20.0
2020-02-12 19:39:02,35,0.564,4.5,-20.0
2020-02-12 19:39:02,36,0.561,4.5,-20.0
2020-02-12 19:39:02,37,0.553,4.48,18.5
2020-02-12 19:39:02,38,0.566,4.48,-20.0
2020-02-12 19:39:02,39,0.564,4.43,-20.0
2020-02-12 19:39:02,40,0.547,4.45,-20.0
2020-02-12 19:39:02,41,0.527,4.43,-20.0
2020-02-12 19:39:02,42,0.537,4.44,-20.0
2020-02-12 19:39:02,43,0.562,4.44,-20.0
2020-02-12 19:39:02,44,0.539,4.44,-20.0
2020-02-12 19:39:02,45,0.568,4.46,-20.0
2020-02-12 19:39:02,46,0.549,4.5,-20.0
2020-02-12 19:39:02,47,0.541,4.42,20.7
2020-02-12 19:39:02,48,0.542,4.43,-20.0
2020-02-12 19:39:02,49,0.534,4.5,-20.0
2020-02-12 19:39:02,50,0.549,4.42,-20.0
2020-02-12 19:39:02,51,0.559,4.4,-20.0
2020-02-12 19:39:02,52,0.548,4.43,-20.0
2020-02-12 19:39:02,53,0.54,4.41,-20.0
2020-02-12 19:39:02,54,0.55,4.43,-20.0
2020-02-12 19:39:02,55,0.544,4.49,-20.0
2020-02-12 19:39:02,56,0.549,4.45,-20.0
2020-02-12 19:39:02,57,0.577,4.46,-20.0
2020-02-12 19:39:02,58,0.512,4.42,-20.0
2020-02-12 19:39:02,59,0.526,4.42,21.1
2020-02-12 19:39:02,60,0.529,4.5,-20.0
2020-02-12 19:39:02,61,0.56,4.41,-20.0
2020-02-12 19:39:02,62,0.533,4.44,-20.0
2020-02-12 19:39:02,63,0.544,4.44,-20.0
2020-02-12 19:39:02,64,0.52,4.44,-20.0
2020-02-12 19:39:02,65,0.511,4.5,-20.0
2020-02-12 19:39:02,66,0.542,4.45,-20.0
2020-02-12 19:39:02,67,0.536,4.43,-20.0
2020-02-12 19:39:02,68,0.526,4.51,-20.0
2020-02-12 19:39:02,69,0.548,4.45,-20.0
2020-02-12 19:39:02,70,0.514,4.52,-20.0
2020-02-12 19:39:02,71,0.527,4.49,21.2
2020-02-12 19:39:02,72,0.548,4.55,-20.0
2020-02-12 19:39:02,73,0.55,4.49,-20.0
2020-02-12 19:39:02,74,0.523,4.51,-20.0
2020-02-12 19:39:02,75,0.53,4.5,-20.0
2020-02-12 19:39:02,76,0.531,4.47,-20.0
2020-02-12 19:39:02,77,0.553,4.54,-20.0
2020-02-12 19:39:02,78,0.537,4.43,-20.0
2020-02-12 19:39:02,79,0.556,4.47,-20.0
2020-02-12 19:39:02,80,0.526,4.46,-20.0
2020-02-12 19:39:02,81,0.563,4.48,-20.0
2020-02-12 19:39:02,82,0.552,4.51,-20.0
2020-02-12 19:39:02,83,0.551,4.46,21.9
2020-02-12 19:39:02,84,0.551,4.51,-20.0
2020-02-12 19:39:02,85,0.534,4.51,-20.0
2020-02-12 19:39:02,86,0.562,4.46,-20.0
2020-02-12 19:39:02,87,0.566,4.5,-20.0
2020-02-12 19:39:02,88,0.56,4.48,-20.0
2020-02-12 19:39:02,89,0.527,4.52,-20.0
2020-02-12 19:39:02,90,0.544,4.44,-20.0
2020-02-12 19:39:02,91,0.528,4.48,-20.0
2020-02-12 19:39:02,92,0.547,4.41,-20.0
2020-02-12 19:39:02,93,0.556,4.5,-20.0
2020-02-12 19:39:02,94,0.56,4.47,-20.0
2020-02-12 19:39:02,95,0.547,4.41,-20.0
2020-02-12 19:39:02,96,0.556,4.5,-20.0
2020-02-13 07:38:17,1,0.576,4.43,20.1
2020-02-13 07:38:17,2,0.577,4.43,-20.0
2020-02-13 07:38:17,3,0.562,4.42,-20.0
2020-02-13 07:38:17,4,0.552,4.44,-20.0
2020-02-13 07:38:17,5,0.575,4.43,-20.0
2020-02-13 07:38:17,6,0.569,4.45,-20.0
2020-02-13 07:38:17,7,0.542,4.49,-20.0
2020-02-13 07:38:17,8,0.563,4.46,-20.0
2020-02-13 07:38:17,9,0.563,4.44,-20.0
2020-02-13 07:38:17,10,0.574,4.46,-20.0
2020-02-13 07:38:17,11,0.56,4.46,-20.0
2020-02-13 07:38:17,12,0.568,4.5,-20.0
2020-02-13 07:38:17,13,0.548,4.46,18.4
2020-02-13 07:38:17,14,0.578,4.45,-20.0
2020-02-13 07:38:17,15,0.53,4.46,-20.0
2020-02-13 07:38:17,16,0.559,4.44,-20.0
2020-02-13 07:38:17,17,0.576,4.45,-20.0
2020-02-13 07:38:17,18,0.569,4.51,-20.0
2020-02-13 07:38:17,19,0.563,4.51,-20.0
2020-02-13 07:38:17,20,0.567,4.47,-20.0
2020-02-13 07:38:17,21,0.563,4.46,-20.0
2020-02-13 07:38:17,22,0.566,4.43,-20.0
2020-02-13 07:38:17,23,0.534,4.49,-20.0
2020-02-13 07:38:17,24,0.584,4.56,-20.0
2020-02-13 07:38:17,25,0.547,4.57,18.4
2020-02-13 07:38:17,26,0.529,4.48,-20.0
2020-02-13 07:38:17,27,0.552,4.46,-20.0
2020-02-13 07:38:17,28,0.562,4.46,-20.0
2020-02-13 07:38:17,29,0.583,4.48,-20.0
2020-02-13 07:38:17,30,0.543,4.51,-20.0
2020-02-13 07:38:17,31,0.546,4.5,-20.0
2020-02-13 07:38:17,32,0.532,4.45,-20.0
2020-02-13 07:38:17,33,0.553,4.46,-20.0
