KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-12 21:05:11,1,0.408,4.45,23.0
2020-02-12 21:05:11,2,0.414,4.44,-20.0
2020-02-12 21:05:11,3,0.409,4.43,-20.0
2020-02-12 21:05:11,4,0.414,4.45,-20.0
2020-02-12 21:05:11,5,0.364,4.47,-20.0
2020-02-12 21:05:11,6,0.375,4.49,-20.0
2020-02-12 21:05:11,7,0.423,4.49,-20.0
2020-02-12 21:05:11,8,0.383,4.45,-20.0
2020-02-12 21:05:11,9,0.39,4.42,-20.0
2020-02-12 21:05:11,10,0.34,4.43,-20.0
2020-02-12 21:05:11,11,0.346,4.42,-20.0
2020-02-12 21:05:11,12,0.388,4.43,-20.0
2020-02-12 21:05:11,13,0.393,4.47,22.2
2020-02-12 21:05:11,14,0.381,4.45,-20.0
2020-02-12 21:05:11,15,0.305,4.49,-20.0
2020-02-12 21:05:11,16,0.365,4.51,-20.0
2020-02-12 21:05:11,17,0.414,4.51,-20.0
2020-02-12 21:05:11,18,0.383,4.44,-20.0
2020-02-12 21:05:11,19,0.409,4.47,-20.0
2020-02-12 21:05:11,20,0.332,4.48,-20.0
2020-02-12 21:05:11,21,0.34,4.45,-20.0
2020-02-12 21:05:11,22,0.403,4.42,-20.0
2020-02-12 21:05:11,23,0.423,4.48,-20.0
2020-02-12 21:05:11,24,0.431,4.49,-20.0
2020-02-12 21:05:11,25,0.357,4.48,17.3
2020-02-12 21:05:11,26,0.365,4.47,-20.0
2020-02-12 21:05:11,27,0.458,4.49,-20.0
2020-02-12 21:05:11,28,0.412,4.47,-20.0
2020-02-12 21:05:11,29,0.352,4.4,-20.0
2020-02-12 21:05:11,30,0.325,4.42,-20.0
2020-02-12 21:05:11,31,0.33,4.46,-20.0
2020-02-12 21:05:11,32,0.413,4.43,-20.0
2020-02-12 21:05:11,33,0.389,4.45,-20.0
2020-02-12 21:05:11,34,0.363,4.46,-20.0
2020-02-12 21:05:11,35,0.318,4.5,-20.0
2020-02-12 21:05:11,36,0.329,4.49,-20.0
2020-02-12 21:05:11,37,0.375,4.48,18.8
2020-02-12 21:05:11,38,0.38,4.46,-20.0
2020-02-12 21:05:11,39,0.329,4.44,-20.0
2020-02-12 21:05:11,40,0.341,4.47,-20.0
2020-02-12 21:05:11,41,0.389,4.45,-20.0
2020-02-12 21:05:11,42,0.382,4.44,-20.0
2020-02-12 21:05:11,43,0.317,4.48,-20.0
2020-02-12 21:05:11,44,0.38,4.52,-20.0
2020-02-12 21:05:11,45,0.419,4.5,-20.0
2020-02-12 21:05:11,46,0.444,4.44,-20.0
2020-02-12 21:05:11,47,0.437,4.48,21.9
2020-02-12 21:05:11,48,0.387,4.48,-20.0
2020-02-12 21:05:11,49,0.344,4.48,-20.0
2020-02-12 21:05:11,50,0.41,4.47,-20.0
2020-02-12 21:05:11,51,0.394,4.49,-20.0
2020-02-12 21:05:11,52,0.392,4.46,-20.0
2020-02-12 21:05:11,53,0.329,4.44,-20.0
2020-02-12 21:05:11,54,0.318,4.43,-20.0
2020-02-12 21:05:11,55,0.388,4.42,-20.0
2020-02-12 21:05:11,56,0.401,4.44,-20.0
2020-02-12 21:05:11,57,0.384,4.51,-20.0
2020-02-12 21:05:11,58,0.413,4.51,-20.0
2020-02-12 21:05:11,59,0.406,4.45,-20.0
2020-02-12 21:05:11,60,0.325,4.44,-20.0
2020-02-12 21:05:11,61,0.358,4.44,-20.0
2020-02-12 21:05:11,62,0.409,4.44,-20.0
2020-02-12 21:05:11,63,0.39,4.43,-20.0
2020-02-12 21:05:11,64,0.392,4.46,-20.0
2020-02-12 21:05:11,65,0.343,4.5,-20.0
2020-02-12 21:05:11,66,0.372,4.5,-20.0
2020-02-12 21:05:11,67,0.461,4.48,17.8
2020-02-12 21:05:11,68,0.445,4.47,-20.0
2020-02-12 21:05:11,69,0.393,4.46,-20.0
2020-02-12 21:05:11,70,0.375,4.49,-20.0
2020-02-12 21:05:11,71,0.344,4.45,-20.0
2020-02-12 21:05:11,72,0.412,4.46,-20.0
2020-02-12 21:05:11,73,0.383,4.48,-20.0
2020-02-12 21:05:11,74,0.37,4.5,-20.0
2020-02-12 21:05:11,75,0.325,4.49,-20.0
2020-02-12 21:05:11,76,0.373,4.56,-20.0
2020-02-12 21:05:11,77,0.408,4.48,-20.0
2020-02-12 21:05:11,78,0.406,4.46,-20.0
2020-02-12 21:05:11,79,0.432,4.45,22.0
2020-02-12 21:05:11,80,0.33,4.45,-20.0
2020-02-12 21:05:11,81,0.383,4.46,-20.0
2020-02-12 21:05:11,82,0.394,4.46,-20.0
2020-02-12 21:05:11,83,0.371,4.49,-20.0
2020-02-12 21:05:11,84,0.293,4.48,-20.0
2020-02-12 21:05:11,85,0.428,4.45,-20.0
2020-02-12 21:05:11,86,0.413,4.45,-20.0
2020-02-12 21:05:11,87,0.398,4.43,-20.0
2020-02-12 21:05:11,88,0.386,4.44,-20.0
2020-02-12 21:05:11,89,0.394,4.46,-20.0
2020-02-12 21:05:11,90,0.371,4.49,-20.0
2020-02-12 21:05:11,91,0.293,4.49,-20.0
2020-02-12 21:05:11,92,0.383,4.49,-20.0
2020-02-12 21:05:11,93,0.428,4.45,-20.0
2020-02-12 21:05:11,94,0.413,4.45,-20.0
2020-02-12 21:05:11,95,0.398,4.42,-20.0
2020-02-12 21:05:11,96,0.386,4.43,-20.0
2020-02-13 09:04:21,1,0.411,4.45,23.1
2020-02-13 09:04:21,2,0.416,4.43,-20.0
2020-02-13 09:04:21,3,0.413,4.43,-20.0
2020-02-13 09:04:21,4,0.414,4.46,-20.0
2020-02-13 09:04:21,5,0.366,4.48,-20.0
2020-02-13 09:04:21,6,0.376,4.48,-20.0
2020-02-13 09:04:21,7,0.423,4.48,-20.0
2020-02-13 09:04:21,8,0.387,4.45,-20.0
2020-02-13 09:04:21,9,0.391,4.41,-20.0
2020-02-13 09:04:21,10,0.34,4.42,-20.0
2020-02-13 09:04:21,11,0.346,4.42,-20.0
2020-02-13 09:04:21,12,0.391,4.44,-20.0
2020-02-13 09:04:21,13,0.394,4.48,22.2
2020-02-13 09:04:21,14,0.383,4.44,-20.0
2020-02-13 09:04:21,15,0.306,4.5,-20.0
2020-02-13 09:04:21,16,0.365,4.52,-20.0
2020-02-13 09:04:21,17,0.411,4.51,-20.0
2020-02-13 09:04:21,18,0.384,4.45,-20.0
2020-02-13 09:04:21,19,0.409,4.46,-20.0
2020-02-13 09:04:21,20,0.33,4.47,-20.0
2020-02-13 09:04:21,21,0.337,4.46,-20.0
2020-02-13 09:04:21,22,0.4,4.41,-20.0
2020-02-13 09:04:21,23,0.421,4.47,-20.0
2020-02-13 09:04:21,24,0.433,4.47,-20.0
2020-02-13 09:04:21,25,0.358,4.49,17.2
2020-02-13 09:04:21,26,0.362,4.47,-20.0
2020-02-13 09:04:21,27,0.458,4.5,-20.0
2020-02-13 09:04:21,28,0.41,4.46,-20.0
2020-02-13 09:04:21,29,0.353,4.4,-20.0
2020-02-13 09:04:21,30,0.327,4.41,-20.0
2020-02-13 09:04:21,31,0.333,4.48,-20.0
2020-02-13 09:04:21,32,0.41,4.44,-20.0
2020-02-13 09:04:21,33,0.391,4.46,-20.0
2020-02-13 09:04:21,34,0.365,4.45,-20.0
2020-02-13 09:04:21,35,0.315,4.49,-20.0
2020-02-13 09:04:21,36,0.33,4.51,-20.0
2020-02-13 09:04:21,37,0.374,4.47,18.7
2020-02-13 09:04:21,38,0.376,4.45,-20.0
2020-02-13 09:04:21,39,0.392,4.47,-20.0
2020-02-13 09:04:21,40,0.33,4.45,-20.0
2020-02-13 09:04:21,41,0.342,4.45,-20.0
2020-02-13 09:04:21,42,0.389,4.44,-20.0
2020-02-13 09:04:21,43,0.392,4.47,-20.0
2020-02-13 09:04:21,44,0.312,4.48,-20.0
2020-02-13 09:04:21,45,0.378,4.52,-20.0
2020-02-13 09:04:21,46,0.414,4.5,-20.0
2020-02-13 09:04:21,47,0.437,4.44,-20.0
2020-02-13 09:04:21,48,0.437,4.48,22.1
2020-02-13 09:04:21,49,0.382,4.48,-20.0
2020-02-13 09:04:21,50,0.348,4.49,-20.0
2020-02-13 09:04:21,51,0.413,4.46,-20.0
2020-02-13 09:04:21,52,0.394,4.49,-20.0
2020-02-13 09:04:21,53,0.393,4.47,-20.0
2020-02-13 09:04:21,54,0.383,4.44,-20.0
2020-02-13 09:04:21,55,0.323,4.43,-20.0
2020-02-13 09:04:21,56,0.32,4.42,-20.0
2020-02-13 09:04:21,57,0.391,4.43,-20.0
2020-02-13 09:04:21,58,0.401,4.43,-20.0
2020-02-13 09:04:21,59,0.405,4.44,-20.0
2020-02-13 09:04:21,60,0.334,4.47,17.2
2020-02-13 09:04:21,61,0.386,4.51,-20.0
2020-02-13 09:04:21,62,0.414,4.51,-20.0
2020-02-13 09:04:21,63,0.386,4.46,-20.0
2020-02-13 09:04:21,64,0.406,4.45,-20.0
2020-02-13 09:04:21,65,0.324,4.43,-20.0
2020-02-13 09:04:21,66,0.356,4.43,-20.0
2020-02-13 09:04:21,67,0.411,4.44,-20.0
2020-02-13 09:04:21,68,0.389,4.47,-20.0
2020-02-13 09:04:21,69,0.337,4.5,-20.0
2020-02-13 09:04:21,70,0.37,4.5,-20.0
2020-02-13 09:04:21,71,0.461,4.49,17.7
2020-02-13 09:04:21,72,0.447,4.47,-20.0
2020-02-13 09:04:21,73,0.392,4.46,-20.0
2020-02-13 09:04:21,74,0.343,4.45,-20.0
2020-02-13 09:04:21,75,0.417,4.46,-20.0
2020-02-13 09:04:21,76,0.382,4.49,-20.0
2020-02-13 09:04:21,77,0.365,4.51,-20.0
2020-02-13 09:04:21,78,0.327,4.49,-20.0
2020-02-13 09:04:21,79,0.405,4.48,-20.0
2020-02-13 09:04:21,80,0.406,4.45,-20.0
2020-02-13 09:04:21,81,0.424,4.46,22.1
2020-02-13 09:04:21,82,0.33,4.46,-20.0
2020-02-13 09:04:21,83,0.344,4.45,-20.0
2020-02-13 09:04:21,84,0.383,4.46,-20.0
2020-02-13 09:04:21,85,0.388,4.46,-20.0
