KeyTime,CellNo,ResistValue,VoltValue,TempValue
2020-02-14 16:04:04,1,0.444,4.45,22.8
2020-02-14 16:04:04,2,0.45,4.46,-20.0
2020-02-14 16:04:04,3,0.439,4.44,-20.0
2020-02-14 16:04:04,4,0.414,4.44,-20.0
2020-02-14 16:04:04,5,0.356,4.48,-20.0
2020-02-14 16:04:04,6,0.451,4.48,-20.0
2020-02-14 16:04:04,7,0.418,4.45,-20.0
2020-02-14 16:04:04,8,0.393,4.48,-20.0
2020-02-14 16:04:04,9,0.404,4.45,-20.0
2020-02-14 16:04:04,10,0.356,4.46,-20.0
2020-02-14 16:04:04,11,0.341,4.44,-20.0
2020-02-14 16:04:04,12,0.379,4.46,-20.0
2020-02-14 16:04:04,13,0.362,4.48,22.5
2020-02-14 16:04:04,14,0.356,4.43,-20.0
2020-02-14 16:04:04,15,0.356,4.48,-20.0
2020-02-14 16:04:04,16,0.31,4.48,-20.0
2020-02-14 16:04:04,17,0.398,4.45,-20.0
2020-02-14 16:04:04,18,0.427,4.48,-20.0
2020-02-14 16:04:04,19,0.402,4.44,-20.0
2020-02-14 16:04:04,20,0.32,4.47,-20.0
2020-02-14 16:04:04,21,0.319,4.44,-20.0
2020-02-14 16:04:04,22,0.352,4.44,-20.0
2020-02-14 16:04:04,23,0.369,4.48,-20.0
2020-02-14 16:04:04,24,0.387,4.46,-20.0
2020-02-14 16:04:04,25,0.272,4.46,22.4
2020-02-14 16:04:04,26,0.364,4.45,-20.0
2020-02-14 16:04:04,27,0.462,4.52,-20.0
2020-02-14 16:04:04,28,0.397,4.51,-20.0
2020-02-14 16:04:04,29,0.378,4.46,-20.0
2020-02-14 16:04:04,30,0.298,4.46,-20.0
2020-02-14 16:04:04,31,0.321,4.46,-20.0
2020-02-14 16:04:04,32,0.365,4.45,-20.0
2020-02-14 16:04:04,33,0.383,4.46,-20.0
2020-02-14 16:04:04,34,0.378,4.49,-20.0
2020-02-14 16:04:04,35,0.301,4.46,-20.0
2020-02-14 16:04:04,36,0.363,4.45,-20.0
2020-02-14 16:04:04,37,0.456,4.49,22.6
2020-02-14 16:04:04,38,0.379,4.47,-20.0
2020-02-14 16:04:04,39,0.427,4.46,-20.0
2020-02-14 16:04:04,40,0.301,4.47,-20.0
2020-02-14 16:04:04,41,0.316,4.47,-20.0
2020-02-14 16:04:04,42,0.385,4.47,-20.0
2020-02-14 16:04:04,43,0.375,4.5,-20.0
2020-02-14 16:04:04,44,0.322,4.45,-20.0
2020-02-14 16:04:04,45,0.31,4.45,-20.0
2020-02-14 16:04:04,46,0.352,4.49,-20.0
2020-02-14 16:04:04,47,0.407,4.51,-20.0
2020-02-14 16:04:04,48,0.418,4.45,-20.0
2020-02-14 16:04:04,49,0.416,4.44,22.7
2020-02-14 16:04:04,50,0.406,4.42,-20.0
2020-02-14 16:04:04,51,0.324,4.45,-20.0
2020-02-14 16:04:04,52,0.346,4.52,-20.0
2020-02-14 16:04:04,53,0.381,4.46,-20.0
2020-02-14 16:04:04,54,0.389,4.43,-20.0
2020-02-14 16:04:04,55,0.376,4.46,-20.0
2020-02-14 16:04:04,56,0.317,4.47,-20.0
2020-02-14 16:04:04,57,0.372,4.45,-20.0
2020-02-14 16:04:04,58,0.39,4.49,-20.0
2020-02-14 16:04:04,59,0.405,4.48,-20.0
2020-02-14 16:04:04,60,0.334,4.5,22.8
2020-02-14 16:04:04,61,0.353,4.44,-20.0
2020-02-14 16:04:04,62,0.395,4.47,-20.0
2020-02-14 16:04:04,63,0.407,4.47,-20.0
2020-02-14 16:04:04,64,0.395,4.46,-20.0
2020-02-14 16:04:04,65,0.341,4.48,-20.0
2020-02-14 16:04:04,66,0.368,4.48,-20.0
2020-02-14 16:04:04,67,0.389,4.42,-20.0
2020-02-14 16:04:04,68,0.368,4.44,-20.0
2020-02-14 16:04:04,69,0.368,4.44,-20.0
2020-02-14 16:04:04,70,0.327,4.46,-20.0
2020-02-14 16:04:04,71,0.337,4.49,-20.0
